variant,model,train_data,selected_threshold,validation_f1,validation_recall,validation_precision,validation_pr_auc,validation_mcc,test_oracle_threshold,test_oracle_f1,test_oracle_recall,test_oracle_precision,test_f1,test_recall,test_precision,test_accuracy,test_balanced_accuracy,test_roc_auc,test_pr_auc,test_average_precision,test_mcc,test_tp,test_fp,test_fn,test_tn,error
with_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,0.51,0.15752461322081576,0.5137614678899083,0.09302325581395349,0.08488631441387806,0.08608473845697157,0.51,0.16045845272206305,0.5137614678899083,0.09507640067911714,0.16045845272206305,0.5137614678899083,0.09507640067911714,0.6528436018957346,0.5881030265352012,0.5776301340414036,0.0832145133535432,0.0832145133535432,0.09085914457557598,56.0,533.0,53.0,1046.0,
with_billing_zip,BalancedBagging_tree_depthnone_leaf10,original,0.49,0.14942528735632185,0.47706422018348627,0.08858603066439523,0.07743464236912656,0.07123884447602469,0.57,0.16292134831460675,0.26605504587155965,0.11740890688259109,0.1553956834532374,0.4954128440366973,0.09215017064846416,0.6522511848341233,0.5792453707200587,0.5966934129718611,0.09425200785915346,0.09425200785915346,0.0818217202083392,54.0,532.0,55.0,1047.0,
with_billing_zip,BalancedBagging_tree_depth5_leaf25,original,0.49,0.15772179627601315,0.6605504587155964,0.08955223880597014,0.08525358132411495,0.09680575966416562,0.49,0.14412416851441243,0.5963302752293578,0.08196721311475409,0.14412416851441243,0.5963302752293578,0.08196721311475409,0.542654028436019,0.5676394884696504,0.5691385210707045,0.08203500489531579,0.08203500489531579,0.06661722117397811,65.0,728.0,44.0,851.0,
without_billing_zip,EasyEnsemble_n10,original,0.55,0.1680327868852459,0.3761467889908257,0.10817941952506596,0.10591189230391285,0.09539564052649441,0.55,0.14311926605504588,0.3577981651376147,0.08944954128440367,0.14311926605504588,0.3577981651376147,0.08944954128440367,0.7233412322274881,0.5531866063180158,0.552149484925426,0.0816895240393907,0.0816895240393907,0.05972981652552176,39.0,397.0,70.0,1182.0,
with_billing_zip,BalancedBagging_tree_depth5_leaf10,original,0.55,0.15348837209302327,0.30275229357798167,0.102803738317757,0.08744859616604915,0.0753091801169899,0.51,0.1554140127388535,0.5596330275229358,0.09023668639053255,0.14258188824662812,0.3394495412844037,0.09024390243902439,0.7363744075829384,0.5516120410665211,0.5726159280929168,0.08709473180015634,0.08709473180015634,0.059159975916493926,37.0,373.0,72.0,1206.0,
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.51,0.16149068322981366,0.23853211009174313,0.12206572769953052,0.0969174343029906,0.08884021385850538,0.45,0.1476510067114094,0.30275229357798167,0.09763313609467456,0.13580246913580246,0.2018348623853211,0.10232558139534884,0.8341232227488151,0.5398028016803109,0.5834897246544382,0.08265727130082301,0.08265727130082301,0.05868503243788562,22.0,193.0,87.0,1386.0,
with_billing_zip,CatBoost_encoded_depth4_lr0.03,original,0.47,0.13533834586466165,0.5779816513761468,0.07664233576642336,0.07711347483005596,0.047704949328848806,0.53,0.1468189233278956,0.41284403669724773,0.08928571428571429,0.1348314606741573,0.6055045871559633,0.07586206896551724,0.4982227488151659,0.5481607799617689,0.5673315476640075,0.08811880910503511,0.08811880910503511,0.047368708419129116,66.0,804.0,43.0,775.0,
without_billing_zip,BalancedBagging_tree_depth5_leaf25,original,0.53,0.16151202749140894,0.43119266055045874,0.09936575052854123,0.09230303748407144,0.0882418347251051,0.51,0.13987730061349693,0.5229357798165137,0.08073654390934844,0.13392857142857142,0.41284403669724773,0.07992895204262877,0.6552132701421801,0.5423941526108151,0.5575093980047761,0.08426818946984804,0.08426818946984804,0.044198731961504666,45.0,518.0,64.0,1061.0,
with_billing_zip,GradientBoosting_SMOTE_depth2_lr0.05,resampled,0.31,0.15213946117274169,0.44036697247706424,0.09195402298850575,0.0844596445846316,0.074448413531209,0.33,0.14023372287145242,0.3853211009174312,0.08571428571428572,0.1339031339031339,0.43119266055045874,0.07925801011804384,0.6398104265402843,0.542702093416458,0.5489567778933362,0.0777451505045439,0.0777451505045439,0.04396925120452439,47.0,546.0,62.0,1033.0,
without_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.37,0.15083798882681565,0.4954128440366973,0.08896210873146623,0.1000258049048958,0.0742568292256277,0.53,0.1660377358490566,0.2018348623853211,0.14102564102564102,0.1334981458590853,0.4954128440366973,0.07714285714285714,0.5847156398104265,0.5431465740132821,0.5783070227934298,0.08905553281669255,0.08905553281669255,0.04304801538768082,54.0,646.0,55.0,933.0,
