variant,model,train_data,threshold,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,average_precision,mcc,tp,fp,fn,tn
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.05,0.12188044109112015,0.963302752293578,0.06505576208178439,0.10314167160640189,0.5035144940175115,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.008492711225859213,105,1509,4,69
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.07,0.12228101116990006,0.9541284403669725,0.06532663316582915,0.11499703615886188,0.5055813304496459,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.011904225524527072,104,1488,5,90
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.09,0.12351543942992874,0.9541284403669725,0.06603174603174604,0.12507409602845287,0.5109678957221429,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.021660614162383823,104,1471,5,107
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.11,0.12409638554216867,0.944954128440367,0.06640876853642812,0.13811499703615887,0.5136684457157474,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.02468542014468343,103,1448,6,130
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.13,0.12607099143206854,0.944954128440367,0.06754098360655737,0.15352697095435686,0.5219067220148603,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.03655793970821204,103,1422,6,156
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.15,0.12710280373831775,0.9357798165137615,0.06818181818181818,0.16953171310017784,0.5261915559121406,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.04064204591812004,102,1394,7,184
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.17,0.12782440284054228,0.908256880733945,0.06875,0.1991701244813278,0.529223497401193,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.040644259120446884,99,1341,10,237
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.19,0.1276595744680851,0.8807339449541285,0.06881720430107527,0.22228808535862477,0.5287700143021593,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.03739024340260499,96,1299,13,279
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.21,0.12691771269177127,0.8348623853211009,0.06867924528301887,0.25785417901600477,0.5264299252334275,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.03165413529274394,91,1234,18,344
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.23,0.12703101920236337,0.7889908256880734,0.06907630522088354,0.2993479549496147,0.5272584039720468,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.030479045145977476,86,1159,23,419
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.25,0.12978889757623144,0.7614678899082569,0.07094017094017094,0.34024896265560167,0.5363106242950664,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.038725074107232756,83,1087,26,491
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.27,0.13388429752066117,0.7431192660550459,0.07356948228882834,0.3787788974510966,0.548365716677713,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.04994498695809006,81,1020,28,558
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.29,0.13464991023339318,0.6880733944954128,0.07462686567164178,0.42857142857142855,0.5493598911640563,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.04945335034075272,75,930,34,648
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.31,0.1393523061825319,0.6513761467889908,0.07802197802197802,0.48014226437462953,0.55984523435774,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.05903303484467192,71,839,38,739
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.33,0.1394335511982571,0.5871559633027523,0.07911001236093942,0.5317131001778305,0.557519680003721,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.05660980861106865,64,745,45,833
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.35,0.1419828641370869,0.5321100917431193,0.08192090395480225,0.5844694724362774,0.5600981383937396,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.059875587643070924,58,650,51,928
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.37,0.13480055020632736,0.44954128440366975,0.07928802588996764,0.6271487848251334,0.5444791339635586,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.04539102360945338,49,569,60,1009
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.39,0.12883435582822086,0.3853211009174312,0.07734806629834254,0.6633076467101363,0.5339153033104267,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.03569270992143156,42,501,67,1077
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.41,0.14017094017094017,0.3761467889908257,0.0861344537815126,0.7018375815056312,0.550240694875641,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.054887927618380516,41,435,68,1143
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.43,0.1436893203883495,0.3394495412844037,0.09113300492610837,0.7385892116182573,0.5528046185509471,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.06073388630756547,37,369,72,1209
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.45,0.15555555555555556,0.3211009174311927,0.10263929618768329,0.7747480735032602,0.5635922838106534,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.07785767791501207,35,306,74,1272
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.47,0.16,0.29357798165137616,0.10996563573883161,0.8008298755186722,0.5647230846152952,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.08422998966887785,32,259,77,1319
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.49,0.14917127071823205,0.24770642201834864,0.1067193675889328,0.8174273858921162,0.55224357856304,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.071944040561963,27,226,82,1352
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.51,0.16149068322981366,0.23853211009174313,0.12206572769953052,0.8399525785417902,0.5600138370484065,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.08884021385850538,26,187,83,1391
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.53,0.14915254237288136,0.2018348623853211,0.11827956989247312,0.8512151748666271,0.5489529191521029,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.07684728357749829,22,164,87,1414
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.55,0.15267175572519084,0.1834862385321101,0.13071895424836602,0.8684054534676942,0.5496011674282857,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.08492396196683366,20,133,89,1445
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.57,0.14782608695652175,0.1559633027522936,0.14049586776859505,0.8838174273858921,0.5450285461796955,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.08580174201576256,17,104,92,1474
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.59,0.1320754716981132,0.12844036697247707,0.13592233009708737,0.8909306461173682,0.5360199300008139,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.07396792020582595,14,89,95,1489
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.61,0.12307692307692308,0.11009174311926606,0.13953488372093023,0.8986366330764671,0.5315984697852351,0.5805368542226254,0.0969174343029906,0.0969174343029906,0.0706346673305003,12,74,97,1504
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.05,0.12259194395796848,0.963302752293578,0.06546134663341646,0.10906935388263189,0.5066830618248626,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.01519256120749919,105,1499,4,79
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.07,0.12293144208037825,0.9541284403669725,0.065698041692988,0.12033195020746888,0.5084330414762619,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.01723946774975412,104,1479,5,99
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.09,0.12327947336923997,0.944954128440367,0.06594110115236876,0.13159454653230587,0.5101830211276613,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.019115156922614035,103,1459,6,119
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.11,0.12484848484848485,0.944954128440367,0.06683971447112265,0.14404267931238884,0.5168370135230985,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.02944313549326047,103,1438,6,140
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.13,0.12553846153846154,0.9357798165137615,0.06728232189973615,0.15767634854771784,0.5198544202974384,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.03234493624422053,102,1414,7,164
