variant,model,train_data,selected_threshold,validation_f1,test_f1,test_recall,test_precision,test_pr_auc,test_mcc,test_tp,test_fp,test_fn,test_tn,test_oracle_threshold,test_oracle_f1,test_oracle_recall,test_oracle_precision
with_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,0.51,0.15752461322081576,0.16045845272206305,0.5137614678899083,0.09507640067911714,0.0832145133535432,0.09085914457557598,56.0,533.0,53.0,1046.0,0.51,0.16045845272206305,0.5137614678899083,0.09507640067911714
with_billing_zip,BalancedBagging_tree_depthnone_leaf10,original,0.49,0.14942528735632185,0.1553956834532374,0.4954128440366973,0.09215017064846416,0.09425200785915346,0.0818217202083392,54.0,532.0,55.0,1047.0,0.57,0.16292134831460675,0.26605504587155965,0.11740890688259109
with_billing_zip,BalancedBagging_tree_depth5_leaf25,original,0.49,0.15772179627601315,0.14412416851441243,0.5963302752293578,0.08196721311475409,0.08203500489531579,0.06661722117397811,65.0,728.0,44.0,851.0,0.49,0.14412416851441243,0.5963302752293578,0.08196721311475409
without_billing_zip,EasyEnsemble_n10,original,0.55,0.1680327868852459,0.14311926605504588,0.3577981651376147,0.08944954128440367,0.0816895240393907,0.05972981652552176,39.0,397.0,70.0,1182.0,0.55,0.14311926605504588,0.3577981651376147,0.08944954128440367
with_billing_zip,BalancedBagging_tree_depth5_leaf10,original,0.55,0.15348837209302327,0.14258188824662812,0.3394495412844037,0.09024390243902439,0.08709473180015634,0.059159975916493926,37.0,373.0,72.0,1206.0,0.51,0.1554140127388535,0.5596330275229358,0.09023668639053255
with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.51,0.16149068322981366,0.13580246913580246,0.2018348623853211,0.10232558139534884,0.08265727130082301,0.05868503243788562,22.0,193.0,87.0,1386.0,0.45,0.1476510067114094,0.30275229357798167,0.09763313609467456
with_billing_zip,CatBoost_encoded_depth4_lr0.03,original,0.47,0.13533834586466165,0.1348314606741573,0.6055045871559633,0.07586206896551724,0.08811880910503511,0.047368708419129116,66.0,804.0,43.0,775.0,0.53,0.1468189233278956,0.41284403669724773,0.08928571428571429
without_billing_zip,BalancedBagging_tree_depth5_leaf25,original,0.53,0.16151202749140894,0.13392857142857142,0.41284403669724773,0.07992895204262877,0.08426818946984804,0.044198731961504666,45.0,518.0,64.0,1061.0,0.51,0.13987730061349693,0.5229357798165137,0.08073654390934844
with_billing_zip,GradientBoosting_SMOTE_depth2_lr0.05,resampled,0.31,0.15213946117274169,0.1339031339031339,0.43119266055045874,0.07925801011804384,0.0777451505045439,0.04396925120452439,47.0,546.0,62.0,1033.0,0.33,0.14023372287145242,0.3853211009174312,0.08571428571428572
without_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,0.37,0.15083798882681565,0.1334981458590853,0.4954128440366973,0.07714285714285714,0.08905553281669255,0.04304801538768082,54.0,646.0,55.0,933.0,0.53,0.1660377358490566,0.2018348623853211,0.14102564102564102
with_billing_zip,CatBoost_native_depth4_lr0.03,native_categorical,0.49,0.14153132250580047,0.13333333333333333,0.5779816513761468,0.07535885167464115,0.08034813194241297,0.043469776008261615,63.0,773.0,46.0,806.0,0.53,0.13870967741935483,0.3944954128440367,0.08414872798434442
without_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.37,0.15647226173541964,0.1329987452948557,0.48623853211009177,0.07703488372093023,0.08787455537653319,0.04205619917095815,53.0,635.0,56.0,944.0,0.53,0.1708185053380783,0.22018348623853212,0.13953488372093023
without_billing_zip,CatBoost_encoded_depth4_lr0.03,original,0.49,0.1426872770511296,0.13262032085561498,0.5688073394495413,0.07506053268765134,0.07518695171904125,0.04176945503001366,62.0,764.0,47.0,815.0,0.49,0.13262032085561498,0.5688073394495413,0.07506053268765134
with_billing_zip,BalancedBagging_tree_depth3_leaf10,original,0.51,0.15647921760391198,0.1320973348783314,0.5229357798165137,0.07559681697612732,0.08540496734843986,0.040298997822599374,57.0,697.0,52.0,882.0,0.49,0.14418125643666324,0.6422018348623854,0.08120649651972157
with_billing_zip,CatBoost_native_depth3_lr0.03,native_categorical,0.55,0.16521739130434782,0.13127413127413126,0.3119266055045872,0.08312958435207823,0.07905916402047679,0.04269546923880751,34.0,375.0,75.0,1204.0,0.49,0.13678756476683937,0.6055045871559633,0.07710280373831775
with_billing_zip,EasyEnsemble_n10,original,0.53,0.1697530864197531,0.13123359580052493,0.45871559633027525,0.07656967840735068,0.08453463551610771,0.03877027829693527,50.0,603.0,59.0,976.0,0.55,0.15498154981549817,0.3853211009174312,0.09699769053117784
with_billing_zip,CatBoost_encoded_depth3_lr0.03,original,0.49,0.1446051167964405,0.13107822410147993,0.5688073394495413,0.07407407407407407,0.08775649255524626,0.038336968425708856,62.0,775.0,47.0,804.0,0.55,0.16768916155419222,0.3761467889908257,0.10789473684210527
without_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,0.55,0.1568627450980392,0.13008130081300814,0.29357798165137616,0.0835509138381201,0.0834192311641623,0.04183118906008662,32.0,351.0,77.0,1228.0,0.53,0.14262023217247097,0.3944954128440367,0.08704453441295547
without_billing_zip,BalancedBagging_tree_depth3_leaf25,original,0.51,0.1602787456445993,0.12984054669703873,0.5229357798165137,0.0741222366710013,0.0795963462939962,0.0355403165402629,57.0,712.0,52.0,867.0,0.49,0.13786008230452676,0.6146788990825688,0.0776361529548088
with_billing_zip,RUSBoost_n100_lr0.05,original,0.13,0.16489361702127658,0.12774869109947645,0.5596330275229358,0.07210401891252956,0.06992062583332509,0.03071315919983632,61.0,785.0,48.0,794.0,0.13,0.12774869109947645,0.5596330275229358,0.07210401891252956
