variant,model,selected_threshold,top_fraction,selected_count,captured_churn,total_churn,precision_at_k,recall_at_k
with_billing_zip,BalancedBagging_tree_depthnone_leaf25,0.51,0.05,84,6,109,0.07142857142857142,0.05504587155963303
with_billing_zip,BalancedBagging_tree_depthnone_leaf25,0.51,0.1,169,16,109,0.09467455621301775,0.14678899082568808
with_billing_zip,BalancedBagging_tree_depthnone_leaf25,0.51,0.15,253,21,109,0.08300395256916997,0.1926605504587156
with_billing_zip,BalancedBagging_tree_depthnone_leaf25,0.51,0.2,338,30,109,0.08875739644970414,0.27522935779816515
with_billing_zip,BalancedBagging_tree_depthnone_leaf25,0.51,0.3,506,45,109,0.08893280632411067,0.41284403669724773
with_billing_zip,BalancedBagging_tree_depthnone_leaf25,0.51,0.4,675,59,109,0.0874074074074074,0.5412844036697247
with_billing_zip,BalancedBagging_tree_depthnone_leaf10,0.49,0.05,84,10,109,0.11904761904761904,0.09174311926605505
with_billing_zip,BalancedBagging_tree_depthnone_leaf10,0.49,0.1,169,17,109,0.10059171597633136,0.1559633027522936
with_billing_zip,BalancedBagging_tree_depthnone_leaf10,0.49,0.15,253,29,109,0.11462450592885376,0.26605504587155965
with_billing_zip,BalancedBagging_tree_depthnone_leaf10,0.49,0.2,338,32,109,0.09467455621301775,0.29357798165137616
with_billing_zip,BalancedBagging_tree_depthnone_leaf10,0.49,0.3,506,47,109,0.09288537549407115,0.43119266055045874
with_billing_zip,BalancedBagging_tree_depthnone_leaf10,0.49,0.4,675,64,109,0.09481481481481481,0.5871559633027523
with_billing_zip,BalancedBagging_tree_depth5_leaf25,0.49,0.05,84,8,109,0.09523809523809523,0.07339449541284404
with_billing_zip,BalancedBagging_tree_depth5_leaf25,0.49,0.1,169,14,109,0.08284023668639054,0.12844036697247707
with_billing_zip,BalancedBagging_tree_depth5_leaf25,0.49,0.15,253,21,109,0.08300395256916997,0.1926605504587156
with_billing_zip,BalancedBagging_tree_depth5_leaf25,0.49,0.2,338,29,109,0.08579881656804733,0.26605504587155965
with_billing_zip,BalancedBagging_tree_depth5_leaf25,0.49,0.3,506,42,109,0.08300395256916997,0.3853211009174312
with_billing_zip,BalancedBagging_tree_depth5_leaf25,0.49,0.4,675,55,109,0.08148148148148149,0.5045871559633027
without_billing_zip,EasyEnsemble_n10,0.55,0.05,84,7,109,0.08333333333333333,0.06422018348623854
without_billing_zip,EasyEnsemble_n10,0.55,0.1,169,14,109,0.08284023668639054,0.12844036697247707
without_billing_zip,EasyEnsemble_n10,0.55,0.15,253,23,109,0.09090909090909091,0.21100917431192662
without_billing_zip,EasyEnsemble_n10,0.55,0.2,338,27,109,0.07988165680473373,0.24770642201834864
without_billing_zip,EasyEnsemble_n10,0.55,0.3,506,43,109,0.08498023715415019,0.3944954128440367
without_billing_zip,EasyEnsemble_n10,0.55,0.4,675,48,109,0.07111111111111111,0.44036697247706424
with_billing_zip,BalancedBagging_tree_depth5_leaf10,0.55,0.05,84,10,109,0.11904761904761904,0.09174311926605505
with_billing_zip,BalancedBagging_tree_depth5_leaf10,0.55,0.1,169,16,109,0.09467455621301775,0.14678899082568808
with_billing_zip,BalancedBagging_tree_depth5_leaf10,0.55,0.15,253,20,109,0.07905138339920949,0.1834862385321101
with_billing_zip,BalancedBagging_tree_depth5_leaf10,0.55,0.2,338,32,109,0.09467455621301775,0.29357798165137616
with_billing_zip,BalancedBagging_tree_depth5_leaf10,0.55,0.3,506,43,109,0.08498023715415019,0.3944954128440367
with_billing_zip,BalancedBagging_tree_depth5_leaf10,0.55,0.4,675,61,109,0.09037037037037036,0.5596330275229358
with_billing_zip,LogisticRegression_SMOTE_C0.1,0.51,0.05,84,4,109,0.047619047619047616,0.03669724770642202
with_billing_zip,LogisticRegression_SMOTE_C0.1,0.51,0.1,169,15,109,0.08875739644970414,0.13761467889908258
with_billing_zip,LogisticRegression_SMOTE_C0.1,0.51,0.15,253,25,109,0.09881422924901186,0.22935779816513763
with_billing_zip,LogisticRegression_SMOTE_C0.1,0.51,0.2,338,33,109,0.09763313609467456,0.30275229357798167
with_billing_zip,LogisticRegression_SMOTE_C0.1,0.51,0.3,506,41,109,0.08102766798418973,0.3761467889908257
with_billing_zip,LogisticRegression_SMOTE_C0.1,0.51,0.4,675,54,109,0.08,0.4954128440366973
with_billing_zip,CatBoost_encoded_depth4_lr0.03,0.47,0.05,84,9,109,0.10714285714285714,0.08256880733944955
with_billing_zip,CatBoost_encoded_depth4_lr0.03,0.47,0.1,169,18,109,0.10650887573964497,0.1651376146788991
with_billing_zip,CatBoost_encoded_depth4_lr0.03,0.47,0.15,253,26,109,0.10276679841897234,0.23853211009174313
with_billing_zip,CatBoost_encoded_depth4_lr0.03,0.47,0.2,338,33,109,0.09763313609467456,0.30275229357798167
with_billing_zip,CatBoost_encoded_depth4_lr0.03,0.47,0.3,506,45,109,0.08893280632411067,0.41284403669724773
with_billing_zip,CatBoost_encoded_depth4_lr0.03,0.47,0.4,675,54,109,0.08,0.4954128440366973
without_billing_zip,BalancedBagging_tree_depth5_leaf25,0.53,0.05,84,8,109,0.09523809523809523,0.07339449541284404
without_billing_zip,BalancedBagging_tree_depth5_leaf25,0.53,0.1,169,13,109,0.07692307692307693,0.11926605504587157
without_billing_zip,BalancedBagging_tree_depth5_leaf25,0.53,0.15,253,20,109,0.07905138339920949,0.1834862385321101
without_billing_zip,BalancedBagging_tree_depth5_leaf25,0.53,0.2,338,27,109,0.07988165680473373,0.24770642201834864
without_billing_zip,BalancedBagging_tree_depth5_leaf25,0.53,0.3,506,38,109,0.07509881422924901,0.3486238532110092
without_billing_zip,BalancedBagging_tree_depth5_leaf25,0.53,0.4,675,52,109,0.07703703703703704,0.47706422018348627
with_billing_zip,GradientBoosting_SMOTE_depth2_lr0.05,0.31,0.05,84,4,109,0.047619047619047616,0.03669724770642202
with_billing_zip,GradientBoosting_SMOTE_depth2_lr0.05,0.31,0.1,169,13,109,0.07692307692307693,0.11926605504587157
with_billing_zip,GradientBoosting_SMOTE_depth2_lr0.05,0.31,0.15,253,20,109,0.07905138339920949,0.1834862385321101
with_billing_zip,GradientBoosting_SMOTE_depth2_lr0.05,0.31,0.2,338,26,109,0.07692307692307693,0.23853211009174313
with_billing_zip,GradientBoosting_SMOTE_depth2_lr0.05,0.31,0.3,506,43,109,0.08498023715415019,0.3944954128440367
with_billing_zip,GradientBoosting_SMOTE_depth2_lr0.05,0.31,0.4,675,51,109,0.07555555555555556,0.46788990825688076
without_billing_zip,LogisticRegression_SMOTE_C0.1,0.37,0.05,84,11,109,0.13095238095238096,0.10091743119266056
without_billing_zip,LogisticRegression_SMOTE_C0.1,0.37,0.1,169,24,109,0.14201183431952663,0.22018348623853212
