CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Bronze,SOHO,6000,2,,,2,40.17,0.0,40.17,,No,0
Bronze,SOHO,6400,3,,,3,40.17,0.0,40.17,13.39,No,0
Bronze,SOHO,6000,2,3.0,,5,40.17,0.0,40.17,20.09,No,0
Bronze,SOHO,4400,1,2.0,,3,40.17,0.0,40.17,40.17,No,0
Iron,SOHO,4000,2,1.0,,3,40.17,0.0,40.17,20.09,No,0
Gold,VSE,6600,2,11.0,,13,40.17,0.0,40.17,20.09,No,0
Bronze,SOHO,4644,4,,,4,40.33,0.0,40.33,10.08,Yes,1
Iron,SOHO,6100,5,2.0,,7,40.33,0.0,40.33,8.07,No,0
Iron,SOHO,6100,3,,,3,40.33,0.0,40.33,13.44,No,0
Bronze,SOHO,6280,1,,,1,40.33,0.0,40.33,40.33,No,0
Bronze,SOHO,4550,3,,,3,40.5,0.0,40.5,13.5,No,0
Bronze,SOHO,6000,4,1.0,,5,40.5,0.0,40.5,10.13,No,0
Iron,SOHO,6000,2,,,2,40.5,0.0,40.5,20.25,No,0
Iron,SOHO,4230,4,,,4,40.67,0.0,40.67,10.17,No,0
Bronze,SOHO,4550,5,1.0,,6,40.83,0.0,40.83,8.17,No,0
Bronze,SOHO,4300,3,1.0,,4,40.83,0.0,40.83,13.61,No,0
Iron,SOHO,4015,3,8.0,,11,40.83,0.0,40.83,13.61,No,0
Gold,VSE,4000,7,25.0,,32,40.83,0.0,40.83,5.83,No,0
Bronze,SOHO,4500,2,,,2,40.83,0.0,40.83,20.42,No,0
Bronze,SOHO,6000,1,3.0,,4,40.83,0.0,40.83,40.83,No,0
Iron,SOHO,4400,4,,,4,41.0,0.0,41.0,10.25,Yes,1
Iron,SOHO,4004,4,,,4,41.0,0.0,41.0,10.25,No,0
Bronze,SOHO,4017,6,,,6,41.0,0.0,41.0,6.83,No,0
Iron,SOHO,4023,5,,,5,41.0,0.0,41.0,8.2,No,0
Iron,SOHO,6000,4,,,4,41.0,0.0,41.0,10.25,No,0
Iron,SOHO,6000,3,,,3,41.0,0.0,41.0,13.67,No,0
Bronze,SOHO,6000,3,3.0,,6,41.0,0.0,41.0,13.67,No,0
Bronze,SOHO,4000,3,7.0,,10,41.17,0.0,41.17,13.72,No,0
Bronze,SOHO,4004,3,2.0,,5,41.17,0.0,41.17,13.72,No,0
Bronze,SOHO,4000,1,4.0,,5,41.17,0.0,41.17,41.17,No,0
Bronze,SOHO,4230,4,1.0,,5,41.17,0.0,41.17,10.29,No,0
Bronze,SOHO,6000,4,2.0,,6,41.17,0.0,41.17,10.29,No,0
Bronze,SOHO,9283,4,2.0,,6,41.17,0.0,41.17,10.29,No,0
Bronze,SOHO,4000,4,,,4,41.17,0.0,41.17,10.29,No,0
Bronze,SOHO,4173,5,,,5,41.17,0.0,41.17,8.23,No,0
Iron,SOHO,8900,3,,,3,41.17,0.0,41.17,13.72,No,0
Bronze,SOHO,6155,3,,,3,41.33,0.0,41.33,13.78,No,0
Iron,SOHO,4400,2,,,2,41.33,0.0,41.33,20.67,No,0
Iron,SOHO,4400,3,,,3,41.33,0.0,41.33,13.78,No,0
Iron,SOHO,6310,4,,,4,41.33,0.0,41.33,10.33,No,0
Bronze,SOHO,4400,3,1.0,,4,41.5,0.0,41.5,13.83,No,0
Bronze,SOHO,4400,2,1.0,,3,41.5,0.0,41.5,20.75,No,0
Bronze,SOHO,4468,2,,,2,41.67,0.0,41.67,20.84,No,0
Bronze,SOHO,4023,1,2.0,,3,41.67,0.0,41.67,41.67,No,0
Bronze,SOHO,4023,3,4.0,,7,41.67,0.0,41.67,13.89,No,0
Bronze,SOHO,4400,4,,,4,41.83,0.0,41.83,10.46,No,0
Bronze,SOHO,4000,3,7.0,,10,41.83,0.0,41.83,13.94,No,0
Bronze,SOHO,4013,2,1.0,,3,41.83,0.0,41.83,20.92,No,0
Bronze,SOHO,6000,2,,1.0,3,41.83,0.0,41.83,20.92,No,0
