원본컬럼명,한글컬럼명,간단설명,모델사용여부,데이터유형,결측수,결측률_퍼센트,고유값수
PID,고객ID,고객을 식별하는 ID이며 모델 학습 데이터에서는 제외한다.,제외,범주형,0,0.0,8436
KA_name,담당 키 어카운트 매니저,고객 담당 키 어카운트 매니저 이름이며 이번 작업의 모델 데이터에서는 제외한다.,제외,범주형,0,0.0,12
CRM_PID_Value_Segment,CRM 고객가치 등급,"CRM 기준 고객가치 등급이다. Bronze, Silver, Gold, Platinum, SME 등으로 구분된다.",사용,범주형,5,0.05915059742103396,8
EffectiveSegment,실질 비즈니스 세그먼트,"실제 사업 규모/유형 세그먼트다. SOHO, VSE, SME 등이 포함된다.",사용,범주형,0,0.0,6
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,사용,범주형,2,0.02366023896841358,456
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,사용,수치형,0,0.0,61
Not_Active_subscribers,비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,사용,수치형,4149,49.08316573997397,60
Suspended_subscribers,정지 가입자 수,정지 상태 가입자 수다. 결측률이 매우 높아 결측 여부를 별도 신호로 본다.,사용,수치형,8101,95.8357979415592,13
Total_SUBs,전체 가입자 수,고객이 보유한 전체 가입자 수다.,사용,수치형,0,0.0,89
AvgMobileRevenue,평균 모바일 매출,평균 모바일 서비스 매출이다.,사용,수치형,0,0.0,2150
AvgFIXRevenue,평균 유선 매출,평균 유선 서비스 매출이다. 번들/고착 효과 확인에 사용한다.,사용,수치형,0,0.0,106
TotalRevenue,총 매출,고객 단위 총 매출이다.,사용,수치형,0,0.0,2163
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,사용,수치형,1,0.01183011948420679,3063
CHURN,이탈 여부,"고객 이탈 여부다. Yes는 이탈, No는 잔류를 뜻한다.",사용,범주형,0,0.0,2
churn_binary,이탈 여부 숫자값,"모델용 이탈 여부 숫자값이다. Yes는 1, No는 0이다.",사용,수치형,0,0.0,2
