ARPU,CHURN,churn_binary
,No,0
13.39,No,0
20.09,No,0
40.17,No,0
20.09,No,0
20.09,No,0
10.08,Yes,1
8.07,No,0
13.44,No,0
40.33,No,0
13.5,No,0
10.13,No,0
20.25,No,0
10.17,No,0
8.17,No,0
13.61,No,0
13.61,No,0
5.83,No,0
20.42,No,0
40.83,No,0
10.25,Yes,1
10.25,No,0
6.83,No,0
8.2,No,0
10.25,No,0
13.67,No,0
13.67,No,0
13.72,No,0
13.72,No,0
41.17,No,0
10.29,No,0
10.29,No,0
10.29,No,0
10.29,No,0
8.23,No,0
13.72,No,0
13.78,No,0
20.67,No,0
13.78,No,0
10.33,No,0
13.83,No,0
20.75,No,0
20.84,No,0
41.67,No,0
13.89,No,0
10.46,No,0
13.94,No,0
20.92,No,0
20.92,No,0
14.0,No,0
10.5,No,0
8.4,Yes,1
8.4,No,0
8.4,No,0
8.4,No,0
8.4,No,0
14.06,No,0
14.06,Yes,1
8.43,No,0
14.11,No,0
8.47,No,0
14.11,No,0
8.47,No,0
42.33,No,0
14.11,No,0
10.58,No,0
21.17,No,0
10.63,No,0
21.25,No,0
42.5,No,0
42.5,No,0
14.17,No,0
10.63,No,0
8.5,No,0
14.17,No,0
14.22,No,0
10.67,No,0
14.22,Yes,1
10.71,Yes,1
10.71,No,0
14.28,No,0
14.28,No,0
43.0,No,0
21.5,No,0
14.33,No,0
43.0,No,0
10.75,No,0
43.0,No,0
10.79,No,0
10.79,No,0
7.2,No,0
10.79,No,0
21.67,No,0
8.67,No,0
10.83,No,0
21.67,No,0
14.44,No,0
8.7,No,0
8.7,Yes,1
14.5,No,0
14.5,Yes,1
10.92,No,0
10.92,No,0
14.56,No,0
21.84,No,0
43.67,No,0
10.92,No,0
14.61,No,0
14.61,No,0
43.83,No,0
8.8,No,0
14.67,No,0
11.04,No,0
14.72,No,0
22.09,No,0
25.5,No,0
22.09,No,0
14.78,No,0
22.17,No,0
22.17,No,0
11.08,No,0
44.33,No,0
44.33,No,0
14.83,No,0
7.42,No,0
11.13,No,0
14.83,No,0
14.89,No,0
8.93,No,0
14.94,No,0
14.94,No,0
14.94,No,0
14.94,No,0
11.25,No,0
15.0,No,0
15.06,No,0
9.03,No,0
11.29,No,0
22.59,No,0
15.11,No,0
22.67,No,0
15.11,No,0
15.11,No,0
9.1,No,0
11.42,No,0
11.42,No,0
15.22,No,0
15.22,No,0
9.13,No,0
9.17,No,0
11.5,No,0
15.33,No,0
15.33,No,0
46.0,No,0
11.5,No,0
9.2,No,0
15.33,No,0
11.5,No,0
15.39,No,0
11.54,No,0
23.09,No,0
11.54,No,0
7.7,No,0
15.44,No,0
23.17,No,0
9.27,No,0
11.58,No,0
15.5,No,0
15.5,No,0
46.5,No,0
15.5,No,0
11.63,No,0
9.33,No,0
15.56,No,0
11.67,No,0
15.56,No,0
15.61,No,0
15.61,No,0
4.7,No,0
15.67,No,0
7.83,No,0
11.75,No,0
15.67,No,0
15.67,No,0
15.72,No,0
7.86,No,0
47.17,No,0
15.72,No,0
11.79,No,0
9.44,No,0
47.33,No,0
11.83,No,0
15.78,No,0
11.83,No,0
7.89,No,0
11.88,No,0
23.75,No,0
23.75,No,0
11.88,No,0
9.5,No,0
15.83,No,0
11.9,No,0
11.92,No,0
7.95,No,0
9.53,No,0
15.89,No,0
11.96,No,0
7.97,No,0
23.92,No,0
9.57,No,0
15.94,No,0
9.6,No,0
9.6,No,0
8.03,No,0
9.63,No,0
8.03,No,0
6.88,No,0
9.63,No,0
24.17,No,0
12.08,No,0
12.08,No,0
9.67,No,0
16.17,No,0
9.7,No,0
24.25,No,0
16.17,No,0
16.17,No,0
12.17,No,0
8.11,No,0
16.22,No,0
16.22,No,0
12.17,No,0
16.28,No,0
9.77,No,0
12.21,No,0
9.77,No,0
16.28,No,0
12.25,No,0
16.33,No,0
8.17,No,0
24.5,No,0
16.33,No,0
16.39,No,0
16.39,No,0
9.83,No,0
49.17,No,0
24.59,No,0
49.33,No,0
9.87,No,0
12.33,No,0
9.87,No,0
12.33,No,0
12.33,No,0
8.22,No,0
24.75,Yes,1
12.38,No,0
9.9,No,0
16.5,No,0
12.42,No,0
12.42,No,0
8.28,No,0
12.42,No,0
24.84,No,0
16.56,No,0
9.97,No,0
12.46,No,0
12.46,No,0
16.67,No,0
25.0,No,0
5.0,No,0
12.54,No,0
12.54,No,0
12.54,Yes,1
25.09,No,0
25.09,No,0
25.17,No,0
16.78,No,0
10.07,Yes,1
12.58,No,0
12.58,No,0
16.78,No,0
12.63,No,0
25.25,No,0
6.31,No,0
16.83,No,0
16.83,No,0
16.89,No,0
25.34,No,0
16.89,No,0
16.89,No,0
8.45,No,0
16.89,No,0
12.67,No,0
12.71,No,0
12.71,No,0
16.94,No,0
10.2,No,0
8.5,No,0
17.0,No,0
12.75,No,0
10.2,No,0
10.2,No,0
12.75,No,0
17.0,No,0
26.33,No,0
8.53,No,0
8.53,No,0
17.06,No,0
10.27,No,0
10.27,No,0
8.56,No,0
12.83,No,0
17.11,No,0
8.56,No,0
51.5,No,0
10.3,No,0
10.3,Yes,1
25.84,No,0
10.33,No,0
25.84,No,0
51.67,No,0
8.61,No,0
17.22,No,0
12.92,No,0
12.92,No,0
12.96,No,0
25.92,No,0
10.37,No,0
12.96,No,0
17.28,No,0
7.4,No,0
4.32,No,0
7.43,No,0
10.4,No,0
10.4,No,0
52.0,No,0
13.04,Yes,1
26.09,No,0
13.04,No,0
52.17,No,0
10.43,No,0
17.44,No,0
13.08,No,0
7.48,No,0
10.5,No,0
26.25,No,0
13.17,No,0
13.17,Yes,1
13.17,No,0
13.17,No,0
17.61,No,0
13.21,No,0
17.61,No,0
17.61,No,0
26.42,No,0
17.67,No,0
13.25,No,0
8.83,No,0
26.5,No,0
10.6,No,0
8.86,No,0
26.67,No,0
26.67,No,0
10.67,No,0
26.67,No,0
26.67,No,0
8.92,No,0
26.75,No,0
8.92,No,0
13.38,No,0
13.38,Yes,1
53.5,No,0
17.83,No,0
10.73,No,0
26.84,No,0
10.73,No,0
17.89,No,0
8.95,No,0
13.46,No,0
17.94,No,0
9.0,No,0
18.0,No,0
10.8,No,0
18.0,No,0
18.06,No,0
18.06,No,0
10.87,No,0
7.76,No,0
54.33,No,0
18.11,No,0
10.87,No,0
13.63,No,0
27.25,No,0
13.63,No,0
10.93,No,0
18.22,No,0
18.22,No,0
10.93,No,0
9.11,No,0
13.71,No,0
9.14,No,0
18.28,No,0
13.71,No,0
13.71,No,0
18.28,No,0
18.28,No,0
27.42,No,0
27.5,No,0
9.17,No,0
18.33,No,0
13.75,No,0
27.59,No,0
27.59,No,0
11.03,No,0
13.79,No,0
18.39,No,0
9.2,No,0
18.44,No,0
7.9,No,0
18.44,No,0
9.22,Yes,1
18.44,No,0
27.67,No,0
55.33,No,0
27.67,No,0
18.44,No,0
13.88,No,0
18.5,No,0
18.5,No,0
9.25,No,0
6.94,No,0
13.92,No,0
11.13,No,0
13.92,No,0
11.13,No,0
11.13,No,0
13.96,No,0
9.31,No,0
18.61,No,0
13.96,No,0
13.96,No,0
27.92,No,0
27.92,No,0
11.2,No,0
18.67,No,0
11.23,No,0
7.02,No,0
11.23,No,0
28.09,No,0
11.23,No,0
56.17,No,0
56.33,No,0
28.17,No,0
11.27,No,0
28.17,No,0
18.78,No,0
56.5,No,0
28.25,No,0
18.83,No,0
9.42,No,0
18.83,No,0
14.17,No,0
14.17,No,0
14.17,No,0
11.33,No,0
11.37,No,0
18.94,No,0
28.42,No,0
14.25,No,0
11.4,No,0
11.4,No,0
9.53,No,0
19.06,No,0
19.06,No,0
14.31,No,0
14.33,No,0
9.56,No,0
11.5,No,0
11.5,No,0
9.58,No,0
14.38,No,0
11.5,No,0
11.5,No,0
28.75,No,0
8.21,No,0
19.17,No,0
14.42,No,0
19.22,No,0
11.53,No,0
28.92,No,0
57.83,No,0
19.28,No,0
19.33,No,0
14.5,No,0
14.5,No,0
14.54,No,0
19.39,No,0
19.39,No,0
11.63,No,0
19.42,No,0
11.67,No,0
9.72,No,0
19.44,No,0
9.72,No,0
8.36,No,0
9.75,No,0
11.7,No,0
29.25,No,0
19.5,No,0
11.73,No,0
19.56,No,0
19.56,No,0
11.73,No,0
14.71,No,0
8.4,No,0
19.61,No,0
14.71,No,0
19.61,No,0
14.71,No,0
29.5,No,0
29.5,No,0
9.83,No,0
19.67,No,0
9.83,No,0
11.8,No,0
14.79,No,0
29.59,No,0
19.72,No,0
14.79,No,0
14.83,No,0
14.83,No,0
29.67,No,0
8.48,No,0
11.87,No,0
14.83,No,0
29.67,No,0
14.88,No,0
9.92,No,0
19.83,No,0
29.75,No,0
14.88,No,0
11.93,No,0
11.93,No,0
19.89,No,0
14.92,No,0
19.94,No,0
14.96,No,0
14.96,No,0
19.94,No,0
15.0,No,0
15.0,No,0
15.0,Yes,1
20.0,No,0
12.0,No,0
15.04,No,0
12.03,No,0
20.06,No,0
20.06,No,0
12.03,No,0
8.6,No,0
15.04,No,0
15.04,No,0
12.07,No,0
30.17,No,0
15.08,No,0
20.11,No,0
30.17,No,0
15.08,No,0
10.06,No,0
15.08,No,0
20.17,No,0
15.13,No,0
30.25,No,0
5.5,No,0
15.13,No,0
12.1,No,0
30.34,No,0
30.34,No,0
20.28,No,0
30.42,No,0
15.21,No,0
12.17,No,0
20.33,No,0
20.33,No,0
10.17,No,0
12.2,No,0
15.25,No,0
12.2,No,0
10.17,No,0
15.29,No,0
30.59,No,0
12.27,No,0
15.33,No,0
15.33,No,0
15.38,No,0
10.25,No,0
30.75,No,0
61.5,No,0
12.3,No,0
8.81,No,0
20.56,No,0
15.42,No,0
30.84,No,0
10.28,No,0
61.67,No,0
30.84,Yes,1
61.67,No,0
20.61,No,0
12.37,No,0
61.83,No,0
10.31,No,0
15.46,No,0
15.5,No,0
15.5,No,0
8.88,No,0
12.43,No,0
12.43,No,0
10.36,No,0
15.58,No,0
12.47,No,0
20.78,No,0
20.78,No,0
15.58,No,0
31.25,No,0
8.93,No,0
20.83,No,0
20.83,No,0
62.5,No,0
20.83,No,0
12.53,No,0
10.45,No,0
8.95,No,0
12.53,No,0
15.67,No,0
8.95,No,0
15.67,No,0
20.89,No,0
15.67,No,0
20.94,No,0
12.57,No,0
15.71,No,0
12.57,No,0
10.47,No,0
7.85,No,0
15.75,No,0
31.5,No,0
12.6,No,0
21.0,No,0
63.0,No,0
21.0,No,0
9.0,No,0
15.79,No,0
21.06,No,0
21.06,No,0
21.06,No,0
12.67,No,0
12.67,No,0
10.56,No,0
21.17,No,0
9.07,No,0
21.17,No,0
31.75,No,0
15.92,No,0
15.92,No,0
12.73,No,0
15.92,No,0
7.09,No,0
10.64,No,0
12.77,No,0
7.98,No,0
15.96,No,0
10.64,No,0
12.77,No,0
16.0,No,0
12.8,No,0
10.67,No,0
12.8,No,0
16.04,No,0
16.04,No,0
16.04,No,0
16.04,No,0
12.87,No,0
12.87,No,0
32.17,Yes,1
16.08,No,0
21.44,No,0
16.08,No,0
32.17,No,0
12.87,No,0
9.19,No,0
12.9,Yes,1
21.5,Yes,1
8.06,No,0
12.9,No,0
16.13,No,0
12.9,No,0
10.75,No,0
16.13,Yes,1
21.5,No,0
16.13,No,0
16.17,No,0
32.34,No,0
16.17,No,0
21.56,No,0
16.17,No,0
12.93,No,0
32.34,No,0
16.21,No,0
10.81,No,0
16.21,No,0
