Active_subscribers,CHURN,churn_binary
2,No,0
3,No,0
2,No,0
1,No,0
2,No,0
2,No,0
4,Yes,1
5,No,0
3,No,0
1,No,0
3,No,0
4,No,0
2,No,0
4,No,0
5,No,0
3,No,0
3,No,0
7,No,0
2,No,0
1,No,0
4,Yes,1
4,No,0
6,No,0
5,No,0
4,No,0
3,No,0
3,No,0
3,No,0
3,No,0
1,No,0
4,No,0
4,No,0
4,No,0
4,No,0
5,No,0
3,No,0
3,No,0
2,No,0
3,No,0
4,No,0
3,No,0
2,No,0
2,No,0
1,No,0
3,No,0
4,No,0
3,No,0
2,No,0
2,No,0
3,No,0
4,No,0
5,Yes,1
5,No,0
5,No,0
5,No,0
5,No,0
3,No,0
3,Yes,1
5,No,0
3,No,0
5,No,0
3,No,0
5,No,0
1,No,0
3,No,0
4,No,0
2,No,0
4,No,0
2,No,0
1,No,0
1,No,0
3,No,0
4,No,0
5,No,0
3,No,0
3,No,0
4,No,0
3,Yes,1
4,Yes,1
4,No,0
3,No,0
3,No,0
1,No,0
2,No,0
3,No,0
1,No,0
4,No,0
1,No,0
4,No,0
4,No,0
6,No,0
4,No,0
2,No,0
5,No,0
4,No,0
2,No,0
3,No,0
5,No,0
5,Yes,1
3,No,0
3,Yes,1
4,No,0
4,No,0
3,No,0
2,No,0
1,No,0
4,No,0
3,No,0
3,No,0
1,No,0
5,No,0
3,No,0
4,No,0
3,No,0
2,No,0
1,No,0
2,No,0
3,No,0
2,No,0
2,No,0
4,No,0
1,No,0
1,No,0
3,No,0
6,No,0
4,No,0
3,No,0
3,No,0
5,No,0
3,No,0
3,No,0
3,No,0
3,No,0
4,No,0
3,No,0
3,No,0
5,No,0
4,No,0
2,No,0
3,No,0
2,No,0
3,No,0
3,No,0
5,No,0
4,No,0
4,No,0
3,No,0
3,No,0
5,No,0
5,No,0
4,No,0
3,No,0
3,No,0
1,No,0
4,No,0
5,No,0
3,No,0
4,No,0
3,No,0
4,No,0
2,No,0
4,No,0
6,No,0
3,No,0
2,No,0
5,No,0
4,No,0
3,No,0
3,No,0
1,No,0
3,No,0
4,No,0
5,No,0
3,No,0
4,No,0
3,No,0
3,No,0
3,No,0
10,No,0
3,No,0
6,No,0
4,No,0
3,No,0
3,No,0
3,No,0
6,No,0
1,No,0
3,No,0
4,No,0
5,No,0
1,No,0
4,No,0
3,No,0
4,No,0
6,No,0
4,No,0
2,No,0
2,No,0
4,No,0
5,No,0
3,No,0
4,No,0
4,No,0
6,No,0
5,No,0
3,No,0
4,No,0
6,No,0
2,No,0
5,No,0
3,No,0
5,No,0
5,No,0
6,No,0
5,No,0
6,No,0
7,No,0
5,No,0
2,No,0
4,No,0
4,No,0
5,No,0
3,No,0
5,No,0
2,No,0
3,No,0
3,No,0
4,No,0
6,No,0
3,No,0
3,No,0
4,No,0
3,No,0
5,No,0
4,No,0
5,No,0
3,No,0
4,No,0
3,No,0
6,No,0
2,No,0
3,No,0
3,No,0
3,No,0
5,No,0
1,No,0
2,No,0
1,No,0
5,No,0
4,No,0
5,No,0
4,No,0
4,No,0
6,No,0
2,Yes,1
4,No,0
5,No,0
3,No,0
4,No,0
4,No,0
6,No,0
4,No,0
2,No,0
3,No,0
5,No,0
4,No,0
4,No,0
3,No,0
2,No,0
10,No,0
4,No,0
4,No,0
4,Yes,1
2,No,0
2,No,0
2,No,0
3,No,0
5,Yes,1
4,No,0
4,No,0
3,No,0
4,No,0
2,No,0
8,No,0
3,No,0
3,No,0
3,No,0
2,No,0
3,No,0
3,No,0
6,No,0
3,No,0
4,No,0
4,No,0
4,No,0
3,No,0
5,No,0
6,No,0
3,No,0
4,No,0
5,No,0
5,No,0
4,No,0
3,No,0
1,No,0
6,No,0
6,No,0
3,No,0
5,No,0
5,No,0
6,No,0
4,No,0
3,No,0
6,No,0
1,No,0
5,No,0
5,Yes,1
2,No,0
5,No,0
2,No,0
1,No,0
6,No,0
3,No,0
4,No,0
4,No,0
4,No,0
2,No,0
5,No,0
4,No,0
3,No,0
7,No,0
12,No,0
7,No,0
5,No,0
5,No,0
1,No,0
4,Yes,1
2,No,0
4,No,0
1,No,0
5,No,0
3,No,0
4,No,0
7,No,0
5,No,0
2,No,0
4,No,0
4,Yes,1
4,No,0
4,No,0
3,No,0
4,No,0
3,No,0
3,No,0
2,No,0
3,No,0
4,No,0
6,No,0
2,No,0
5,No,0
6,No,0
2,No,0
2,No,0
5,No,0
2,No,0
2,No,0
6,No,0
2,No,0
6,No,0
4,No,0
4,Yes,1
1,No,0
3,No,0
5,No,0
2,No,0
5,No,0
3,No,0
6,No,0
4,No,0
3,No,0
6,No,0
3,No,0
5,No,0
3,No,0
3,No,0
3,No,0
5,No,0
7,No,0
1,No,0
3,No,0
5,No,0
4,No,0
2,No,0
4,No,0
5,No,0
3,No,0
3,No,0
5,No,0
6,No,0
4,No,0
6,No,0
3,No,0
4,No,0
4,No,0
3,No,0
3,No,0
2,No,0
2,No,0
6,No,0
3,No,0
4,No,0
2,No,0
2,No,0
5,No,0
4,No,0
3,No,0
6,No,0
3,No,0
7,No,0
3,No,0
6,Yes,1
3,No,0
2,No,0
1,No,0
2,No,0
3,No,0
4,No,0
3,No,0
3,No,0
6,No,0
8,No,0
4,No,0
5,No,0
4,No,0
5,No,0
5,No,0
4,No,0
6,No,0
3,No,0
4,No,0
4,No,0
2,No,0
2,No,0
5,No,0
3,No,0
5,No,0
8,No,0
5,No,0
2,No,0
5,No,0
1,No,0
1,No,0
2,No,0
5,No,0
2,No,0
3,No,0
1,No,0
2,No,0
3,No,0
6,No,0
3,No,0
4,No,0
4,No,0
4,No,0
5,No,0
5,No,0
3,No,0
2,No,0
4,No,0
5,No,0
5,No,0
6,No,0
3,No,0
3,No,0
4,No,0
4,No,0
6,No,0
5,No,0
5,No,0
6,No,0
4,No,0
5,No,0
5,No,0
2,No,0
7,No,0
3,No,0
4,No,0
3,No,0
5,No,0
2,No,0
1,No,0
3,No,0
3,No,0
4,No,0
4,No,0
4,No,0
3,No,0
3,No,0
5,No,0
3,No,0
5,No,0
6,No,0
3,No,0
6,No,0
7,No,0
6,No,0
5,No,0
2,No,0
3,No,0
5,No,0
3,No,0
3,No,0
5,No,0
4,No,0
7,No,0
3,No,0
4,No,0
3,No,0
4,No,0
2,No,0
2,No,0
6,No,0
3,No,0
6,No,0
5,No,0
4,No,0
2,No,0
3,No,0
4,No,0
4,No,0
4,No,0
2,No,0
7,No,0
5,No,0
4,No,0
2,No,0
4,No,0
6,No,0
3,No,0
2,No,0
4,No,0
5,No,0
5,No,0
3,No,0
4,No,0
3,No,0
4,No,0
4,No,0
3,No,0
4,No,0
4,No,0
4,Yes,1
3,No,0
5,No,0
4,No,0
5,No,0
3,No,0
3,No,0
5,No,0
7,No,0
4,No,0
4,No,0
5,No,0
2,No,0
4,No,0
3,No,0
2,No,0
4,No,0
6,No,0
4,No,0
3,No,0
4,No,0
2,No,0
11,No,0
4,No,0
5,No,0
2,No,0
2,No,0
3,No,0
2,No,0
4,No,0
5,No,0
3,No,0
3,No,0
6,No,0
5,No,0
4,No,0
5,No,0
6,No,0
4,No,0
2,No,0
5,No,0
4,No,0
4,No,0
4,No,0
6,No,0
2,No,0
1,No,0
5,No,0
7,No,0
3,No,0
4,No,0
2,No,0
6,No,0
1,No,0
2,Yes,1
1,No,0
3,No,0
5,No,0
1,No,0
6,No,0
4,No,0
4,No,0
4,No,0
7,No,0
5,No,0
5,No,0
6,No,0
4,No,0
5,No,0
3,No,0
3,No,0
4,No,0
2,No,0
7,No,0
3,No,0
3,No,0
1,No,0
3,No,0
5,No,0
6,No,0
7,No,0
5,No,0
4,No,0
7,No,0
4,No,0
3,No,0
4,No,0
3,No,0
5,No,0
4,No,0
5,No,0
6,No,0
8,No,0
4,No,0
2,No,0
5,No,0
3,No,0
1,No,0
3,No,0
7,No,0
4,No,0
3,No,0
3,No,0
3,No,0
5,No,0
5,No,0
6,No,0
3,No,0
7,No,0
3,No,0
2,No,0
4,No,0
4,No,0
5,No,0
4,No,0
9,No,0
6,No,0
5,No,0
8,No,0
4,No,0
6,No,0
5,No,0
4,No,0
5,No,0
6,No,0
5,No,0
4,No,0
4,No,0
4,No,0
4,No,0
5,No,0
5,No,0
2,Yes,1
4,No,0
3,No,0
4,No,0
2,No,0
5,No,0
7,No,0
5,Yes,1
3,Yes,1
8,No,0
5,No,0
4,No,0
5,No,0
6,No,0
4,Yes,1
3,No,0
4,No,0
4,No,0
2,No,0
4,No,0
3,No,0
4,No,0
5,No,0
2,No,0
4,No,0
6,No,0
4,No,0
6,No,0
4,No,0
3,No,0
6,No,0
5,No,0
3,No,0
2,No,0
4,No,0
6,No,0
5,No,0
5,No,0
3,No,0
1,No,0
3,No,0
3,No,0
3,No,0
6,No,0
3,No,0
4,No,0
4,No,0
3,No,0
6,Yes,1
3,No,0
