Billing_ZIP,CHURN,churn_binary
6000,No,0
6400,No,0
6000,No,0
4400,No,0
4000,No,0
6600,No,0
4644,Yes,1
6100,No,0
6100,No,0
6280,No,0
4550,No,0
6000,No,0
6000,No,0
4230,No,0
4550,No,0
4300,No,0
4015,No,0
4000,No,0
4500,No,0
6000,No,0
4400,Yes,1
4004,No,0
4017,No,0
4023,No,0
6000,No,0
6000,No,0
6000,No,0
4000,No,0
4004,No,0
4000,No,0
4230,No,0
6000,No,0
9283,No,0
4000,No,0
4173,No,0
8900,No,0
6155,No,0
4400,No,0
4400,No,0
6310,No,0
4400,No,0
4400,No,0
4468,No,0
4023,No,0
4023,No,0
4400,No,0
4000,No,0
4013,No,0
6000,No,0
4400,No,0
4004,No,0
4000,Yes,1
4004,No,0
4000,No,0
6100,No,0
6000,No,0
4023,No,0
4400,Yes,1
6091,No,0
4144,No,0
6260,No,0
6000,No,0
6000,No,0
4550,No,0
4225,No,0
6400,No,0
6260,No,0
4150,No,0
4000,No,0
4400,No,0
4002,No,0
4000,No,0
6001,No,0
4023,No,0
6000,No,0
4223,No,0
6000,No,0
6300,Yes,1
4600,Yes,1
4400,No,0
4002,No,0
6200,No,0
4000,No,0
4023,No,0
4000,No,0
4000,No,0
6000,No,0
6000,No,0
4004,No,0
4220,No,0
6100,No,0
4023,No,0
4465,No,0
4400,No,0
6000,No,0
6000,No,0
6900,No,0
4003,No,0
4150,Yes,1
4400,No,0
6100,Yes,1
4002,No,0
6400,No,0
6000,No,0
4600,No,0
4023,No,0
6400,No,0
4150,No,0
4109,No,0
4500,No,0
4114,No,0
6000,No,0
4700,No,0
4400,No,0
6000,No,0
4000,No,0
4000,No,0
4000,No,0
4197,No,0
6100,No,0
4000,No,0
6400,No,0
6300,No,0
4700,No,0
6100,No,0
6400,No,0
6000,No,0
4000,No,0
6550,No,0
4023,No,0
4003,No,0
6000,No,0
6000,No,0
4003,No,0
4002,No,0
4400,No,0
4000,No,0
4400,No,0
6100,No,0
4412,No,0
4030,No,0
4002,No,0
6100,No,0
4000,No,0
4003,No,0
6100,No,0
6000,No,0
6600,No,0
6300,No,0
4000,No,0
4400,No,0
4220,No,0
4400,No,0
6001,No,0
6450,No,0
6001,No,0
6000,No,0
4581,No,0
4400,No,0
6100,No,0
4000,No,0
6500,No,0
6550,No,0
4400,No,0
6400,No,0
6100,No,0
6100,No,0
4271,No,0
4004,No,0
6001,No,0
6400,No,0
6000,No,0
4000,No,0
4230,No,0
6000,No,0
6200,No,0
4130,No,0
4000,No,0
4000,No,0
6000,No,0
4400,No,0
4400,No,0
6300,No,0
6600,No,0
4400,No,0
4023,No,0
6000,No,0
6260,No,0
6000,No,0
4000,No,0
4484,No,0
4000,No,0
6000,No,0
6400,No,0
6000,No,0
4130,No,0
4470,No,0
4550,No,0
4400,No,0
6600,No,0
6000,No,0
6300,No,0
2442,No,0
4230,No,0
4400,No,0
6138,No,0
4400,No,0
4000,No,0
6000,No,0
6100,No,0
6500,No,0
4004,No,0
4000,No,0
4400,No,0
4151,No,0
6000,No,0
6400,No,0
6400,No,0
4400,No,0
6400,No,0
6600,No,0
4023,No,0
4000,No,0
6300,No,0
4160,No,0
6400,No,0
6300,No,0
4550,No,0
4000,No,0
4000,No,0
6000,No,0
4023,No,0
4004,No,0
6000,No,0
6600,No,0
6000,No,0
4002,No,0
4600,No,0
4000,No,0
4230,No,0
6000,No,0
6000,No,0
4000,No,0
6000,No,0
6000,No,0
6000,No,0
4023,No,0
4419,No,0
4015,No,0
4225,No,0
4000,No,0
6000,No,0
4400,No,0
4023,No,0
4700,Yes,1
6000,No,0
6000,No,0
4000,No,0
4004,No,0
6004,No,0
6200,No,0
6000,No,0
4400,No,0
4600,No,0
6100,No,0
4400,No,0
6000,No,0
4600,No,0
4220,No,0
6450,No,0
6000,No,0
6100,No,0
6000,Yes,1
4000,No,0
6490,No,0
4300,No,0
6000,No,0
6260,Yes,1
6000,No,0
6100,No,0
6400,No,0
4500,No,0
4002,No,0
6000,No,0
