TotalRevenue,CHURN,churn_binary
40.17,No,0
40.17,No,0
40.17,No,0
40.17,No,0
40.17,No,0
40.17,No,0
40.33,Yes,1
40.33,No,0
40.33,No,0
40.33,No,0
40.5,No,0
40.5,No,0
40.5,No,0
40.67,No,0
40.83,No,0
40.83,No,0
40.83,No,0
40.83,No,0
40.83,No,0
40.83,No,0
41.0,Yes,1
41.0,No,0
41.0,No,0
41.0,No,0
41.0,No,0
41.0,No,0
41.0,No,0
41.17,No,0
41.17,No,0
41.17,No,0
41.17,No,0
41.17,No,0
41.17,No,0
41.17,No,0
41.17,No,0
41.17,No,0
41.33,No,0
41.33,No,0
41.33,No,0
41.33,No,0
41.5,No,0
41.5,No,0
41.67,No,0
41.67,No,0
41.67,No,0
41.83,No,0
41.83,No,0
41.83,No,0
41.83,No,0
42.0,No,0
42.0,No,0
42.0,Yes,1
42.0,No,0
42.0,No,0
42.0,No,0
42.0,No,0
42.17,No,0
42.17,Yes,1
42.17,No,0
42.33,No,0
42.33,No,0
42.33,No,0
42.33,No,0
42.33,No,0
42.33,No,0
42.33,No,0
42.33,No,0
42.5,No,0
42.5,No,0
42.5,No,0
42.5,No,0
42.5,No,0
42.5,No,0
42.5,No,0
42.5,No,0
42.67,No,0
42.67,No,0
42.67,Yes,1
42.83,Yes,1
42.83,No,0
42.83,No,0
42.83,No,0
43.0,No,0
43.0,No,0
43.0,No,0
43.0,No,0
43.0,No,0
43.0,No,0
43.17,No,0
43.17,No,0
43.17,No,0
43.17,No,0
43.33,No,0
43.33,No,0
43.33,No,0
43.33,No,0
43.33,No,0
43.5,No,0
43.5,Yes,1
43.5,No,0
43.5,Yes,1
43.67,No,0
43.67,No,0
43.67,No,0
43.67,No,0
43.67,No,0
43.67,No,0
43.83,No,0
43.83,No,0
43.83,No,0
44.0,No,0
44.0,No,0
44.17,No,0
44.17,No,0
44.17,No,0
44.17,No,0
44.17,No,0
44.33,No,0
44.33,No,0
44.33,No,0
44.33,No,0
44.33,No,0
44.33,No,0
44.5,No,0
44.5,No,0
44.5,No,0
44.5,No,0
44.67,No,0
44.67,No,0
44.83,No,0
44.83,No,0
44.83,No,0
44.83,No,0
45.0,No,0
45.0,No,0
45.17,No,0
45.17,No,0
45.17,No,0
45.17,No,0
45.33,No,0
45.33,No,0
45.33,No,0
45.33,No,0
45.5,No,0
45.67,No,0
45.67,No,0
45.67,No,0
45.67,No,0
45.67,No,0
45.83,No,0
46.0,No,0
46.0,No,0
46.0,No,0
