Total_SUBs,CHURN,churn_binary
2,No,0
3,No,0
5,No,0
3,No,0
3,No,0
13,No,0
4,Yes,1
7,No,0
3,No,0
1,No,0
3,No,0
5,No,0
2,No,0
4,No,0
6,No,0
4,No,0
11,No,0
32,No,0
2,No,0
4,No,0
4,Yes,1
4,No,0
6,No,0
5,No,0
4,No,0
3,No,0
6,No,0
10,No,0
5,No,0
5,No,0
5,No,0
6,No,0
6,No,0
4,No,0
5,No,0
3,No,0
3,No,0
2,No,0
3,No,0
4,No,0
4,No,0
3,No,0
2,No,0
3,No,0
7,No,0
4,No,0
10,No,0
3,No,0
3,No,0
3,No,0
4,No,0
7,Yes,1
6,No,0
5,No,0
6,No,0
6,No,0
3,No,0
4,Yes,1
5,No,0
3,No,0
5,No,0
4,No,0
5,No,0
5,No,0
6,No,0
6,No,0
2,No,0
4,No,0
8,No,0
34,No,0
5,No,0
3,No,0
5,No,0
9,No,0
6,No,0
5,No,0
7,No,0
3,Yes,1
5,Yes,1
5,No,0
3,No,0
5,No,0
6,No,0
2,No,0
3,No,0
7,No,0
4,No,0
2,No,0
6,No,0
5,No,0
6,No,0
4,No,0
2,No,0
11,No,0
4,No,0
3,No,0
3,No,0
6,No,0
5,Yes,1
6,No,0
4,Yes,1
7,No,0
4,No,0
3,No,0
3,No,0
6,No,0
4,No,0
7,No,0
3,No,0
2,No,0
6,No,0
3,No,0
4,No,0
5,No,0
5,No,0
1,No,0
7,No,0
4,No,0
2,No,0
11,No,0
4,No,0
4,No,0
19,No,0
9,No,0
6,No,0
5,No,0
3,No,0
4,No,0
5,No,0
8,No,0
6,No,0
3,No,0
3,No,0
9,No,0
5,No,0
3,No,0
9,No,0
6,No,0
3,No,0
8,No,0
2,No,0
6,No,0
4,No,0
6,No,0
6,No,0
5,No,0
4,No,0
3,No,0
5,No,0
14,No,0
6,No,0
3,No,0
3,No,0
1,No,0
4,No,0
6,No,0
4,No,0
4,No,0
3,No,0
4,No,0
3,No,0
6,No,0
6,No,0
4,No,0
4,No,0
6,No,0
4,No,0
3,No,0
3,No,0
6,No,0
3,No,0
4,No,0
5,No,0
5,No,0
4,No,0
5,No,0
4,No,0
4,No,0
12,No,0
6,No,0
19,No,0
6,No,0
3,No,0
3,No,0
4,No,0
8,No,0
1,No,0
8,No,0
7,No,0
5,No,0
1,No,0
4,No,0
4,No,0
4,No,0
7,No,0
5,No,0
3,No,0
2,No,0
4,No,0
5,No,0
3,No,0
4,No,0
6,No,0
11,No,0
7,No,0
3,No,0
5,No,0
11,No,0
3,No,0
5,No,0
4,No,0
5,No,0
5,No,0
7,No,0
5,No,0
10,No,0
7,No,0
7,No,0
2,No,0
5,No,0
5,No,0
8,No,0
3,No,0
8,No,0
3,No,0
3,No,0
5,No,0
4,No,0
6,No,0
4,No,0
3,No,0
6,No,0
6,No,0
6,No,0
4,No,0
5,No,0
3,No,0
13,No,0
3,No,0
6,No,0
3,No,0
3,No,0
5,No,0
4,No,0
6,No,0
2,No,0
3,No,0
4,No,0
6,No,0
7,No,0
6,No,0
4,No,0
4,No,0
6,No,0
4,Yes,1
5,No,0
5,No,0
5,No,0
8,No,0
4,No,0
7,No,0
4,No,0
2,No,0
3,No,0
8,No,0
5,No,0
4,No,0
3,No,0
2,No,0
10,No,0
4,No,0
6,No,0
4,Yes,1
11,No,0
3,No,0
3,No,0
4,No,0
5,Yes,1
5,No,0
6,No,0
4,No,0
4,No,0
2,No,0
8,No,0
3,No,0
3,No,0
3,No,0
3,No,0
6,No,0
4,No,0
6,No,0
3,No,0
6,No,0
4,No,0
4,No,0
5,No,0
6,No,0
7,No,0
8,No,0
5,No,0
5,No,0
5,No,0
6,No,0
4,No,0
1,No,0
6,No,0
6,No,0
5,No,0
5,No,0
5,No,0
6,No,0
4,No,0
5,No,0
11,No,0
5,No,0
7,No,0
6,Yes,1
3,No,0
5,No,0
2,No,0
1,No,0
6,No,0
9,No,0
4,No,0
8,No,0
5,No,0
3,No,0
5,No,0
9,No,0
3,No,0
8,No,0
25,No,0
8,No,0
5,No,0
6,No,0
1,No,0
4,Yes,1
3,No,0
5,No,0
1,No,0
8,No,0
4,No,0
5,No,0
7,No,0
5,No,0
2,No,0
4,No,0
5,Yes,1
4,No,0
4,No,0
5,No,0
8,No,0
3,No,0
3,No,0
6,No,0
4,No,0
5,No,0
9,No,0
10,No,0
6,No,0
6,No,0
4,No,0
5,No,0
5,No,0
7,No,0
2,No,0
6,No,0
3,No,0
6,No,0
5,No,0
5,Yes,1
1,No,0
3,No,0
5,No,0
3,No,0
5,No,0
3,No,0
8,No,0
4,No,0
3,No,0
6,No,0
4,No,0
5,No,0
4,No,0
3,No,0
3,No,0
5,No,0
39,No,0
1,No,0
3,No,0
5,No,0
4,No,0
2,No,0
4,No,0
6,No,0
3,No,0
3,No,0
7,No,0
6,No,0
5,No,0
6,No,0
7,No,0
6,No,0
5,No,0
3,No,0
5,No,0
2,No,0
5,No,0
8,No,0
3,No,0
4,No,0
12,No,0
12,No,0
5,No,0
5,No,0
4,No,0
6,No,0
7,No,0
8,No,0
4,No,0
9,Yes,1
5,No,0
5,No,0
4,No,0
3,No,0
3,No,0
4,No,0
4,No,0
5,No,0
7,No,0
8,No,0
9,No,0
5,No,0
4,No,0
8,No,0
5,No,0
4,No,0
7,No,0
6,No,0
5,No,0
4,No,0
8,No,0
2,No,0
9,No,0
3,No,0
5,No,0
9,No,0
7,No,0
2,No,0
5,No,0
2,No,0
4,No,0
5,No,0
5,No,0
5,No,0
3,No,0
11,No,0
3,No,0
3,No,0
6,No,0
4,No,0
4,No,0
9,No,0
4,No,0
7,No,0
5,No,0
5,No,0
5,No,0
9,No,0
8,No,0
7,No,0
6,No,0
3,No,0
5,No,0
4,No,0
4,No,0
6,No,0
5,No,0
8,No,0
7,No,0
6,No,0
5,No,0
5,No,0
7,No,0
7,No,0
5,No,0
4,No,0
5,No,0
5,No,0
2,No,0
8,No,0
3,No,0
9,No,0
5,No,0
4,No,0
8,No,0
3,No,0
5,No,0
6,No,0
3,No,0
5,No,0
7,No,0
8,No,0
7,No,0
8,No,0
8,No,0
5,No,0
2,No,0
4,No,0
5,No,0
3,No,0
7,No,0
7,No,0
4,No,0
7,No,0
6,No,0
5,No,0
3,No,0
4,No,0
3,No,0
3,No,0
6,No,0
5,No,0
12,No,0
7,No,0
4,No,0
2,No,0
3,No,0
5,No,0
6,No,0
5,No,0
3,No,0
8,No,0
5,No,0
4,No,0
4,No,0
4,No,0
7,No,0
3,No,0
4,No,0
5,No,0
5,No,0
5,No,0
3,No,0
5,No,0
6,No,0
4,No,0
4,No,0
3,No,0
5,No,0
13,No,0
4,Yes,1
4,No,0
7,No,0
4,No,0
5,No,0
3,No,0
4,No,0
6,No,0
7,No,0
6,No,0
4,No,0
7,No,0
2,No,0
6,No,0
3,No,0
4,No,0
5,No,0
7,No,0
4,No,0
4,No,0
5,No,0
2,No,0
11,No,0
4,No,0
5,No,0
2,No,0
3,No,0
3,No,0
7,No,0
4,No,0
5,No,0
4,No,0
6,No,0
7,No,0
6,No,0
6,No,0
6,No,0
6,No,0
4,No,0
8,No,0
5,No,0
6,No,0
4,No,0
4,No,0
6,No,0
3,No,0
4,No,0
5,No,0
9,No,0
4,No,0
5,No,0
3,No,0
6,No,0
4,No,0
3,Yes,1
3,No,0
6,No,0
6,No,0
2,No,0
7,No,0
30,No,0
4,No,0
7,No,0
7,No,0
5,No,0
6,No,0
6,No,0
5,No,0
9,No,0
7,No,0
11,No,0
4,No,0
2,No,0
7,No,0
3,No,0
3,No,0
3,No,0
4,No,0
7,No,0
6,No,0
8,No,0
5,No,0
5,No,0
7,No,0
7,No,0
5,No,0
4,No,0
4,No,0
5,No,0
6,No,0
8,No,0
6,No,0
12,No,0
4,No,0
4,No,0
5,No,0
3,No,0
2,No,0
3,No,0
12,No,0
4,No,0
5,No,0
4,No,0
3,No,0
5,No,0
5,No,0
6,No,0
3,No,0
13,No,0
3,No,0
8,No,0
4,No,0
4,No,0
6,No,0
4,No,0
9,No,0
6,No,0
5,No,0
8,No,0
4,No,0
6,No,0
5,No,0
5,No,0
5,No,0
6,No,0
5,No,0
5,No,0
5,No,0
7,No,0
4,No,0
5,No,0
5,No,0
10,Yes,1
6,No,0
4,No,0
4,No,0
3,No,0
6,No,0
7,No,0
5,Yes,1
3,Yes,1
8,No,0
6,No,0
4,No,0
6,No,0
8,No,0
4,Yes,1
4,No,0
5,No,0
9,No,0
2,No,0
6,No,0
3,No,0
4,No,0
6,No,0
2,No,0
4,No,0
6,No,0
5,No,0
6,No,0
5,No,0
4,No,0
9,No,0
5,No,0
5,No,0
3,No,0
4,No,0
9,No,0
6,No,0
6,No,0
3,No,0
1,No,0
3,No,0
3,No,0
3,No,0
6,No,0
21,No,0
4,No,0
5,No,0
3,No,0
7,Yes,1
3,No,0
