CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Iron,SOHO,6450,4,,,4,46.0,0.0,46.0,11.5,No,0
Bronze,SOHO,6450,10,,,10,50.0,0.0,50.0,5.0,No,0
Bronze,SOHO,6450,2,,,2,56.17,0.0,56.17,28.09,No,0
Bronze,SOHO,6450,2,3.0,,5,56.33,0.0,56.33,28.17,No,0
Bronze,SOHO,6450,4,,1.0,5,59.17,0.0,59.17,14.79,No,0
Bronze,SOHO,6450,6,1.0,,7,65.67,0.0,65.67,10.95,No,0
Bronze,SOHO,6450,4,1.0,,5,75.17,0.0,75.17,18.79,No,0
Bronze,SOHO,6450,4,,,4,75.5,0.0,75.5,18.88,No,0
Bronze,SOHO,6450,8,,,8,75.67,0.0,75.67,9.46,No,0
Bronze,SOHO,6450,7,,,7,75.83,0.0,75.83,10.83,No,0
Silver,SOHO,6450,9,,,9,77.2,0.0,77.2,8.58,No,0
Bronze,SOHO,6450,4,3.0,,7,80.33,0.0,80.33,20.08,No,0
Bronze,SOHO,6450,9,,,9,80.67,0.0,80.67,8.96,No,0
Bronze,SOHO,6450,6,,,6,81.5,0.0,81.5,13.58,No,0
Bronze,SOHO,6450,2,1.0,,3,83.33,0.0,83.33,41.67,No,0
Bronze,SOHO,6450,6,4.0,,10,86.5,0.0,86.5,14.42,No,0
Silver,SOHO,6450,4,2.0,,6,87.0,0.0,87.0,21.75,No,0
Silver,SOHO,6450,5,,,5,87.6,0.0,87.6,17.52,No,0
Bronze,SOHO,6450,8,2.0,,10,88.33,0.0,88.33,11.04,No,0
Bronze,SOHO,6450,5,,,5,88.83,0.0,88.83,17.77,No,0
Bronze,SOHO,6450,4,,,4,91.33,0.0,91.33,22.83,No,0
Bronze,SOHO,6450,8,,,8,91.75,0.0,91.75,11.47,No,0
Bronze,VSE,6450,4,,,4,99.33,0.0,99.33,24.83,No,0
Bronze,SOHO,6450,4,4.0,,8,100.5,0.0,100.5,25.13,No,0
Silver,SOHO,6450,8,2.0,,10,106.17,0.0,106.17,13.27,No,0
Bronze,SOHO,6450,9,,,9,108.33,0.0,108.33,12.04,Yes,1
Silver,SOHO,6450,4,1.0,,5,116.17,0.0,116.17,29.04,No,0
Silver,SOHO,6450,8,,,8,116.67,0.0,116.67,14.58,No,0
Bronze,SOHO,6450,5,1.0,,6,120.83,0.0,120.83,24.17,No,0
Bronze,SOHO,6450,5,1.0,,6,121.83,0.0,121.83,24.37,No,0
Bronze,SOHO,6450,5,1.0,,6,125.33,0.0,125.33,25.07,No,0
Silver,SOHO,6450,6,2.0,2.0,10,125.83,0.0,125.83,20.97,No,0
Silver,SOHO,6450,9,,,9,127.5,0.0,127.5,14.17,No,0
Silver,SOHO,6450,8,,,8,131.67,0.0,131.67,16.46,No,0
Bronze,SOHO,6450,5,1.0,,6,135.5,0.0,135.5,27.1,No,0
Silver,SOHO,6450,6,,,6,135.67,0.0,135.67,22.61,No,0
Silver,SOHO,6450,6,1.0,,7,137.0,0.0,137.0,22.83,Yes,1
Silver,SOHO,6450,7,,,7,138.5,0.0,138.5,19.79,No,0
Silver,VSE,6450,12,3.0,,15,139.67,0.0,139.67,11.64,No,0
Silver,SOHO,6450,7,1.0,,8,146.67,0.0,146.67,20.95,No,0
Silver,SOHO,6450,11,,,11,147.17,0.0,147.17,13.38,No,0
Silver,SOHO,6450,8,,,8,147.83,0.0,147.83,18.48,No,0
Silver,VSE,6450,11,,,11,153.67,0.0,153.67,13.97,No,0
Bronze,SOHO,6450,3,,,3,155.0,0.0,155.0,51.67,No,0
Silver,SOHO,6450,6,2.0,,8,157.67,0.0,157.67,26.28,No,0
Silver,SOHO,6450,13,3.0,,16,161.67,0.0,161.67,12.44,No,0
Gold,SOHO,6450,4,2.0,,6,163.0,0.0,163.0,40.75,No,0
Gold,SOHO,6450,13,2.0,,15,173.83,0.0,173.83,13.37,No,0
Gold,VSE,6450,10,1.0,,11,178.0,0.0,178.0,17.8,No,0
Silver,SOHO,6450,8,,,8,182.0,0.0,182.0,22.75,No,0
Silver,SOHO,6450,11,9.0,,20,191.5,0.0,191.5,17.41,No,0
Gold,VSE,6450,10,1.0,,11,191.5,0.0,191.5,19.15,No,0
Gold,VSE,6450,14,3.0,1.0,18,195.33,0.0,195.33,13.95,No,0
Silver,VSE,6450,3,,,3,197.67,0.0,197.67,65.89,No,0
Gold,SOHO,6450,14,6.0,,20,200.17,0.0,200.17,14.3,No,0
Platinum,VSE,6450,2,1.0,,3,204.0,0.0,204.0,102.0,No,0
Gold,VSE,6450,15,2.0,,17,204.67,0.0,204.67,13.64,No,0
Gold,VSE,6450,17,5.0,,22,207.17,0.0,207.17,12.19,No,0
Silver,SOHO,6450,11,3.0,,14,211.83,0.0,211.83,19.26,No,0
Gold,SOHO,6450,6,1.0,,7,212.5,0.0,212.5,35.42,No,0
Silver,VSE,6450,7,,,7,217.5,0.0,217.5,31.07,No,0
Silver,VSE,6450,4,2.0,,6,238.67,0.0,238.67,59.67,Yes,1
Platinum,VSE,6450,8,27.0,,35,239.67,0.0,239.67,29.96,Yes,1
Gold,SOHO,6450,18,,,18,243.4,0.0,243.4,13.52,No,0
Gold,VSE,6450,19,,,19,243.5,0.0,243.5,12.82,No,0
Gold,VSE,6450,12,,,12,247.17,0.0,247.17,20.6,No,0
Bronze,SOHO,6450,4,,,4,247.17,0.0,247.17,61.79,No,0
Gold,VSE,6450,9,1.0,,10,247.5,0.0,247.5,27.5,No,0
Gold,VSE,6450,15,1.0,,16,252.83,0.0,252.83,16.86,No,0
Gold,VSE,6450,12,5.0,,17,253.83,0.0,253.83,21.15,No,0
Gold,SOHO,6450,8,1.0,,9,272.0,0.0,272.0,34.0,No,0
Gold,VSE,6450,4,4.0,,8,272.17,0.0,272.17,68.04,No,0
Gold,SOHO,6450,24,,,24,274.83,0.0,274.83,11.45,No,0
Gold,VSE,6450,13,,,13,282.17,0.0,282.17,21.71,Yes,1
Gold,VSE,6450,15,,1.0,16,283.17,0.0,283.17,18.88,Yes,1
Gold,VSE,6450,17,,,17,291.5,0.0,291.5,17.15,No,0
Silver,SOHO,6450,13,1.0,,14,303.33,0.0,303.33,23.33,No,0
Gold,SOHO,6450,15,2.0,,17,311.33,0.0,311.33,20.76,Yes,1
Gold,VSE,6450,13,5.0,,18,361.0,0.0,361.0,27.77,No,0
Gold,VSE,6450,20,4.0,,24,401.17,0.0,401.17,20.06,No,0
Platinum,VSE,6450,77,4.0,,81,402.67,0.0,402.67,5.23,No,0
Platinum,VSE,6450,13,12.0,,25,493.67,0.0,493.67,37.97,No,0
SME,SME,6450,11,,,11,243.33,0.0,243.33,22.12,No,0
SME,SME,6450,15,11.0,,26,290.5,0.0,290.5,19.37,No,0
SME,SME,6450,22,4.0,,26,456.33,0.0,456.33,20.74,No,0
