CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Bronze,SOHO,6000,2,,,2,40.17,0.0,40.17,,No,0
Bronze,SOHO,6400,3,,,3,40.17,0.0,40.17,13.39,No,0
Bronze,SOHO,6000,2,3.0,,5,40.17,0.0,40.17,20.09,No,0
Bronze,SOHO,4400,1,2.0,,3,40.17,0.0,40.17,40.17,No,0
Bronze,SOHO,4644,4,,,4,40.33,0.0,40.33,10.08,Yes,1
Bronze,SOHO,6280,1,,,1,40.33,0.0,40.33,40.33,No,0
Bronze,SOHO,4550,3,,,3,40.5,0.0,40.5,13.5,No,0
Bronze,SOHO,6000,4,1.0,,5,40.5,0.0,40.5,10.13,No,0
Bronze,SOHO,4550,5,1.0,,6,40.83,0.0,40.83,8.17,No,0
Bronze,SOHO,4300,3,1.0,,4,40.83,0.0,40.83,13.61,No,0
Bronze,SOHO,4500,2,,,2,40.83,0.0,40.83,20.42,No,0
Bronze,SOHO,6000,1,3.0,,4,40.83,0.0,40.83,40.83,No,0
Bronze,SOHO,4017,6,,,6,41.0,0.0,41.0,6.83,No,0
Bronze,SOHO,6000,3,3.0,,6,41.0,0.0,41.0,13.67,No,0
Bronze,SOHO,4000,3,7.0,,10,41.17,0.0,41.17,13.72,No,0
Bronze,SOHO,4004,3,2.0,,5,41.17,0.0,41.17,13.72,No,0
Bronze,SOHO,4000,1,4.0,,5,41.17,0.0,41.17,41.17,No,0
Bronze,SOHO,4230,4,1.0,,5,41.17,0.0,41.17,10.29,No,0
Bronze,SOHO,6000,4,2.0,,6,41.17,0.0,41.17,10.29,No,0
Bronze,SOHO,9283,4,2.0,,6,41.17,0.0,41.17,10.29,No,0
Bronze,SOHO,4000,4,,,4,41.17,0.0,41.17,10.29,No,0
Bronze,SOHO,4173,5,,,5,41.17,0.0,41.17,8.23,No,0
Bronze,SOHO,6155,3,,,3,41.33,0.0,41.33,13.78,No,0
Bronze,SOHO,4400,3,1.0,,4,41.5,0.0,41.5,13.83,No,0
Bronze,SOHO,4400,2,1.0,,3,41.5,0.0,41.5,20.75,No,0
Bronze,SOHO,4468,2,,,2,41.67,0.0,41.67,20.84,No,0
Bronze,SOHO,4023,1,2.0,,3,41.67,0.0,41.67,41.67,No,0
Bronze,SOHO,4023,3,4.0,,7,41.67,0.0,41.67,13.89,No,0
Bronze,SOHO,4400,4,,,4,41.83,0.0,41.83,10.46,No,0
Bronze,SOHO,4000,3,7.0,,10,41.83,0.0,41.83,13.94,No,0
Bronze,SOHO,4013,2,1.0,,3,41.83,0.0,41.83,20.92,No,0
Bronze,SOHO,6000,2,,1.0,3,41.83,0.0,41.83,20.92,No,0
Bronze,SOHO,4400,3,,,3,42.0,0.0,42.0,14.0,No,0
Bronze,SOHO,4004,4,,,4,42.0,0.0,42.0,10.5,No,0
Bronze,SOHO,4000,5,2.0,,7,42.0,0.0,42.0,8.4,Yes,1
Bronze,SOHO,4023,3,,,3,42.17,0.0,42.17,14.06,No,0
Bronze,SOHO,4400,3,1.0,,4,42.17,0.0,42.17,14.06,Yes,1
Bronze,SOHO,6091,5,,,5,42.17,0.0,42.17,8.43,No,0
Bronze,SOHO,4144,3,,,3,42.33,0.0,42.33,14.11,No,0
Bronze,SOHO,6260,5,,,5,42.33,0.0,42.33,8.47,No,0
Bronze,SOHO,6000,5,,,5,42.33,0.0,42.33,8.47,No,0
Bronze,SOHO,4225,3,3.0,,6,42.33,0.0,42.33,14.11,No,0
Bronze,SOHO,6400,4,2.0,,6,42.33,0.0,42.33,10.58,No,0
Bronze,SOHO,6260,2,,,2,42.33,0.0,42.33,21.17,No,0
Bronze,SOHO,4150,4,,,4,42.5,0.0,42.5,10.63,No,0
Bronze,SOHO,4002,1,4.0,,5,42.5,0.0,42.5,42.5,No,0
Bronze,SOHO,6001,4,1.0,,5,42.5,0.0,42.5,10.63,No,0
Bronze,SOHO,4023,5,4.0,,9,42.5,0.0,42.5,8.5,No,0
