CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Gold,VSE,6600,2,11.0,,13,40.17,0.0,40.17,20.09,No,0
Gold,VSE,4000,7,25.0,,32,40.83,0.0,40.83,5.83,No,0
Gold,VSE,4800,7,32.0,,39,54.33,0.0,54.33,7.76,No,0
Gold,VSE,6400,2,3.0,,5,56.83,0.0,56.83,28.42,No,0
Gold,VSE,6300,3,8.0,,11,62.33,0.0,62.33,20.78,No,0
Gold,SOHO,6400,6,1.0,,7,68.33,0.0,68.33,11.39,No,0
Gold,VSE,6000,2,13.0,,15,71.83,0.0,71.83,35.92,No,0
Gold,VSE,6860,5,8.0,,13,75.67,0.0,75.67,15.13,No,0
Gold,SOHO,6100,2,,,2,78.33,0.0,78.33,39.17,No,0
Gold,SOHO,6100,1,,,1,82.33,0.0,82.33,82.33,No,0
Gold,SOHO,6000,2,2.0,,4,90.5,0.0,90.5,45.25,No,0
Gold,VSE,6600,1,13.0,,14,91.5,0.0,91.5,91.5,No,0
Gold,VSE,4300,6,10.0,,16,91.83,0.0,91.83,15.31,No,0
Gold,SOHO,8900,4,,,4,94.83,0.0,94.83,23.71,No,0
Gold,SOHO,4000,4,3.0,,7,96.5,0.0,96.5,24.13,No,0
Gold,SOHO,6363,8,,,8,96.5,0.0,96.5,12.06,No,0
Gold,VSE,4000,4,1.0,,5,97.17,0.0,97.17,24.29,No,0
Gold,SOHO,4210,6,2.0,,8,98.0,0.0,98.0,16.33,Yes,1
Gold,VSE,4600,5,2.0,,7,98.17,0.0,98.17,19.63,No,0
Gold,VSE,6861,10,4.0,,14,98.17,0.0,98.17,9.82,No,0
Gold,VSE,6000,6,7.0,,13,99.5,0.0,99.5,16.58,No,0
Gold,SOHO,6300,3,,,3,99.67,0.0,99.67,33.22,No,0
Gold,VSE,6300,1,5.0,,6,100.5,0.0,100.5,100.5,Yes,1
Gold,VSE,6260,6,1.0,,7,101.0,0.0,101.0,16.83,No,0
Gold,SOHO,4000,7,,1.0,8,105.5,0.0,105.5,15.07,No,0
Gold,VSE,6000,4,7.0,,11,106.0,0.0,106.0,26.5,No,0
Gold,VSE,4850,6,6.0,,12,106.83,0.0,106.83,17.81,No,0
Gold,SOHO,4004,8,,,8,106.83,0.0,106.83,13.35,No,0
Gold,VSE,4230,6,4.0,,10,108.83,0.0,108.83,18.14,No,0
Gold,SOHO,6100,2,16.0,,18,109.17,0.0,109.17,54.59,No,0
Gold,SOHO,4330,1,6.0,,7,109.67,0.0,109.67,109.67,No,0
Gold,VSE,4990,4,1.0,,5,110.83,0.0,110.83,27.71,No,0
Gold,VSE,4400,7,3.0,,10,111.33,0.0,111.33,15.9,No,0
Gold,VSE,4400,3,10.0,,13,116.5,0.0,116.5,38.83,No,0
Gold,VSE,4000,8,13.0,,21,116.83,0.0,116.83,14.6,No,0
Gold,VSE,4147,6,,,6,116.83,0.0,116.83,19.47,No,0
Gold,VSE,6000,2,3.0,,5,117.67,0.0,117.67,58.84,Yes,1
Gold,VSE,4004,7,6.0,,13,118.17,0.0,118.17,16.88,No,0
Gold,SOHO,4400,4,1.0,,5,118.67,0.0,118.67,29.67,No,0
Gold,SOHO,6000,5,2.0,,7,119.67,0.0,119.67,23.93,No,0
Gold,VSE,6000,5,23.0,,28,120.17,0.0,120.17,24.03,No,0
Gold,SOHO,6000,6,,,6,120.5,0.0,120.5,20.08,No,0
Gold,SOHO,6000,4,2.0,,6,120.67,0.0,120.67,30.17,No,0
Gold,SOHO,6649,6,4.0,,10,120.67,0.0,120.67,20.11,No,0
Gold,SOHO,6304,7,,,7,121.5,0.0,121.5,17.36,No,0
Gold,VSE,4550,3,13.0,,16,122.67,0.0,122.67,40.89,No,0
Gold,SOHO,6000,9,,,9,123.33,0.0,123.33,13.7,No,0
Gold,SOHO,6000,9,1.0,,10,123.33,0.0,123.33,13.7,No,0
Gold,SOHO,4000,5,7.0,,12,124.0,0.0,124.0,24.8,No,0
Gold,SOHO,6300,10,1.0,,11,124.17,0.0,124.17,12.42,No,0
Gold,SOHO,6300,11,,,11,125.17,0.0,125.17,11.38,No,0
Gold,SOHO,4400,5,7.0,,12,125.83,0.0,125.83,25.17,No,0
Gold,VSE,4000,5,10.0,,15,126.33,0.0,126.33,25.27,No,0
Gold,SOHO,4400,6,1.0,,7,127.0,0.0,127.0,21.17,No,0
Gold,VSE,4000,4,5.0,,9,127.5,0.0,127.5,31.88,No,0
Gold,SOHO,6000,7,,,7,128.0,0.0,128.0,18.29,No,0
Gold,SOHO,4003,13,2.0,,15,128.33,0.0,128.33,9.87,No,0
Gold,SOHO,6000,8,,,8,128.5,0.0,128.5,16.06,No,0
Gold,VSE,4002,2,,,2,129.17,0.0,129.17,64.59,No,0
Gold,VSE,6300,4,1.0,,5,130.33,0.0,130.33,32.58,No,0
Gold,SOHO,6000,6,2.0,,8,131.5,0.0,131.5,21.92,No,0
Gold,SOHO,4002,6,1.0,,7,132.0,0.0,132.0,22.0,No,0
Gold,VSE,4000,2,1.0,,3,132.33,0.0,132.33,66.17,No,0
Gold,SOHO,4400,2,1.0,,3,119.67,13.0,132.67,59.84,No,0
Gold,SOHO,4101,11,,,11,133.33,0.0,133.33,12.12,No,0
Gold,SOHO,6500,6,1.0,,7,133.5,0.0,133.5,22.25,No,0
Gold,SOHO,4003,7,4.0,,11,134.0,0.0,134.0,19.14,No,0
Gold,SOHO,6300,4,,,4,134.5,0.0,134.5,33.63,No,0
Gold,SOHO,6400,9,1.0,,10,135.17,0.0,135.17,15.02,No,0
Gold,VSE,6000,7,,,7,135.33,0.0,135.33,19.33,No,0
Gold,VSE,4400,10,,,10,135.67,0.0,135.67,13.57,No,0
Gold,VSE,1505,4,12.0,,16,136.0,0.0,136.0,34.0,No,0
Gold,VSE,6300,6,,,6,136.5,0.0,136.5,22.75,No,0
Gold,SOHO,4000,10,1.0,,11,138.33,0.0,138.33,13.83,No,0
Gold,SOHO,6500,3,4.0,,7,139.0,0.0,139.0,46.33,No,0
Gold,SOHO,4002,4,7.0,,11,139.5,0.0,139.5,34.88,No,0
Gold,SOHO,6100,16,3.0,,19,139.5,0.0,139.5,8.72,No,0
Gold,VSE,4600,9,1.0,,10,139.67,0.0,139.67,15.52,Yes,1
Gold,SOHO,6000,8,6.0,,14,140.0,0.0,140.0,17.5,No,0
Gold,SOHO,6000,10,1.0,,11,140.17,0.0,140.17,14.02,No,0
Gold,VSE,6300,6,,,6,140.67,0.0,140.67,23.45,No,0
Gold,VSE,4224,3,2.0,,5,141.33,0.0,141.33,47.11,No,0
Gold,VSE,6600,9,,,9,141.67,0.0,141.67,15.74,No,0
Gold,VSE,4600,8,,,8,143.0,0.0,143.0,17.88,No,0
Gold,SOHO,4150,6,,,6,143.5,0.0,143.5,23.92,No,0
Gold,VSE,6000,4,11.0,,15,143.5,0.0,143.5,35.88,No,0
Gold,SOHO,4000,12,,,12,143.67,0.0,143.67,11.97,No,0
Gold,VSE,4000,5,1.0,,6,143.83,0.0,143.83,28.77,Yes,1
Gold,SOHO,4000,7,10.0,,17,144.0,0.0,144.0,20.57,No,0
Gold,SOHO,4180,6,7.0,,13,144.0,0.0,144.0,24.0,No,0
Gold,SOHO,4000,10,13.0,,23,144.0,0.0,144.0,14.4,No,0
Gold,VSE,6000,3,,,3,144.83,0.0,144.83,48.28,No,0
Gold,SOHO,6900,10,,1.0,11,145.17,0.0,145.17,14.52,No,0
Gold,VSE,4002,9,5.0,,14,145.5,0.0,145.5,16.17,No,0
Gold,SOHO,6000,4,1.0,,5,145.67,0.0,145.67,36.42,No,0
Gold,VSE,4230,4,3.0,,7,146.67,0.0,146.67,36.67,No,0
Gold,SOHO,4400,6,1.0,,7,147.33,0.0,147.33,24.56,No,0
Gold,VSE,6000,3,10.0,,13,147.5,0.0,147.5,49.17,No,0
Gold,SOHO,6500,9,1.0,,10,148.0,0.0,148.0,16.44,No,0
Gold,SOHO,6100,8,4.0,,12,148.83,0.0,148.83,18.6,No,0
Gold,VSE,4000,14,134.0,,148,149.0,0.0,149.0,10.64,No,0
Gold,SOHO,4004,8,1.0,,9,149.17,0.0,149.17,18.65,No,0
Gold,SOHO,1233,12,1.0,,13,149.33,0.0,149.33,12.44,No,0
Gold,SOHO,4003,9,4.0,,13,149.67,0.0,149.67,16.63,No,0
Gold,SOHO,4023,3,,,3,150.0,0.0,150.0,50.0,Yes,1
Gold,SOHO,4000,8,,,8,150.0,0.0,150.0,18.75,No,0
Gold,SOHO,6600,5,1.0,,6,150.17,0.0,150.17,30.03,No,0
Gold,VSE,4400,10,9.0,,19,150.5,0.0,150.5,15.05,No,0
Gold,VSE,4492,5,,,5,150.67,0.0,150.67,30.13,No,0
Gold,SOHO,6280,6,,,6,151.0,0.0,151.0,25.17,No,0
Gold,VSE,6600,11,2.0,,13,151.5,0.0,151.5,13.77,No,0
Gold,VSE,4230,6,,1.0,7,151.67,0.0,151.67,25.28,No,0
Gold,VSE,4490,8,4.0,,12,152.33,0.0,152.33,19.04,No,0
Gold,VSE,4400,14,,,14,152.67,0.0,152.67,10.91,No,0
Gold,VSE,4023,8,4.0,,12,153.0,0.0,153.0,19.13,No,0
Gold,VSE,6500,5,,,5,153.5,0.0,153.5,30.7,No,0
Gold,SOHO,4000,6,4.0,,10,153.67,0.0,153.67,25.61,No,0
Gold,VSE,6600,16,,,16,154.0,0.0,154.0,9.63,No,0
Gold,VSE,6000,6,1.0,,7,154.5,0.0,154.5,25.75,No,0
Gold,SOHO,4500,6,1.0,,7,154.67,0.0,154.67,25.78,Yes,1
Gold,VSE,4700,5,,,5,154.67,0.0,154.67,30.93,No,0
Gold,VSE,4300,9,11.0,,20,155.33,0.0,155.33,17.26,No,0
Gold,SOHO,6000,2,8.0,,10,155.5,0.0,155.5,77.75,Yes,1
Gold,SOHO,6000,12,,,12,156.17,0.0,156.17,13.01,No,0
Gold,SOHO,4000,9,,,9,156.33,0.0,156.33,17.37,No,0
Gold,SOHO,4001,9,10.0,,19,156.5,0.0,156.5,17.39,No,0
Gold,VSE,6400,10,,,10,156.67,0.0,156.67,15.67,No,0
Gold,SOHO,6600,7,5.0,,12,157.33,0.0,157.33,22.48,No,0
Gold,SOHO,6300,16,,,16,157.33,0.0,157.33,9.83,No,0
Gold,VSE,6300,1,11.0,,12,157.5,0.0,157.5,157.5,No,0
Gold,SOHO,6000,9,,,9,157.67,0.0,157.67,17.52,No,0
Gold,SOHO,4020,4,,,4,158.17,0.0,158.17,39.54,No,0
Gold,VSE,4000,7,1.0,,8,158.83,0.0,158.83,22.69,No,0
Gold,VSE,4000,15,3.0,,18,159.17,0.0,159.17,10.61,No,0
Gold,SOHO,6600,7,2.0,,9,159.17,0.0,159.17,22.74,No,0
Gold,SOHO,6600,8,,,8,159.33,0.0,159.33,19.92,No,0
Gold,VSE,4150,13,1.0,,14,159.83,0.0,159.83,12.29,No,0
Gold,SOHO,8900,10,1.0,1.0,12,160.0,0.0,160.0,16.0,No,0
Gold,VSE,4700,8,9.0,,17,160.17,0.0,160.17,20.02,No,0
Gold,VSE,6000,7,2.0,,9,160.17,0.0,160.17,22.88,No,0
Gold,VSE,6000,10,,,10,160.33,0.0,160.33,16.03,No,0
Gold,SOHO,4000,11,8.0,,19,160.5,0.0,160.5,14.59,No,0
Gold,VSE,4002,12,2.0,,14,160.67,0.0,160.67,13.39,No,0
Gold,SOHO,6000,7,6.0,,13,160.83,0.0,160.83,22.98,No,0
Gold,VSE,4150,8,3.0,,11,161.0,0.0,161.0,20.13,No,0
Gold,SOHO,6140,15,,,15,161.0,0.0,161.0,10.73,Yes,1
Gold,SOHO,4000,9,1.0,,10,161.33,0.0,161.33,17.93,No,0
