CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Iron,SOHO,4000,2,1.0,,3,40.17,0.0,40.17,20.09,No,0
Iron,SOHO,6100,5,2.0,,7,40.33,0.0,40.33,8.07,No,0
Iron,SOHO,6100,3,,,3,40.33,0.0,40.33,13.44,No,0
Iron,SOHO,6000,2,,,2,40.5,0.0,40.5,20.25,No,0
Iron,SOHO,4230,4,,,4,40.67,0.0,40.67,10.17,No,0
Iron,SOHO,4015,3,8.0,,11,40.83,0.0,40.83,13.61,No,0
Iron,SOHO,4400,4,,,4,41.0,0.0,41.0,10.25,Yes,1
Iron,SOHO,4004,4,,,4,41.0,0.0,41.0,10.25,No,0
Iron,SOHO,4023,5,,,5,41.0,0.0,41.0,8.2,No,0
Iron,SOHO,6000,4,,,4,41.0,0.0,41.0,10.25,No,0
Iron,SOHO,6000,3,,,3,41.0,0.0,41.0,13.67,No,0
Iron,SOHO,8900,3,,,3,41.17,0.0,41.17,13.72,No,0
Iron,SOHO,4400,2,,,2,41.33,0.0,41.33,20.67,No,0
Iron,SOHO,4400,3,,,3,41.33,0.0,41.33,13.78,No,0
Iron,SOHO,6310,4,,,4,41.33,0.0,41.33,10.33,No,0
Iron,SOHO,4004,5,1.0,,6,42.0,0.0,42.0,8.4,No,0
Iron,SOHO,4000,5,,,5,42.0,0.0,42.0,8.4,No,0
Iron,SOHO,6100,5,1.0,,6,42.0,0.0,42.0,8.4,No,0
Iron,SOHO,6000,5,1.0,,6,42.0,0.0,42.0,8.4,No,0
Iron,SOHO,4550,1,4.0,,5,42.33,0.0,42.33,42.33,No,0
Iron,VSE,4400,1,33.0,,34,42.5,0.0,42.5,42.5,No,0
Iron,SOHO,4220,4,1.0,,5,43.17,0.0,43.17,10.79,No,0
Iron,SOHO,6100,6,,,6,43.17,0.0,43.17,7.2,No,0
Iron,SOHO,4023,4,,,4,43.17,0.0,43.17,10.79,No,0
Iron,SOHO,4003,5,1.0,,6,43.5,0.0,43.5,8.7,No,0
Iron,SOHO,4400,3,3.0,,6,43.5,0.0,43.5,14.5,No,0
Iron,SOHO,4600,2,,1.0,3,43.67,0.0,43.67,21.84,No,0
Iron,SOHO,4023,1,5.0,,6,43.67,0.0,43.67,43.67,No,0
Iron,SOHO,4000,1,,,1,25.5,18.67,44.17,25.5,No,0
Iron,SOHO,4197,2,,,2,44.33,0.0,44.33,22.17,No,0
Iron,SOHO,4003,4,5.0,,9,45.0,0.0,45.0,11.25,No,0
Iron,SOHO,4030,2,,,2,45.33,0.0,45.33,22.67,No,0
Iron,SOHO,4400,3,,,3,46.0,0.0,46.0,15.33,No,0
Iron,SOHO,6450,4,,,4,46.0,0.0,46.0,11.5,No,0
