CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Lead,SOHO,4000,3,,,3,42.5,0.0,42.5,14.17,No,0
Lead,SOHO,6400,4,1.0,,5,44.5,0.0,44.5,11.13,No,0
Lead,SOHO,6000,3,,,3,48.67,0.0,48.67,16.22,No,0
Lead,SOHO,6400,6,,,6,51.17,0.0,51.17,8.53,No,0
Lead,SOHO,6100,7,1.0,,8,59.33,0.0,59.33,8.48,No,0
Lead,SOHO,6000,1,,,1,84.5,0.0,84.5,84.5,No,0
Lead,Other,4000,11,6.0,,17,88.0,0.0,88.0,8.0,No,0
Lead,SOHO,4000,8,,,8,88.17,0.0,88.17,11.02,No,0
Lead,SOHO,4013,6,,,6,98.0,0.0,98.0,16.33,No,0
Lead,SOHO,6000,9,,,9,103.0,0.0,103.0,11.44,No,0
Lead,SOHO,6000,4,,,4,110.17,0.0,110.17,27.54,No,0
Lead,VSE,4000,10,14.0,,24,159.33,0.0,159.33,15.93,No,0
Lead,SOHO,6000,16,,,16,285.0,0.0,285.0,17.81,No,0
Lead,SOHO,6000,12,,,12,300.83,0.0,300.83,25.07,No,0
Lead,SOHO,4600,9,,,9,331.33,0.0,331.33,36.81,No,0
Lead,SOHO,6053,11,5.0,,16,335.33,0.0,335.33,30.48,No,0
Lead,SOHO,6000,10,,,10,324.17,73.33,397.5,32.42,No,0
Lead,SOHO,3241,6,,,6,468.17,0.0,468.17,78.03,No,0
Lead,Other,1000,11,2.0,,13,488.33,0.0,488.33,44.39,No,0
Lead,SOHO,4003,5,1.0,,6,78.33,0.0,78.33,15.67,No,0
Lead,SOHO,4270,2,,1.0,3,86.0,0.0,86.0,43.0,No,0
Lead,SOHO,4204,6,,,6,61.67,0.0,61.67,10.28,No,0
Lead,SOHO,6000,12,,,12,229.17,0.0,229.17,19.1,No,0
Lead,SE,4900,5,55.0,,60,25.17,410.67,435.84,5.03,No,0
Lead,SOHO,4522,1,,,1,40.67,0.0,40.67,40.67,No,0
Lead,SOHO,4210,2,,,2,44.17,0.0,44.17,22.09,No,0
Lead,SOHO,4400,2,,,2,49.67,0.0,49.67,24.84,No,0
