CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Platinum,VSE,4000,1,3.0,,4,56.33,0.0,56.33,56.33,No,0
Platinum,VSE,4600,10,21.0,,31,84.33,0.0,84.33,8.43,No,0
Platinum,VSE,4400,6,30.0,,36,95.0,0.0,95.0,15.83,Yes,1
Platinum,VSE,4003,8,3.0,,11,95.83,0.0,95.83,11.98,No,0
Platinum,VSE,4003,2,19.0,,21,114.83,0.0,114.83,57.42,Yes,1
Platinum,VSE,4490,8,9.0,,17,133.83,0.0,133.83,16.73,No,0
Platinum,VSE,6000,6,4.0,,10,135.5,0.0,135.5,22.58,No,0
Platinum,VSE,4000,7,4.0,1.0,12,136.83,0.0,136.83,19.55,No,0
Platinum,VSE,6300,5,5.0,,10,140.33,0.0,140.33,28.07,No,0
Platinum,VSE,4230,4,,,4,141.0,0.0,141.0,35.25,No,0
Platinum,VSE,4003,10,4.0,,14,146.67,0.0,146.67,14.67,No,0
Platinum,VSE,4400,8,,,8,147.67,0.0,147.67,18.46,No,0
Platinum,VSE,4003,6,8.0,,14,152.83,0.0,152.83,25.47,No,0
Platinum,VSE,4000,12,1.0,,13,168.17,0.0,168.17,14.01,No,0
Platinum,VSE,6500,2,,,2,169.67,0.0,169.67,84.84,No,0
Platinum,SOHO,6000,1,20.0,,21,181.17,0.0,181.17,181.17,Yes,1
Platinum,VSE,6400,11,3.0,,14,184.83,0.0,184.83,16.8,No,0
Platinum,VSE,4770,6,1.0,,7,186.17,0.0,186.17,31.03,No,0
Platinum,VSE,6000,5,1.0,,6,193.0,0.0,193.0,38.6,Yes,1
Platinum,VSE,6175,6,,,6,194.67,0.0,194.67,32.45,No,0
Platinum,Other,4000,11,1.0,,12,203.67,0.0,203.67,18.52,Yes,1
Platinum,VSE,6450,2,1.0,,3,204.0,0.0,204.0,102.0,No,0
Platinum,VSE,6000,8,20.0,,28,211.33,0.0,211.33,26.42,No,0
Platinum,VSE,4000,5,,,5,214.83,0.0,214.83,42.97,No,0
Platinum,VSE,6279,10,2.0,,12,221.17,0.0,221.17,22.12,No,0
Platinum,SOHO,6000,12,,,12,223.17,0.0,223.17,18.6,No,0
Platinum,SOHO,4000,14,,,14,225.0,0.0,225.0,16.07,No,0
Platinum,VSE,4824,14,81.0,,95,229.5,0.0,229.5,16.39,No,0
Platinum,VSE,4028,10,1.0,1.0,12,232.33,0.0,232.33,23.23,No,0
Platinum,SOHO,6000,15,1.0,,16,232.83,0.0,232.83,15.52,No,0
Platinum,VSE,6304,23,,,23,233.17,0.0,233.17,10.14,No,0
Platinum,VSE,4023,16,1.0,,17,234.0,0.0,234.0,14.63,No,0
Platinum,VSE,4003,7,1.0,,8,234.83,0.0,234.83,33.55,No,0
Platinum,SOHO,6600,8,,,8,235.33,0.0,235.33,29.42,No,0
Platinum,VSE,6000,15,,,15,237.33,0.0,237.33,15.82,No,0
Platinum,VSE,4000,10,1.0,,11,228.0,10.17,238.17,22.8,No,0
Platinum,VSE,6450,8,27.0,,35,239.67,0.0,239.67,29.96,Yes,1
Platinum,VSE,4600,15,4.0,,19,239.83,0.0,239.83,15.99,No,0
Platinum,VSE,4000,12,,,12,240.67,0.0,240.67,20.06,No,0
Platinum,VSE,4000,5,11.0,,16,240.83,0.0,240.83,48.17,No,0
Platinum,VSE,4300,13,1.0,,14,241.67,0.0,241.67,18.59,No,0
Platinum,SOHO,4824,10,,,10,241.83,0.0,241.83,24.18,No,0
Platinum,VSE,4000,2,3.0,,5,205.33,41.33,246.66,102.67,No,0
Platinum,VSE,4364,8,,,8,250.0,0.0,250.0,31.25,No,0
Platinum,VSE,6000,17,2.0,,19,250.33,0.0,250.33,14.73,No,0
Platinum,VSE,4003,1,25.0,,26,250.6,0.0,250.6,250.6,No,0
Platinum,VSE,4230,12,1.0,,13,252.0,0.0,252.0,21.0,No,0
Platinum,VSE,6500,10,1.0,,11,254.5,0.0,254.5,25.45,No,0
Platinum,VSE,6000,13,2.0,,15,260.0,0.0,260.0,20.0,No,0
Platinum,VSE,6002,15,,,15,261.5,0.0,261.5,17.43,No,0
Platinum,VSE,4000,9,5.0,1.0,15,261.67,0.0,261.67,29.07,No,0
Platinum,VSE,6000,20,1.0,,21,262.17,0.0,262.17,13.11,No,0
Platinum,SOHO,4004,19,,,19,264.0,0.0,264.0,13.89,No,0
Platinum,VSE,6000,9,,1.0,10,264.67,0.0,264.67,29.41,No,0
Platinum,VSE,6600,13,6.0,,19,264.67,0.0,264.67,20.36,Yes,1
Platinum,VSE,6000,11,2.0,,13,266.67,0.0,266.67,24.24,No,0
Platinum,VSE,4023,15,,,15,267.33,0.0,267.33,17.82,No,0
Platinum,VSE,6300,11,3.0,,14,267.5,0.0,267.5,24.32,No,0
Platinum,VSE,4004,11,,,11,268.5,0.0,268.5,24.41,No,0
Platinum,VSE,4002,3,3.0,,6,268.83,0.0,268.83,89.61,No,0
Platinum,VSE,4400,15,7.0,,22,270.33,0.0,270.33,18.02,No,0
Platinum,VSE,4000,11,5.0,,16,272.67,0.0,272.67,24.79,No,0
Platinum,VSE,4470,10,1.0,,11,273.83,0.0,273.83,27.38,No,0
Platinum,VSE,9300,20,19.0,,39,275.5,0.0,275.5,13.78,No,0
Platinum,VSE,4000,4,,9.0,13,276.83,0.0,276.83,69.21,No,0
Platinum,VSE,4003,13,,,13,279.5,0.0,279.5,21.5,No,0
Platinum,VSE,6006,13,,,13,279.5,0.0,279.5,21.5,No,0
Platinum,VSE,6570,13,,,13,280.5,0.0,280.5,21.58,No,0
Platinum,VSE,4000,20,,,20,262.17,19.33,281.5,13.11,Yes,1
Platinum,VSE,4230,25,2.0,,27,281.67,0.0,281.67,11.27,Yes,1
Platinum,VSE,6000,14,1.0,,15,283.17,0.0,283.17,20.23,No,0
Platinum,VSE,4600,13,,,13,284.17,0.0,284.17,21.86,No,0
Platinum,VSE,4150,10,1.0,,11,285.0,0.0,285.0,28.5,No,0
Platinum,VSE,6000,17,1.0,,18,285.5,0.0,285.5,16.79,No,0
Platinum,VSE,4023,12,,,12,286.33,0.0,286.33,23.86,No,0
Platinum,SOHO,6300,39,12.0,,51,287.67,0.0,287.67,7.38,No,0
Platinum,VSE,4150,13,,,13,287.83,0.0,287.83,22.14,No,0
Platinum,VSE,6000,22,,,22,288.17,0.0,288.17,13.1,No,0
Platinum,VSE,1700,7,,,7,288.33,0.0,288.33,41.19,No,0
Platinum,VSE,4000,15,4.0,,19,288.67,0.0,288.67,19.24,No,0
Platinum,VSE,4000,14,10.0,,24,288.67,0.0,288.67,20.62,No,0
Platinum,VSE,4700,9,,,9,289.33,0.0,289.33,32.15,No,0
Platinum,VSE,4023,10,5.0,,15,289.5,0.0,289.5,28.95,No,0
Platinum,VSE,6550,23,3.0,,26,291.33,0.0,291.33,12.67,No,0
Platinum,VSE,6600,13,,,13,284.67,6.67,291.34,21.9,No,0
