CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
SE,SE,4340,25,9.0,,34,331.0,0.0,331.0,13.24,No,0
SE,SE,4023,30,,,30,406.5,1.83,408.33,13.55,No,0
SE,SE,6280,4,,,4,285.33,0.0,285.33,71.33,No,0
SE,SE,6290,2,,,2,48.0,0.0,48.0,24.0,No,0
SE,SE,6000,26,3.0,,29,347.17,6.0,353.17,13.35,No,0
SE,SE,6280,4,,,4,85.0,0.0,85.0,21.25,No,0
SE,SE,6000,4,2.0,,6,51.67,0.0,51.67,12.92,No,0
SE,SE,6000,7,,,7,71.83,0.0,71.83,10.26,No,0
SE,SE,6000,3,1.0,,4,43.83,0.0,43.83,14.61,No,0
SE,SE,6000,3,,,3,70.67,0.0,70.67,23.56,No,0
SE,SE,6053,14,3.0,,17,264.0,0.0,264.0,18.86,Yes,1
SE,SE,4400,11,,,11,108.33,0.0,108.33,9.85,No,0
SE,SE,4500,3,1.0,,4,50.5,0.0,50.5,16.83,No,0
SE,SE,4000,1,,,1,53.67,0.0,53.67,53.67,No,0
SE,SE,4400,9,3.0,,12,157.33,0.0,157.33,17.48,No,0
SE,SE,4004,2,,,2,69.83,0.0,69.83,34.92,No,0
SE,SE,6000,2,,1.0,3,173.33,0.0,173.33,86.67,No,0
SE,SE,6000,12,3.0,,15,163.5,0.0,163.5,13.63,No,0
SE,SE,4400,31,12.0,,43,304.67,0.0,304.67,9.83,No,0
SE,SE,4480,23,1.0,,24,194.17,0.0,194.17,8.44,No,0
SE,SE,4700,13,10.0,,23,71.67,0.0,71.67,5.51,No,0
SE,SE,4000,26,2.0,,28,406.33,0.0,406.33,15.63,No,0
SE,SE,4006,11,,,11,96.83,0.0,96.83,8.8,No,0
SE,SE,4003,1,13.0,,14,130.67,0.0,130.67,130.67,No,0
SE,SE,6000,19,,,19,311.5,0.0,311.5,16.39,No,0
SE,SE,4000,5,,,5,61.83,0.0,61.83,12.37,No,0
SE,SE,4000,17,1.0,,18,339.33,0.0,339.33,19.96,No,0
SE,SE,6600,2,3.0,,5,47.33,0.0,47.33,23.67,No,0
SE,SE,4400,3,,,3,41.83,0.0,41.83,13.94,No,0
SE,SE,4455,4,1.0,,5,47.83,0.0,47.83,11.96,No,0
SE,SE,4455,4,1.0,,5,49.0,0.0,49.0,12.25,No,0
SE,SE,4530,26,,,26,208.17,0.0,208.17,8.01,No,0
SE,SE,4400,17,,,17,262.83,0.0,262.83,15.46,No,0
SE,SE,4700,3,,,3,58.17,0.0,58.17,19.39,No,0
SE,SE,4820,3,,,3,96.4,0.0,96.4,32.13,No,0
SE,SE,4400,44,,,44,266.33,0.0,266.33,6.05,No,0
SE,SE,4002,9,7.0,,16,238.0,0.0,238.0,26.44,No,0
SE,SE,4700,39,1.0,,40,364.83,0.0,364.83,9.35,No,0
SE,SE,6400,11,3.0,2.0,16,197.17,0.0,197.17,17.92,No,0
SE,SE,4400,4,,,4,108.33,0.0,108.33,27.08,No,0
SE,SE,4700,4,,,4,182.67,0.0,182.67,45.67,No,0
