CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
SME,SME,6180,2,11.0,,13,85.67,0.0,85.67,42.84,No,0
SME,SOHO,6000,4,2.0,,6,87.0,0.0,87.0,21.75,No,0
SME,VSE,4800,8,,,8,95.0,0.0,95.0,11.88,No,0
SME,SME,4400,9,3.0,,12,223.0,0.0,223.0,24.78,Yes,1
SME,SME,6000,22,,,22,295.33,0.0,295.33,13.42,No,0
SME,SME,6300,23,,,23,304.17,0.0,304.17,13.22,No,0
SME,SME,6000,10,,,10,356.5,0.0,356.5,35.65,No,0
SME,SME,6000,28,,,28,404.83,0.0,404.83,14.46,No,0
SME,SME,4270,26,,,26,432.8,0.0,432.8,16.65,No,0
SME,SME,6000,28,2.0,,30,462.17,0.0,462.17,16.51,No,0
SME,SME,6100,10,,,10,485.33,0.0,485.33,48.53,No,0
SME,SME,6400,23,,,23,488.17,0.0,488.17,21.22,No,0
SME,SME,6000,3,1.0,,4,92.17,0.0,92.17,30.72,No,0
SME,SME,6000,9,6.0,,15,387.17,0.0,387.17,43.02,No,0
SME,SME,6000,5,2.0,,7,476.0,0.0,476.0,95.2,No,0
SME,SME,6014,21,3.0,,24,358.33,0.0,358.33,17.06,No,0
SME,SME,6100,10,1.0,,11,449.0,0.0,449.0,44.9,No,0
SME,SME,6000,40,5.0,,45,378.0,0.0,378.0,9.45,No,0
SME,SME,6000,20,2.0,,22,456.67,0.0,456.67,22.83,No,0
SME,SME,6000,8,,,8,378.83,0.0,378.83,47.35,No,0
SME,SME,6103,1,12.0,,13,30.0,61.83,91.83,30.0,No,0
SME,SME,6000,28,3.0,,31,358.17,0.0,358.17,12.79,No,0
SME,SME,6000,9,6.0,,15,475.5,0.0,475.5,52.83,No,0
SME,SME,8948,17,3.0,,20,274.0,0.0,274.0,16.12,No,0
SME,SME,6000,18,17.0,,35,315.17,6.0,321.17,17.51,No,0
SME,SME,6000,32,12.0,,44,498.0,0.0,498.0,15.56,No,0
SME,SME,6000,8,54.0,,62,230.0,0.0,230.0,28.75,No,0
SME,SME,6000,20,,,20,353.5,0.0,353.5,17.68,No,0
SME,SME,6000,10,1.0,,11,345.0,0.0,345.0,34.5,No,0
SME,SME,6000,30,6.0,,36,498.83,0.0,498.83,16.63,No,0
SME,SME,6100,20,12.0,1.0,33,413.0,0.0,413.0,20.65,No,0
SME,SME,6500,6,4.0,,10,310.17,0.0,310.17,51.7,No,0
SME,SME,6300,30,16.0,,46,449.0,0.0,449.0,14.97,No,0
SME,SME,6570,9,8.0,,17,333.33,0.0,333.33,37.04,No,0
SME,SME,6500,16,1.0,,17,256.67,0.0,256.67,16.04,No,0
SME,SME,6450,11,,,11,243.33,0.0,243.33,22.12,No,0
SME,SME,6437,4,,,4,113.83,0.0,113.83,28.46,No,0
SME,SME,6875,7,1.0,1.0,9,226.67,0.0,226.67,32.38,No,0
SME,SME,6690,8,,,8,328.0,0.0,328.0,41.0,No,0
SME,SME,6300,3,,,3,254.67,0.0,254.67,84.89,No,0
SME,SME,6450,15,11.0,,26,290.5,0.0,290.5,19.37,No,0
SME,SME,6300,23,5.0,,28,450.0,0.0,450.0,19.57,No,0
SME,SME,6550,15,6.0,,21,463.67,0.0,463.67,30.91,No,0
SME,SME,6400,17,3.0,,20,494.33,0.0,494.33,29.08,No,0
SME,SME,6100,7,,,7,394.67,0.0,394.67,56.38,No,0
SME,SME,6300,6,,,6,219.33,0.0,219.33,36.56,No,0
SME,SME,6800,13,1.0,,14,310.17,0.0,310.17,23.86,No,0
SME,SME,6400,21,3.0,,24,449.0,0.0,449.0,21.38,No,0
SME,SME,8600,52,1.0,,53,466.33,0.0,466.33,8.97,Yes,1
SME,SME,4700,50,4.0,,54,371.5,0.0,371.5,7.43,No,0
SME,SME,4000,16,7.0,1.0,24,490.83,0.0,490.83,30.68,Yes,1
SME,SME,4400,34,,,34,363.0,0.0,363.0,10.68,No,0
SME,SME,4400,12,1.0,,13,390.17,0.0,390.17,32.51,No,0
SME,SME,4492,14,,,14,295.83,0.0,295.83,21.13,No,0
SME,SME,4003,11,65.0,,76,178.0,0.0,178.0,16.18,No,0
SME,SME,4027,7,2.0,,9,307.67,0.0,307.67,43.95,No,0
SME,SME,4000,15,,,15,299.0,0.0,299.0,19.93,No,0
SME,SME,4330,5,,,5,248.0,0.0,248.0,49.6,No,0
SME,SME,6300,12,23.0,,35,395.83,0.0,395.83,32.99,No,0
SME,SME,4400,25,1.0,,26,396.17,0.0,396.17,15.85,No,0
SME,SME,2080,6,49.0,,55,78.0,0.0,78.0,13.0,No,0
SME,SME,4000,5,5.0,,10,234.67,0.0,234.67,46.93,No,0
SME,SME,4000,16,,,16,269.67,0.0,269.67,16.85,No,0
SME,SME,4023,3,2.0,2.0,7,455.67,0.0,455.67,151.89,No,0
SME,SME,4000,42,,,42,392.67,0.0,392.67,9.35,No,0
SME,SME,4000,18,1.0,,19,350.0,0.0,350.0,19.44,No,0
SME,SME,4023,11,,,11,250.5,0.0,250.5,22.77,No,0
SME,SME,4000,27,,,27,326.0,0.0,326.0,12.07,Yes,1
SME,SME,4000,11,,,11,244.17,0.0,244.17,22.2,No,0
SME,SME,6600,26,,,26,468.0,0.0,468.0,18.0,No,0
SME,SME,4825,27,2.0,,29,455.83,0.0,455.83,16.88,No,0
