CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Silver,VSE,6000,3,1.0,,4,42.33,0.0,42.33,14.11,No,0
Silver,VSE,4000,2,6.0,,8,42.5,0.0,42.5,21.25,No,0
Silver,SOHO,4002,4,3.0,,7,43.67,0.0,43.67,10.92,No,0
Silver,VSE,6300,1,18.0,,19,44.33,0.0,44.33,44.33,No,0
Silver,SOHO,4700,3,6.0,,9,44.5,0.0,44.5,14.83,No,0
Silver,SOHO,4003,3,3.0,,6,44.83,0.0,44.83,14.94,No,0
Silver,SOHO,4004,3,3.0,,6,48.83,0.0,48.83,16.28,No,0
Silver,SOHO,6400,2,2.0,1.0,5,53.33,0.0,53.33,26.67,No,0
Silver,VSE,6000,6,,,6,53.5,0.0,53.5,8.92,No,0
Silver,SOHO,6000,4,1.0,,5,53.5,0.0,53.5,13.38,Yes,1
Silver,SOHO,4400,3,1.0,,4,54.0,0.0,54.0,18.0,No,0
Silver,SOHO,4003,2,10.0,,12,55.17,0.0,55.17,27.59,No,0
Silver,SOHO,4419,2,10.0,,12,55.17,0.0,55.17,27.59,No,0
Silver,SOHO,6062,6,6.0,,12,59.0,0.0,59.0,9.83,No,0
Silver,SOHO,6000,2,,,2,59.17,0.0,59.17,29.59,No,0
Silver,SOHO,6000,4,9.0,,13,60.0,0.0,60.0,15.0,No,0
Silver,SOHO,6570,4,,,4,60.17,0.0,60.17,15.04,No,0
Silver,VSE,4550,2,,,2,60.33,0.0,60.33,30.17,No,0
Silver,SOHO,4003,4,1.0,,5,60.33,0.0,60.33,15.08,No,0
Silver,VSE,6600,4,1.0,,5,60.5,0.0,60.5,15.13,No,0
Silver,VSE,4230,4,26.0,,30,61.83,0.0,61.83,15.46,No,0
Silver,SOHO,6770,7,5.0,1.0,13,63.5,0.0,63.5,9.07,No,0
Silver,SOHO,6500,5,,,5,63.83,0.0,63.83,12.77,No,0
Silver,SOHO,4400,2,8.0,,10,64.33,0.0,64.33,32.17,Yes,1
Silver,SOHO,4000,3,1.0,,4,64.5,0.0,64.5,21.5,No,0
Silver,SOHO,6000,4,,,4,64.67,0.0,64.67,16.17,No,0
Silver,SOHO,6550,3,1.0,,4,64.83,0.0,64.83,21.61,No,0
Silver,SOHO,6300,6,3.0,,9,64.83,0.0,64.83,10.81,No,0
Silver,SOHO,6000,4,1.0,,5,65.83,0.0,65.83,16.46,No,0
Silver,SOHO,6100,2,2.0,,4,66.17,0.0,66.17,33.09,Yes,1
Silver,SOHO,6061,5,,,5,66.17,0.0,66.17,13.23,No,0
Silver,SOHO,6004,5,1.0,,6,67.83,0.0,67.83,13.57,No,0
Silver,SOHO,6300,5,,,5,68.33,0.0,68.33,13.67,No,0
Silver,SOHO,6000,6,2.0,,8,68.67,0.0,68.67,11.45,No,0
Silver,SOHO,4400,4,6.0,,10,69.5,0.0,69.5,17.38,No,0
Silver,SOHO,6000,6,4.0,,10,69.5,0.0,69.5,11.58,No,0
Silver,SOHO,6300,6,,,6,69.75,0.0,69.75,11.63,No,0
Silver,SOHO,4230,1,4.0,,5,70.33,0.0,70.33,70.33,Yes,1
Silver,SOHO,4002,2,,,2,70.33,0.0,70.33,35.17,No,0
Silver,SOHO,6500,6,1.0,,7,70.83,0.0,70.83,11.81,No,0
Silver,SOHO,4150,3,4.0,,7,71.17,0.0,71.17,23.72,No,0
Silver,SOHO,4000,10,,,10,71.5,0.0,71.5,7.15,No,0
Silver,SOHO,6142,5,,,5,72.5,0.0,72.5,14.5,No,0
Silver,SOHO,6400,5,,,5,72.5,0.0,72.5,14.5,No,0
Silver,SOHO,6000,6,2.0,,8,72.5,0.0,72.5,12.08,No,0
Silver,SOHO,6500,5,,,5,72.5,0.0,72.5,14.5,No,0
Silver,SOHO,4023,7,,,7,72.67,0.0,72.67,10.38,No,0
Silver,SOHO,6100,5,5.0,,10,72.83,0.0,72.83,14.57,No,0
Silver,SOHO,8260,7,,,7,73.4,0.0,73.4,10.49,No,0
Silver,SOHO,6300,9,,,9,73.5,0.0,73.5,8.17,No,0
Silver,SOHO,6260,2,4.0,,6,74.0,0.0,74.0,37.0,No,0
Silver,SOHO,4000,4,,,4,74.0,0.0,74.0,18.5,No,0
Silver,SOHO,6000,9,,,9,74.0,0.0,74.0,8.22,No,0
Silver,SOHO,6400,2,,,2,74.17,0.0,74.17,37.09,No,0
Silver,VSE,6000,2,2.0,,4,74.5,0.0,74.5,37.25,No,0
Silver,SOHO,6100,4,2.0,,6,74.5,0.0,74.5,18.63,No,0
Silver,SOHO,4230,4,,,4,75.0,0.0,75.0,18.75,No,0
Silver,SOHO,6300,3,,,3,75.17,0.0,75.17,25.06,No,0
Silver,SOHO,6000,4,1.0,,5,76.33,0.0,76.33,19.08,No,0
Silver,SOHO,6600,4,6.0,,10,76.67,0.0,76.67,19.17,No,0
Silver,SOHO,6600,2,,,2,76.67,0.0,76.67,38.34,No,0
Silver,SOHO,4137,7,2.0,,9,76.83,0.0,76.83,10.98,No,0
Silver,SOHO,4003,3,3.0,,6,76.83,0.0,76.83,25.61,No,0
Silver,SOHO,5400,6,,,6,77.0,0.0,77.0,12.83,No,0
Silver,SOHO,4400,7,7.0,,14,77.0,0.0,77.0,11.0,Yes,1
Silver,SOHO,6450,9,,,9,77.2,0.0,77.2,8.58,No,0
