CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Bronze,Other,6000,4,1.0,,5,62.33,0.0,62.33,15.58,No,0
Bronze,Other,4004,1,,,1,69.33,0.0,69.33,69.33,No,0
Iron,Other,6100,7,26.0,,33,70.33,0.0,70.33,10.05,No,0
Lead,Other,4000,11,6.0,,17,88.0,0.0,88.0,8.0,No,0
Silver,Other,4836,9,,,9,89.2,0.0,89.2,9.91,No,0
Bronze,Other,6000,6,,,6,128.17,0.0,128.17,21.36,No,0
Silver,Other,4400,5,1.0,,6,133.5,0.0,133.5,26.7,Yes,1
,Other,1000,8,1.0,,9,144.0,0.0,144.0,18.0,No,0
,Other,6000,7,3.0,,10,168.17,0.0,168.17,24.02,No,0
,Other,6600,15,1.0,,16,170.0,0.0,170.0,11.33,No,0
Platinum,Other,4000,11,1.0,,12,203.67,0.0,203.67,18.52,Yes,1
,Other,6600,12,,,12,316.25,0.0,316.25,26.35,No,0
Gold,Other,6260,23,1.0,,24,329.5,0.0,329.5,14.33,No,0
Bronze,Other,4000,17,,,17,336.67,0.0,336.67,19.8,No,0
Platinum,Other,6000,15,,1.0,16,403.83,0.0,403.83,26.92,No,0
Lead,Other,1000,11,2.0,,13,488.33,0.0,488.33,44.39,No,0
Bronze,Other,4601,8,,,8,118.67,0.0,118.67,14.83,No,0
,Other,4640,8,1.0,,9,126.5,0.0,126.5,15.81,No,0
Gold,Other,4406,5,3.0,1.0,9,286.33,0.0,286.33,57.27,No,0
Bronze,Other,4000,2,,,2,65.83,0.0,65.83,32.92,No,0
Bronze,Other,4000,1,2.0,,3,87.67,0.0,87.67,87.67,No,0
Silver,Other,4260,5,,,5,150.5,0.0,150.5,30.1,No,0
Silver,Other,4000,10,,,10,194.0,0.0,194.0,19.4,No,0
Bronze,Other,4400,1,1.0,,2,41.0,0.0,41.0,41.0,No,0
Iron,Other,4264,5,,,5,44.33,0.0,44.33,8.87,No,0
Bronze,Other,4000,5,1.0,,6,46.67,0.0,46.67,9.33,No,0
Bronze,Other,4990,1,,,1,47.17,0.0,47.17,47.17,No,0
Bronze,Other,4000,4,,,4,51.67,0.0,51.67,12.92,No,0
Iron,Other,4006,2,,,2,54.5,0.0,54.5,27.25,No,0
