CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Gold,VSE,6600,2,11.0,,13,40.17,0.0,40.17,20.09,No,0
Gold,VSE,4000,7,25.0,,32,40.83,0.0,40.83,5.83,No,0
Silver,VSE,6000,3,1.0,,4,42.33,0.0,42.33,14.11,No,0
Silver,VSE,4000,2,6.0,,8,42.5,0.0,42.5,21.25,No,0
Iron,VSE,4400,1,33.0,,34,42.5,0.0,42.5,42.5,No,0
Silver,VSE,6300,1,18.0,,19,44.33,0.0,44.33,44.33,No,0
Bronze,VSE,6000,3,1.0,,4,50.33,0.0,50.33,16.78,No,0
Bronze,VSE,6000,3,1.0,,4,51.0,0.0,51.0,17.0,No,0
Bronze,VSE,4023,2,2.0,,4,53.33,0.0,53.33,26.67,No,0
Silver,VSE,6000,6,,,6,53.5,0.0,53.5,8.92,No,0
Gold,VSE,4800,7,32.0,,39,54.33,0.0,54.33,7.76,No,0
Platinum,VSE,4000,1,3.0,,4,56.33,0.0,56.33,56.33,No,0
Bronze,VSE,6489,3,,,3,56.33,0.0,56.33,18.78,No,0
Gold,VSE,6400,2,3.0,,5,56.83,0.0,56.83,28.42,No,0
Bronze,VSE,4700,5,,,5,57.5,0.0,57.5,11.5,No,0
Bronze,VSE,4000,2,2.0,,4,59.5,0.0,59.5,29.75,No,0
Iron,VSE,4000,5,,,5,59.67,0.0,59.67,11.93,No,0
Silver,VSE,4550,2,,,2,60.33,0.0,60.33,30.17,No,0
Silver,VSE,6600,4,1.0,,5,60.5,0.0,60.5,15.13,No,0
Silver,VSE,4230,4,26.0,,30,61.83,0.0,61.83,15.46,No,0
Gold,VSE,6300,3,8.0,,11,62.33,0.0,62.33,20.78,No,0
Bronze,VSE,6000,3,1.0,,4,64.33,0.0,64.33,21.44,No,0
Bronze,VSE,6100,2,,,2,67.17,0.0,67.17,33.59,No,0
Bronze,VSE,4023,5,,,5,67.67,0.0,67.67,13.53,No,0
Bronze,VSE,6600,2,2.0,,4,67.83,0.0,67.83,33.92,Yes,1
Bronze,VSE,4400,9,,,9,68.33,0.0,68.33,7.59,No,0
Gold,VSE,6000,2,13.0,,15,71.83,0.0,71.83,35.92,No,0
Bronze,VSE,4002,1,3.0,,4,72.67,0.0,72.67,72.67,No,0
Bronze,VSE,4000,38,7.0,,45,74.0,0.0,74.0,1.95,No,0
Silver,VSE,6000,2,2.0,,4,74.5,0.0,74.5,37.25,No,0
Gold,VSE,6860,5,8.0,,13,75.67,0.0,75.67,15.13,No,0
Bronze,VSE,6000,3,4.0,,7,77.67,0.0,77.67,25.89,No,0
Bronze,VSE,6400,9,,,9,78.83,0.0,78.83,8.76,No,0
Silver,VSE,6600,3,,,3,79.83,0.0,79.83,26.61,No,0
Silver,VSE,6400,5,1.0,,6,82.33,0.0,82.33,16.47,No,0
Silver,VSE,4003,4,,1.0,5,82.83,0.0,82.83,20.71,Yes,1
Bronze,VSE,6000,4,,,4,83.33,0.0,83.33,20.83,No,0
Platinum,VSE,4600,10,21.0,,31,84.33,0.0,84.33,8.43,No,0
Bronze,VSE,6800,3,,,3,85.0,0.0,85.0,28.33,No,0
Bronze,VSE,4147,6,3.0,,9,86.17,0.0,86.17,14.36,No,0
Bronze,VSE,6600,3,,,3,87.83,0.0,87.83,29.28,No,0
Silver,VSE,4000,9,1.0,,10,89.17,0.0,89.17,9.91,No,0
Bronze,VSE,4000,5,3.0,,8,89.5,0.0,89.5,17.9,Yes,1
Silver,VSE,6100,7,3.0,,10,90.5,0.0,90.5,12.93,No,0
Silver,VSE,6600,2,1.0,,3,90.67,0.0,90.67,45.34,No,0
Gold,VSE,6600,1,13.0,,14,91.5,0.0,91.5,91.5,No,0
Bronze,VSE,4000,8,,,8,91.67,0.0,91.67,11.46,No,0
Gold,VSE,4300,6,10.0,,16,91.83,0.0,91.83,15.31,No,0
Silver,VSE,4000,11,2.0,,13,93.33,0.0,93.33,8.48,No,0
Platinum,VSE,4400,6,30.0,,36,95.0,0.0,95.0,15.83,Yes,1
SME,VSE,4800,8,,,8,95.0,0.0,95.0,11.88,No,0
Platinum,VSE,4003,8,3.0,,11,95.83,0.0,95.83,11.98,No,0
Gold,VSE,4000,4,1.0,,5,97.17,0.0,97.17,24.29,No,0
Gold,VSE,4600,5,2.0,,7,98.17,0.0,98.17,19.63,No,0
Gold,VSE,6861,10,4.0,,14,98.17,0.0,98.17,9.82,No,0
Bronze,VSE,6000,7,17.0,,24,98.83,0.0,98.83,14.12,No,0
Bronze,VSE,6884,4,7.0,,11,99.17,0.0,99.17,24.79,No,0
Bronze,VSE,6450,4,,,4,99.33,0.0,99.33,24.83,No,0
Gold,VSE,6000,6,7.0,,13,99.5,0.0,99.5,16.58,No,0
Silver,VSE,4023,8,6.0,,14,100.33,0.0,100.33,12.54,No,0
Silver,VSE,8881,9,,,9,100.5,0.0,100.5,11.17,No,0
Gold,VSE,6300,1,5.0,,6,100.5,0.0,100.5,100.5,Yes,1
Gold,VSE,6260,6,1.0,,7,101.0,0.0,101.0,16.83,No,0
Silver,VSE,6400,8,1.0,,9,101.67,0.0,101.67,12.71,No,0
Silver,VSE,6300,10,,,10,102.0,0.0,102.0,10.2,No,0
Bronze,VSE,4003,9,,,9,103.0,0.0,103.0,11.44,No,0
Silver,VSE,6600,12,4.0,,16,103.5,0.0,103.5,8.63,No,0
Bronze,VSE,4000,7,,,7,104.67,0.0,104.67,14.95,Yes,1
Silver,VSE,4700,5,,,5,104.83,0.0,104.83,20.97,No,0
Silver,VSE,6200,3,1.0,,4,105.83,0.0,105.83,35.28,No,0
Gold,VSE,6000,4,7.0,,11,106.0,0.0,106.0,26.5,No,0
Gold,VSE,4850,6,6.0,,12,106.83,0.0,106.83,17.81,No,0
Bronze,VSE,6500,5,,,5,107.5,0.0,107.5,21.5,No,0
Silver,VSE,6563,3,1.0,1.0,5,107.83,0.0,107.83,35.94,No,0
Gold,VSE,4230,6,4.0,,10,108.83,0.0,108.83,18.14,No,0
Silver,VSE,4400,3,,,3,109.67,0.0,109.67,36.56,No,0
Silver,VSE,4300,6,,,6,110.0,0.0,110.0,18.33,No,0
Gold,VSE,4990,4,1.0,,5,110.83,0.0,110.83,27.71,No,0
Gold,VSE,4400,7,3.0,,10,111.33,0.0,111.33,15.9,No,0
Silver,VSE,4600,9,3.0,,12,111.67,0.0,111.67,12.41,No,0
Silver,VSE,4000,6,,,6,112.17,0.0,112.17,18.7,No,0
Silver,VSE,6900,4,,,4,112.5,0.0,112.5,28.13,No,0
Bronze,VSE,6300,5,,,5,114.0,0.0,114.0,22.8,No,0
Silver,VSE,4400,5,3.0,,8,114.17,0.0,114.17,22.83,No,0
Silver,VSE,4000,3,4.0,,7,114.33,0.0,114.33,38.11,No,0
Platinum,VSE,4003,2,19.0,,21,114.83,0.0,114.83,57.42,Yes,1
Silver,VSE,6000,7,3.0,,10,115.0,0.0,115.0,16.43,No,0
Silver,VSE,6000,7,2.0,,9,116.5,0.0,116.5,16.64,No,0
Gold,VSE,4400,3,10.0,,13,116.5,0.0,116.5,38.83,No,0
Silver,VSE,6600,3,,,3,116.5,0.0,116.5,38.83,No,0
Gold,VSE,4000,8,13.0,,21,116.83,0.0,116.83,14.6,No,0
Gold,VSE,4147,6,,,6,116.83,0.0,116.83,19.47,No,0
Bronze,VSE,4023,2,,,2,117.67,0.0,117.67,58.84,No,0
Gold,VSE,6000,2,3.0,,5,117.67,0.0,117.67,58.84,Yes,1
Silver,VSE,6100,4,2.0,,6,118.0,0.0,118.0,29.5,No,0
Gold,VSE,4004,7,6.0,,13,118.17,0.0,118.17,16.88,No,0
Silver,VSE,6771,4,,,4,119.17,0.0,119.17,29.79,No,0
Silver,VSE,6858,14,18.0,,32,119.17,0.0,119.17,8.51,No,0
Silver,VSE,4000,4,,,4,119.67,0.0,119.67,29.92,No,0
Gold,VSE,6000,5,23.0,,28,120.17,0.0,120.17,24.03,No,0
Silver,VSE,6000,7,,,7,120.17,0.0,120.17,17.17,No,0
Silver,VSE,4270,6,2.0,,8,120.67,0.0,120.67,20.11,No,0
Silver,VSE,4003,10,7.0,,17,121.33,0.0,121.33,12.13,No,0
Silver,VSE,4020,8,,1.0,9,122.0,0.0,122.0,15.25,No,0
Gold,VSE,4550,3,13.0,,16,122.67,0.0,122.67,40.89,No,0
Silver,VSE,6550,6,,,6,124.33,0.0,124.33,20.72,No,0
Bronze,VSE,6300,7,,,7,124.83,0.0,124.83,17.83,No,0
Silver,VSE,6100,8,,,8,125.17,0.0,125.17,15.65,Yes,1
Silver,VSE,6000,8,4.0,,12,125.33,0.0,125.33,15.67,No,0
Gold,VSE,4000,5,10.0,,15,126.33,0.0,126.33,25.27,No,0
Bronze,VSE,8600,7,11.0,,18,127.33,0.0,127.33,18.19,No,0
Silver,VSE,6000,6,10.0,,16,127.5,0.0,127.5,21.25,No,0
Gold,VSE,4000,4,5.0,,9,127.5,0.0,127.5,31.88,No,0
Silver,VSE,4002,9,,,9,127.67,0.0,127.67,14.19,No,0
Silver,VSE,6300,5,,,5,127.83,0.0,127.83,25.57,No,0
Silver,VSE,6000,6,,,6,128.5,0.0,128.5,21.42,No,0
Silver,VSE,4000,4,4.0,5.0,13,129.0,0.0,129.0,32.25,No,0
Gold,VSE,4002,2,,,2,129.17,0.0,129.17,64.59,No,0
Silver,VSE,4000,17,,,17,127.0,2.17,129.17,7.47,No,0
Silver,VSE,6000,12,15.0,,27,129.17,0.0,129.17,10.76,No,0
Silver,VSE,6300,7,,,7,129.33,0.0,129.33,18.48,No,0
Gold,VSE,6300,4,1.0,,5,130.33,0.0,130.33,32.58,No,0
Silver,VSE,6300,4,,,4,131.0,0.0,131.0,32.75,No,0
Silver,VSE,8900,12,1.0,,13,131.33,0.0,131.33,10.94,No,0
Silver,VSE,6600,5,,,5,131.83,0.0,131.83,26.37,No,0
Silver,VSE,4000,9,,,9,132.0,0.0,132.0,14.67,No,0
Gold,VSE,4000,2,1.0,,3,132.33,0.0,132.33,66.17,No,0
Bronze,VSE,4000,18,,,18,132.67,0.0,132.67,7.37,No,0
Silver,VSE,6000,4,1.0,1.0,6,133.17,0.0,133.17,33.29,No,0
Silver,VSE,4283,9,3.0,,12,133.5,0.0,133.5,14.83,No,0
Silver,VSE,4000,8,,,8,133.67,0.0,133.67,16.71,Yes,1
Silver,VSE,4000,16,,,16,133.67,0.0,133.67,8.35,No,0
Platinum,VSE,4490,8,9.0,,17,133.83,0.0,133.83,16.73,No,0
Silver,VSE,6000,8,1.0,,9,134.33,0.0,134.33,16.79,No,0
Bronze,VSE,6000,8,1.0,,9,134.33,0.0,134.33,16.79,No,0
Silver,VSE,6300,4,,,4,135.0,0.0,135.0,33.75,No,0
Silver,VSE,4000,13,,,13,135.33,0.0,135.33,10.41,No,0
Gold,VSE,6000,7,,,7,135.33,0.0,135.33,19.33,No,0
Platinum,VSE,6000,6,4.0,,10,135.5,0.0,135.5,22.58,No,0
Gold,VSE,4400,10,,,10,135.67,0.0,135.67,13.57,No,0
Gold,VSE,1505,4,12.0,,16,136.0,0.0,136.0,34.0,No,0
Bronze,VSE,6000,7,,,7,136.33,0.0,136.33,19.48,No,0
Silver,VSE,6850,5,1.0,,6,136.5,0.0,136.5,27.3,No,0
Gold,VSE,6300,6,,,6,136.5,0.0,136.5,22.75,No,0
Platinum,VSE,4000,7,4.0,1.0,12,136.83,0.0,136.83,19.55,No,0
Silver,VSE,6750,4,1.0,,5,137.67,0.0,137.67,34.42,No,0
Bronze,VSE,4230,10,1.0,,11,138.5,0.0,138.5,13.85,No,0
Silver,VSE,6000,11,,,11,139.67,0.0,139.67,12.7,No,0
