column,column_ko,column_description,group_type,group,rows,yes_count,no_count,yes_rate,no_rate,yes_rate_percent,no_rate_percent,path
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,numeric_bin,"(21.83, 29.95]",1687,120,1567,0.07113218731475993,0.9288678126852401,7.1132187314759925,92.886781268524,
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,numeric_bin,"(-0.001, 13.17]",1697,118,1579,0.0695344725987036,0.9304655274012964,6.9534472598703605,93.04655274012964,
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,numeric_bin,"(29.95, 462.83]",1689,113,1576,0.06690349319123742,0.9330965068087625,6.690349319123742,93.30965068087626,
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,numeric_bin,"(13.17, 17.0]",1699,103,1596,0.06062389640965274,0.9393761035903473,6.062389640965274,93.93761035903474,
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,numeric_bin,"(17.0, 21.83]",1680,95,1585,0.05654761904761905,0.9434523809523809,5.654761904761905,94.34523809523809,
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,numeric_bin,missing,1,0,1,0.0,1.0,0.0,100.0,
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,numeric_bin,"(11.0, 110.0]",1587,150,1437,0.0945179584120983,0.9054820415879017,9.45179584120983,90.54820415879017,
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,numeric_bin,"(7.0, 11.0]",1452,94,1358,0.06473829201101929,0.9352617079889807,6.473829201101928,93.52617079889806,
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,numeric_bin,"(5.0, 7.0]",1437,92,1345,0.06402226861517049,0.9359777313848295,6.4022268615170494,93.59777313848295,
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,numeric_bin,"(3.0, 5.0]",2025,112,1913,0.055308641975308645,0.9446913580246914,5.530864197530865,94.46913580246914,
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,numeric_bin,"(0.999, 3.0]",1952,101,1851,0.051741803278688527,0.9482581967213115,5.174180327868853,94.82581967213115,
AvgFIXRevenue,평균 유선 매출,평균 유선 서비스 매출이다. 번들/고착 효과 확인에 사용한다.,numeric_bin,"(-0.001, 480.5]",8453,549,7904,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,
AvgMobileRevenue,평균 모바일 매출,평균 모바일 서비스 매출이다.,numeric_bin,"(221.67, 499.83]",1687,151,1536,0.08950800237107291,0.9104919976289271,8.950800237107291,91.04919976289271,
