column,column_ko,column_description,semantic_type,rows,yes_count,no_count,yes_rate,no_rate,yes_rate_percent,no_rate_percent,missing_count,missing_rate_percent
CRM_PID_Value_Segment,CRM 고객가치 등급,"CRM 기준 고객가치 등급이다. Bronze, Silver, Gold, Platinum, SME 등으로 구분된다.",categorical,8453,549,7904,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,5,0.05915059742103396
EffectiveSegment,실질 비즈니스 세그먼트,"실제 사업 규모/유형 세그먼트다. SOHO, VSE, SME 등이 포함된다.",categorical,8453,549,7904,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,0,0.0
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,categorical,8453,549,7904,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,2,0.02366023896841358
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,numeric,8453,549,7904,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,0,0.0
Not_Active_subscribers,비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,numeric,8453,549,7904,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,4149,49.08316573997397
Suspended_subscribers,정지 가입자 수,정지 상태 가입자 수다. 결측률이 매우 높아 결측 여부를 별도 신호로 본다.,numeric,8453,549,7904,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,8101,95.8357979415592
Total_SUBs,전체 가입자 수,고객이 보유한 전체 가입자 수다.,numeric,8453,549,7904,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,0,0.0
AvgMobileRevenue,평균 모바일 매출,평균 모바일 서비스 매출이다.,numeric,8453,549,7904,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,0,0.0
AvgFIXRevenue,평균 유선 매출,평균 유선 서비스 매출이다. 번들/고착 효과 확인에 사용한다.,numeric,8453,549,7904,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,0,0.0
TotalRevenue,총 매출,고객 단위 총 매출이다.,numeric,8453,549,7904,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,0,0.0
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,numeric,8453,549,7904,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,1,0.01183011948420679
