TotalRevenue,TotalRevenue_missing,TotalRevenue_imputed_median,TotalRevenue_log1p,TotalRevenue_zscore,TotalRevenue_iqr_outlier,CHURN,churn_binary
40.17,0,40.17,3.7177098357818132,-1.0524818331580943,0,No,0
40.17,0,40.17,3.7177098357818132,-1.0524818331580943,0,No,0
40.17,0,40.17,3.7177098357818132,-1.0524818331580943,0,No,0
40.17,0,40.17,3.7177098357818132,-1.0524818331580943,0,No,0
40.17,0,40.17,3.7177098357818132,-1.0524818331580943,0,No,0
40.17,0,40.17,3.7177098357818132,-1.0524818331580943,0,No,0
40.33,0,40.33,3.721588628523641,-1.0509321163735836,0,Yes,1
40.33,0,40.33,3.721588628523641,-1.0509321163735836,0,No,0
40.33,0,40.33,3.721588628523641,-1.0509321163735836,0,No,0
40.33,0,40.33,3.721588628523641,-1.0509321163735836,0,No,0
40.5,0,40.5,3.7256934272366524,-1.0492855422900411,0,No,0
40.5,0,40.5,3.7256934272366524,-1.0492855422900411,0,No,0
40.5,0,40.5,3.7256934272366524,-1.0492855422900411,0,No,0
40.67,0,40.67,3.7297814454343623,-1.0476389682064986,0,No,0
40.83,0,40.83,3.733613785454107,-1.046089251421988,0,No,0
40.83,0,40.83,3.733613785454107,-1.046089251421988,0,No,0
40.83,0,40.83,3.733613785454107,-1.046089251421988,0,No,0
40.83,0,40.83,3.733613785454107,-1.046089251421988,0,No,0
40.83,0,40.83,3.733613785454107,-1.046089251421988,0,No,0
40.83,0,40.83,3.733613785454107,-1.046089251421988,0,No,0
41.0,0,41.0,3.7376696182833684,-1.0444426773384454,0,Yes,1
41.0,0,41.0,3.7376696182833684,-1.0444426773384454,0,No,0
41.0,0,41.0,3.7376696182833684,-1.0444426773384454,0,No,0
41.0,0,41.0,3.7376696182833684,-1.0444426773384454,0,No,0
41.0,0,41.0,3.7376696182833684,-1.0444426773384454,0,No,0
41.0,0,41.0,3.7376696182833684,-1.0444426773384454,0,No,0
41.0,0,41.0,3.7376696182833684,-1.0444426773384454,0,No,0
41.17,0,41.17,3.7417090677584683,-1.042796103254903,0,No,0
41.17,0,41.17,3.7417090677584683,-1.042796103254903,0,No,0
41.17,0,41.17,3.7417090677584683,-1.042796103254903,0,No,0
41.17,0,41.17,3.7417090677584683,-1.042796103254903,0,No,0
41.17,0,41.17,3.7417090677584683,-1.042796103254903,0,No,0
41.17,0,41.17,3.7417090677584683,-1.042796103254903,0,No,0
41.17,0,41.17,3.7417090677584683,-1.042796103254903,0,No,0
41.17,0,41.17,3.7417090677584683,-1.042796103254903,0,No,0
41.17,0,41.17,3.7417090677584683,-1.042796103254903,0,No,0
41.33,0,41.33,3.745496054532832,-1.0412463864703922,0,No,0
41.33,0,41.33,3.745496054532832,-1.0412463864703922,0,No,0
41.33,0,41.33,3.745496054532832,-1.0412463864703922,0,No,0
41.33,0,41.33,3.745496054532832,-1.0412463864703922,0,No,0
41.5,0,41.5,3.7495040759303713,-1.0395998123868497,0,No,0
41.5,0,41.5,3.7495040759303713,-1.0395998123868497,0,No,0
41.67,0,41.67,3.7534960971999087,-1.0379532383033072,0,No,0
41.67,0,41.67,3.7534960971999087,-1.0379532383033072,0,No,0
41.67,0,41.67,3.7534960971999087,-1.0379532383033072,0,No,0
41.83,0,41.83,3.7572387916272794,-1.0364035215187966,0,No,0
41.83,0,41.83,3.7572387916272794,-1.0364035215187966,0,No,0
41.83,0,41.83,3.7572387916272794,-1.0364035215187966,0,No,0
41.83,0,41.83,3.7572387916272794,-1.0364035215187966,0,No,0
42.0,0,42.0,3.7612001156935624,-1.034756947435254,0,No,0
42.0,0,42.0,3.7612001156935624,-1.034756947435254,0,No,0
42.0,0,42.0,3.7612001156935624,-1.034756947435254,0,Yes,1
42.0,0,42.0,3.7612001156935624,-1.034756947435254,0,No,0
42.0,0,42.0,3.7612001156935624,-1.034756947435254,0,No,0
42.0,0,42.0,3.7612001156935624,-1.034756947435254,0,No,0
42.0,0,42.0,3.7612001156935624,-1.034756947435254,0,No,0
42.17,0,42.17,3.765145809567386,-1.0331103733517115,0,No,0
42.17,0,42.17,3.765145809567386,-1.0331103733517115,0,Yes,1
42.17,0,42.17,3.765145809567386,-1.0331103733517115,0,No,0
42.33,0,42.33,3.768845235751818,-1.0315606565672009,0,No,0
42.33,0,42.33,3.768845235751818,-1.0315606565672009,0,No,0
42.33,0,42.33,3.768845235751818,-1.0315606565672009,0,No,0
42.33,0,42.33,3.768845235751818,-1.0315606565672009,0,No,0
42.33,0,42.33,3.768845235751818,-1.0315606565672009,0,No,0
42.33,0,42.33,3.768845235751818,-1.0315606565672009,0,No,0
42.33,0,42.33,3.768845235751818,-1.0315606565672009,0,No,0
42.33,0,42.33,3.768845235751818,-1.0315606565672009,0,No,0
42.5,0,42.5,3.7727609380946383,-1.0299140824836583,0,No,0
42.5,0,42.5,3.7727609380946383,-1.0299140824836583,0,No,0
42.5,0,42.5,3.7727609380946383,-1.0299140824836583,0,No,0
42.5,0,42.5,3.7727609380946383,-1.0299140824836583,0,No,0
42.5,0,42.5,3.7727609380946383,-1.0299140824836583,0,No,0
42.5,0,42.5,3.7727609380946383,-1.0299140824836583,0,No,0
42.5,0,42.5,3.7727609380946383,-1.0299140824836583,0,No,0
42.5,0,42.5,3.7727609380946383,-1.0299140824836583,0,No,0
42.67,0,42.67,3.7766613674974696,-1.0282675084001158,0,No,0
42.67,0,42.67,3.7766613674974696,-1.0282675084001158,0,No,0
42.67,0,42.67,3.7766613674974696,-1.0282675084001158,0,Yes,1
42.83,0,42.83,3.780318514430718,-1.0267177916156052,0,Yes,1
42.83,0,42.83,3.780318514430718,-1.0267177916156052,0,No,0
42.83,0,42.83,3.780318514430718,-1.0267177916156052,0,No,0
42.83,0,42.83,3.780318514430718,-1.0267177916156052,0,No,0
43.0,0,43.0,3.784189633918261,-1.0250712175320627,0,No,0
43.0,0,43.0,3.784189633918261,-1.0250712175320627,0,No,0
43.0,0,43.0,3.784189633918261,-1.0250712175320627,0,No,0
43.0,0,43.0,3.784189633918261,-1.0250712175320627,0,No,0
43.0,0,43.0,3.784189633918261,-1.0250712175320627,0,No,0
43.0,0,43.0,3.784189633918261,-1.0250712175320627,0,No,0
43.17,0,43.17,3.7880458256084353,-1.0234246434485201,0,No,0
43.17,0,43.17,3.7880458256084353,-1.0234246434485201,0,No,0
43.17,0,43.17,3.7880458256084353,-1.0234246434485201,0,No,0
43.17,0,43.17,3.7880458256084353,-1.0234246434485201,0,No,0
43.33,0,43.33,3.7916616487569623,-1.0218749266640095,0,No,0
43.33,0,43.33,3.7916616487569623,-1.0218749266640095,0,No,0
43.33,0,43.33,3.7916616487569623,-1.0218749266640095,0,No,0
43.33,0,43.33,3.7916616487569623,-1.0218749266640095,0,No,0
43.33,0,43.33,3.7916616487569623,-1.0218749266640095,0,No,0
43.5,0,43.5,3.7954891891721947,-1.020228352580467,0,No,0
43.5,0,43.5,3.7954891891721947,-1.020228352580467,0,Yes,1
43.5,0,43.5,3.7954891891721947,-1.020228352580467,0,No,0
43.5,0,43.5,3.7954891891721947,-1.020228352580467,0,Yes,1
43.67,0,43.67,3.7993021353640275,-1.0185817784969242,0,No,0
43.67,0,43.67,3.7993021353640275,-1.0185817784969242,0,No,0
43.67,0,43.67,3.7993021353640275,-1.0185817784969242,0,No,0
43.67,0,43.67,3.7993021353640275,-1.0185817784969242,0,No,0
43.67,0,43.67,3.7993021353640275,-1.0185817784969242,0,No,0
43.67,0,43.67,3.7993021353640275,-1.0185817784969242,0,No,0
43.83,0,43.83,3.802877558167348,-1.0170320617124138,0,No,0
43.83,0,43.83,3.802877558167348,-1.0170320617124138,0,No,0
43.83,0,43.83,3.802877558167348,-1.0170320617124138,0,No,0
44.0,0,44.0,3.8066624897703196,-1.0153854876288713,0,No,0
44.0,0,44.0,3.8066624897703196,-1.0153854876288713,0,No,0
44.17,0,44.17,3.8104331496665127,-1.0137389135453285,0,No,0
44.17,0,44.17,3.8104331496665127,-1.0137389135453285,0,No,0
44.17,0,44.17,3.8104331496665127,-1.0137389135453285,0,No,0
44.17,0,44.17,3.8104331496665127,-1.0137389135453285,0,No,0
44.17,0,44.17,3.8104331496665127,-1.0137389135453285,0,No,0
44.33,0,44.33,3.813969064952758,-1.012189196760818,0,No,0
44.33,0,44.33,3.813969064952758,-1.012189196760818,0,No,0
44.33,0,44.33,3.813969064952758,-1.012189196760818,0,No,0
44.33,0,44.33,3.813969064952758,-1.012189196760818,0,No,0
44.33,0,44.33,3.813969064952758,-1.012189196760818,0,No,0
44.33,0,44.33,3.813969064952758,-1.012189196760818,0,No,0
44.5,0,44.5,3.817712325956905,-1.0105426226772753,0,No,0
44.5,0,44.5,3.817712325956905,-1.0105426226772753,0,No,0
44.5,0,44.5,3.817712325956905,-1.0105426226772753,0,No,0
44.5,0,44.5,3.817712325956905,-1.0105426226772753,0,No,0
44.67,0,44.67,3.821441627196908,-1.0088960485937328,0,No,0
44.67,0,44.67,3.821441627196908,-1.0088960485937328,0,No,0
44.83,0,44.83,3.8249388985210326,-1.0073463318092224,0,No,0
44.83,0,44.83,3.8249388985210326,-1.0073463318092224,0,No,0
44.83,0,44.83,3.8249388985210326,-1.0073463318092224,0,No,0
44.83,0,44.83,3.8249388985210326,-1.0073463318092224,0,No,0
45.0,0,45.0,3.828641396489095,-1.0056997577256797,0,No,0
45.0,0,45.0,3.828641396489095,-1.0056997577256797,0,No,0
45.17,0,45.17,3.8323302365188976,-1.0040531836421371,0,No,0
45.17,0,45.17,3.8323302365188976,-1.0040531836421371,0,No,0
45.17,0,45.17,3.8323302365188976,-1.0040531836421371,0,No,0
45.17,0,45.17,3.8323302365188976,-1.0040531836421371,0,No,0
45.33,0,45.33,3.835789699428557,-1.0025034668576265,0,No,0
45.33,0,45.33,3.835789699428557,-1.0025034668576265,0,No,0
45.33,0,45.33,3.835789699428557,-1.0025034668576265,0,No,0
45.33,0,45.33,3.835789699428557,-1.0025034668576265,0,No,0
45.5,0,45.5,3.8394523125933104,-1.000856892774084,0,No,0
45.67,0,45.67,3.8431015599617244,-0.9992103186905414,0,No,0
45.67,0,45.67,3.8431015599617244,-0.9992103186905414,0,No,0
45.67,0,45.67,3.8431015599617244,-0.9992103186905414,0,No,0
45.67,0,45.67,3.8431015599617244,-0.9992103186905414,0,No,0
45.67,0,45.67,3.8431015599617244,-0.9992103186905414,0,No,0
45.83,0,45.83,3.8465240231954505,-0.9976606019060309,0,No,0
46.0,0,46.0,3.8501476017100584,-0.9960140278224883,0,No,0
46.0,0,46.0,3.8501476017100584,-0.9960140278224883,0,No,0
46.0,0,46.0,3.8501476017100584,-0.9960140278224883,0,No,0
46.0,0,46.0,3.8501476017100584,-0.9960140278224883,0,No,0
46.0,0,46.0,3.8501476017100584,-0.9960140278224883,0,No,0
46.0,0,46.0,3.8501476017100584,-0.9960140278224883,0,No,0
46.0,0,46.0,3.8501476017100584,-0.9960140278224883,0,No,0
46.0,0,46.0,3.8501476017100584,-0.9960140278224883,0,No,0
46.17,0,46.17,3.8537580972961702,-0.9943674537389458,0,No,0
46.17,0,46.17,3.8537580972961702,-0.9943674537389458,0,No,0
46.17,0,46.17,3.8537580972961702,-0.9943674537389458,0,No,0
46.17,0,46.17,3.8537580972961702,-0.9943674537389458,0,No,0
46.17,0,46.17,3.8537580972961702,-0.9943674537389458,0,No,0
46.33,0,46.33,3.8571443439181565,-0.9928177369544352,0,No,0
46.33,0,46.33,3.8571443439181565,-0.9928177369544352,0,No,0
46.33,0,46.33,3.8571443439181565,-0.9928177369544352,0,No,0
46.33,0,46.33,3.8571443439181565,-0.9928177369544352,0,No,0
46.5,0,46.5,3.8607297110405954,-0.9911711628708926,0,No,0
46.5,0,46.5,3.8607297110405954,-0.9911711628708926,0,No,0
46.5,0,46.5,3.8607297110405954,-0.9911711628708926,0,No,0
46.5,0,46.5,3.8607297110405954,-0.9911711628708926,0,No,0
46.5,0,46.5,3.8607297110405954,-0.9911711628708926,0,No,0
46.67,0,46.67,3.864302269216734,-0.9895245887873501,0,No,0
46.67,0,46.67,3.864302269216734,-0.9895245887873501,0,No,0
46.67,0,46.67,3.864302269216734,-0.9895245887873501,0,No,0
46.67,0,46.67,3.864302269216734,-0.9895245887873501,0,No,0
46.83,0,46.83,3.8676530576922055,-0.9879748720028394,0,No,0
46.83,0,46.83,3.8676530576922055,-0.9879748720028394,0,No,0
47.0,0,47.0,3.871201010907891,-0.9863282979192969,0,No,0
47.0,0,47.0,3.871201010907891,-0.9863282979192969,0,No,0
47.0,0,47.0,3.871201010907891,-0.9863282979192969,0,No,0
47.0,0,47.0,3.871201010907891,-0.9863282979192969,0,No,0
47.0,0,47.0,3.871201010907891,-0.9863282979192969,0,No,0
47.0,0,47.0,3.871201010907891,-0.9863282979192969,0,No,0
47.17,0,47.17,3.8747364206421295,-0.9846817238357544,0,No,0
47.17,0,47.17,3.8747364206421295,-0.9846817238357544,0,No,0
47.17,0,47.17,3.8747364206421295,-0.9846817238357544,0,No,0
47.17,0,47.17,3.8747364206421295,-0.9846817238357544,0,No,0
