column,semantic_type,model,f1,recall,precision,balanced_accuracy,roc_auc,pr_auc
Total_SUBs,numeric,DecisionTree_balanced,0.14982578397212543,0.39090909090909093,0.09267241379310345,0.5623109654418953,0.5695819676844345,0.07808616695620689
AvgMobileRevenue,numeric,LogisticRegression_balanced,0.1440922190201729,0.45454545454545453,0.08561643835616438,0.5583922718647576,0.5760105801851532,0.08367163160318841
Active_subscribers,numeric,LogisticRegression_balanced,0.1426256077795786,0.4,0.08678500986193294,0.553573687539532,0.558214018745328,0.08292967691148022
TotalRevenue,numeric,LogisticRegression_balanced,0.1416184971098266,0.44545454545454544,0.08419243986254296,0.554163072853775,0.5739462940601461,0.08429126074779072
EffectiveSegment,categorical,DecisionTree_balanced,0.13457943925233645,0.32727272727272727,0.08470588235294117,0.5406129607268126,0.5431142544994537,0.07135504403894118
CRM_PID_Value_Segment,categorical,LogisticRegression_balanced,0.12761714855433698,0.5818181818181818,0.07166853303471445,0.5287332528319245,0.5338652176413088,0.06956112261944247
Billing_ZIP,categorical,DecisionTree_balanced,0.1275890637945319,0.7,0.07019143117593436,0.5274193548387096,0.5528146742567995,0.0822388992749083
Not_Active_subscribers,numeric,DecisionTree_balanced,0.1258741258741259,0.24545454545454545,0.08463949843260188,0.5303806566614916,0.5105514346501063,0.07269781402279656
ARPU,numeric,DecisionTree_balanced,0.12320675105485232,0.6636363636363637,0.06790697674418604,0.5149301362773848,0.5210568684951987,0.06742354338588341
AvgFIXRevenue,numeric,DecisionTree_balanced,0.12304250559284116,1.0,0.06555423122765197,0.5041113219481341,0.5109136909895923,0.06840274015482598
Suspended_subscribers,numeric,Dummy_stratified,0.06167400881057269,0.06363636363636363,0.05982905982905983,0.49703007302627794,0.497030073026278,0.06471800753290996
