column,semantic_type,model,f1,recall,precision,balanced_accuracy,roc_auc,pr_auc
ARPU,numeric,DecisionTree_balanced,0.12320675105485232,0.6636363636363637,0.06790697674418604,0.5149301362773848,0.5210568684951987,0.06742354338588341
ARPU,numeric,BalancedBagging_tree,0.12108980827447023,0.5454545454545454,0.0681044267877412,0.5130814789258812,0.4937323903168306,0.06393892835614792
ARPU,numeric,LogisticRegression_balanced,0.11802748585286985,0.6636363636363637,0.064773735581189,0.49848484848484853,0.5133603588062792,0.07173322744125024
ARPU,numeric,Dummy_stratified,0.06167400881057269,0.06363636363636363,0.05982905982905983,0.49703007302627794,0.497030073026278,0.06471800753290996
Active_subscribers,numeric,LogisticRegression_balanced,0.1426256077795786,0.4,0.08678500986193294,0.553573687539532,0.558214018745328,0.08292967691148022
Active_subscribers,numeric,BalancedBagging_tree,0.11764705882352941,0.45454545454545453,0.06756756756756757,0.5090564084871485,0.5390920591110344,0.07771462507363952
Active_subscribers,numeric,DecisionTree_balanced,0.11633663366336634,0.42727272727272725,0.0673352435530086,0.5077540106951872,0.527218101316773,0.0720538089603758
Active_subscribers,numeric,Dummy_stratified,0.06167400881057269,0.06363636363636363,0.05982905982905983,0.49703007302627794,0.497030073026278,0.06471800753290996
AvgFIXRevenue,numeric,DecisionTree_balanced,0.12304250559284116,1.0,0.06555423122765197,0.5041113219481341,0.5109136909895923,0.06840274015482598
AvgFIXRevenue,numeric,LogisticRegression_balanced,0.12141652613827993,0.9818181818181818,0.06470940683043738,0.497234201598528,0.4972457017997815,0.06471828600996841
AvgFIXRevenue,numeric,Dummy_stratified,0.06167400881057269,0.06363636363636363,0.05982905982905983,0.49703007302627794,0.497030073026278,0.06471800753290996
AvgFIXRevenue,numeric,BalancedBagging_tree,0.030303030303030304,0.01818181818181818,0.09090909090909091,0.502765798401472,0.502765798401472,0.06552042656553167
AvgMobileRevenue,numeric,LogisticRegression_balanced,0.1440922190201729,0.45454545454545453,0.08561643835616438,0.5583922718647576,0.5760105801851532,0.08367163160318841
AvgMobileRevenue,numeric,BalancedBagging_tree,0.142433234421365,0.6545454545454545,0.07991120976692564,0.5650968891955609,0.5870105226841471,0.07990701743808384
AvgMobileRevenue,numeric,DecisionTree_balanced,0.1316793893129771,0.6272727272727273,0.07356076759061833,0.5388103041803232,0.5509401414524755,0.07263787693545139
AvgMobileRevenue,numeric,Dummy_stratified,0.06167400881057269,0.06363636363636363,0.05982905982905983,0.49703007302627794,0.497030073026278,0.06471800753290996
Billing_ZIP,categorical,DecisionTree_balanced,0.1275890637945319,0.7,0.07019143117593436,0.5274193548387096,0.5528146742567995,0.0822388992749083
Billing_ZIP,categorical,BalancedBagging_tree,0.12373225152129817,0.5545454545454546,0.06963470319634703,0.5195244666781669,0.556580990167328,0.09156296957087305
Billing_ZIP,categorical,LogisticRegression_balanced,0.12173913043478261,0.509090909090909,0.0691358024691358,0.5160887815536772,0.5117129549767121,0.07104740549039487
Billing_ZIP,categorical,Dummy_stratified,0.06167400881057269,0.06363636363636363,0.05982905982905983,0.49703007302627794,0.497030073026278,0.06471800753290996
CRM_PID_Value_Segment,categorical,LogisticRegression_balanced,0.12761714855433698,0.5818181818181818,0.07166853303471445,0.5287332528319245,0.5338652176413088,0.06956112261944247
CRM_PID_Value_Segment,categorical,DecisionTree_balanced,0.1263573543928924,0.5818181818181818,0.07087486157253599,0.525570697487206,0.5281151170145477,0.06867039560555195
CRM_PID_Value_Segment,categorical,BalancedBagging_tree,0.1263573543928924,0.5818181818181818,0.07087486157253599,0.525570697487206,0.5282416192283366,0.06799005600043695
CRM_PID_Value_Segment,categorical,Dummy_stratified,0.06167400881057269,0.06363636363636363,0.05982905982905983,0.49703007302627794,0.497030073026278,0.06471800753290996
EffectiveSegment,categorical,DecisionTree_balanced,0.13457943925233645,0.32727272727272727,0.08470588235294117,0.5406129607268126,0.5431142544994537,0.07135504403894118
EffectiveSegment,categorical,LogisticRegression_balanced,0.133086876155268,0.32727272727272727,0.08352668213457076,0.5387154275199816,0.5405612098211718,0.07119716726816118
EffectiveSegment,categorical,BalancedBagging_tree,0.13043478260869565,0.32727272727272727,0.08144796380090498,0.5352366166407911,0.5379161635328618,0.0720882025762554
EffectiveSegment,categorical,Dummy_stratified,0.06167400881057269,0.06363636363636363,0.05982905982905983,0.49703007302627794,0.497030073026278,0.06471800753290996
Not_Active_subscribers,numeric,DecisionTree_balanced,0.1258741258741259,0.24545454545454545,0.08463949843260188,0.5303806566614916,0.5105514346501063,0.07269781402279656
Not_Active_subscribers,numeric,BalancedBagging_tree,0.11650485436893204,0.21818181818181817,0.07947019867549669,0.521171870507734,0.4925219941348974,0.06854294373771185
Not_Active_subscribers,numeric,LogisticRegression_balanced,0.11291369240752758,0.7909090909090909,0.06079664570230608,0.47040710712437467,0.4454200448507849,0.0584630518555022
Not_Active_subscribers,numeric,Dummy_stratified,0.06167400881057269,0.06363636363636363,0.05982905982905983,0.49703007302627794,0.497030073026278,0.06471800753290996
Suspended_subscribers,numeric,Dummy_stratified,0.06167400881057269,0.06363636363636363,0.05982905982905983,0.49703007302627794,0.497030073026278,0.06471800753290996
Suspended_subscribers,numeric,LogisticRegression_balanced,0.016666666666666666,0.00909090909090909,0.1,0.5016991547352079,0.5017077798861479,0.06627708187731843
Suspended_subscribers,numeric,DecisionTree_balanced,0.016666666666666666,0.00909090909090909,0.1,0.5016991547352079,0.5016991547352078,0.06536799096822753
Suspended_subscribers,numeric,BalancedBagging_tree,0.016666666666666666,0.00909090909090909,0.1,0.5016991547352079,0.5016991547352078,0.06536799096822753
TotalRevenue,numeric,LogisticRegression_balanced,0.1416184971098266,0.44545454545454544,0.08419243986254296,0.554163072853775,0.5739462940601461,0.08429126074779072
TotalRevenue,numeric,BalancedBagging_tree,0.14084507042253522,0.5909090909090909,0.07995079950799508,0.5588954056695992,0.5783623713414985,0.07548588566322748
TotalRevenue,numeric,DecisionTree_balanced,0.13105413105413105,0.6272727272727273,0.07317073170731707,0.5372290265079639,0.5496866195158416,0.0725685783977418
TotalRevenue,numeric,Dummy_stratified,0.06167400881057269,0.06363636363636363,0.05982905982905983,0.49703007302627794,0.497030073026278,0.06471800753290996
Total_SUBs,numeric,DecisionTree_balanced,0.14982578397212543,0.39090909090909093,0.09267241379310345,0.5623109654418953,0.5695819676844345,0.07808616695620689
Total_SUBs,numeric,BalancedBagging_tree,0.14666666666666667,0.4,0.08979591836734693,0.5589500316255535,0.5617359553792192,0.0778057063503373
Total_SUBs,numeric,LogisticRegression_balanced,0.1346153846153846,0.38181818181818183,0.08171206225680934,0.5416364786383762,0.5700937266402162,0.09168809929662756
Total_SUBs,numeric,Dummy_stratified,0.06167400881057269,0.06363636363636363,0.05982905982905983,0.49703007302627794,0.497030073026278,0.06471800753290996
