column_ko,column_description,group,rows,yes_count,no_count,yes_rate,no_rate,yes_rate_percent,no_rate_percent,path
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,1619,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_1619_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,1784,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_1784_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4417,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4417_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4618,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4618_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4630,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4630_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4638,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4638_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,5800,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_5800_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6170,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6170_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6264,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6264_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6353,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6353_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6670,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6670_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6673,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6673_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6845,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6845_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,7800,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_7800_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,8643,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_8643_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,8800,1,1,0,1.0,0.0,100.0,0.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_8800_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4018,3,2,1,0.6666666666666666,0.3333333333333333,66.66666666666666,33.33333333333333,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4018_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4750,3,2,1,0.6666666666666666,0.3333333333333333,66.66666666666666,33.33333333333333,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4750_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6884,4,2,2,0.5,0.5,50.0,50.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6884_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,8000,4,2,2,0.5,0.5,50.0,50.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_8000_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4251,2,1,1,0.5,0.5,50.0,50.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4251_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4363,2,1,1,0.5,0.5,50.0,50.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4363_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4632,2,1,1,0.5,0.5,50.0,50.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4632_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4944,2,1,1,0.5,0.5,50.0,50.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4944_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6053,2,1,1,0.5,0.5,50.0,50.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6053_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6097,2,1,1,0.5,0.5,50.0,50.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6097_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4201,3,1,2,0.3333333333333333,0.6666666666666666,33.33333333333333,66.66666666666666,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4201_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4212,3,1,2,0.3333333333333333,0.6666666666666666,33.33333333333333,66.66666666666666,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4212_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4250,3,1,2,0.3333333333333333,0.6666666666666666,33.33333333333333,66.66666666666666,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4250_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4601,3,1,2,0.3333333333333333,0.6666666666666666,33.33333333333333,66.66666666666666,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4601_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4602,3,1,2,0.3333333333333333,0.6666666666666666,33.33333333333333,66.66666666666666,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4602_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4644,3,1,2,0.3333333333333333,0.6666666666666666,33.33333333333333,66.66666666666666,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4644_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4830,3,1,2,0.3333333333333333,0.6666666666666666,33.33333333333333,66.66666666666666,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4830_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6050,3,1,2,0.3333333333333333,0.6666666666666666,33.33333333333333,66.66666666666666,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6050_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6160,3,1,2,0.3333333333333333,0.6666666666666666,33.33333333333333,66.66666666666666,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6160_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,8200,3,1,2,0.3333333333333333,0.6666666666666666,33.33333333333333,66.66666666666666,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_8200_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,8600,3,1,2,0.3333333333333333,0.6666666666666666,33.33333333333333,66.66666666666666,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_8600_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4109,7,2,5,0.2857142857142857,0.7142857142857143,28.57142857142857,71.42857142857143,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4109_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4701,12,3,9,0.25,0.75,25.0,75.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4701_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4160,4,1,3,0.25,0.75,25.0,75.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4160_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4406,4,1,3,0.25,0.75,25.0,75.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4406_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4703,4,1,3,0.25,0.75,25.0,75.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4703_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4831,4,1,3,0.25,0.75,25.0,75.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4831_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6158,4,1,3,0.25,0.75,25.0,75.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6158_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6250,4,1,3,0.25,0.75,25.0,75.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6250_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6343,4,1,3,0.25,0.75,25.0,75.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6343_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6560,4,1,3,0.25,0.75,25.0,75.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6560_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6900,23,5,18,0.21739130434782608,0.782608695652174,21.73913043478261,78.26086956521739,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6900_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4108,15,3,12,0.2,0.8,20.0,80.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4108_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4021,10,2,8,0.2,0.8,20.0,80.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4021_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4581,10,2,8,0.2,0.8,20.0,80.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4581_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4241,5,1,4,0.2,0.8,20.0,80.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4241_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4800,22,4,18,0.18181818181818182,0.8181818181818182,18.181818181818183,81.81818181818183,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4800_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4770,6,1,5,0.16666666666666666,0.8333333333333334,16.666666666666664,83.33333333333334,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4770_churn.csv
