원본컬럼명,한글컬럼명,간단설명,구간,전체건수,이탈Yes수,잔류No수,이탈자수,이탈률,이탈률,잔류율,이탈률_퍼센트,잔류율_퍼센트,최솟값,최댓값
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,"(0.999, 3.0]",1952,101,1851,101,0.051741803278688527,0.051741803278688527,0.9482581967213115,5.174180327868853,94.82581967213115,1.0,3.0
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,"(3.0, 5.0]",2025,112,1913,112,0.055308641975308645,0.055308641975308645,0.9446913580246914,5.530864197530865,94.46913580246914,4.0,5.0
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,"(5.0, 7.0]",1437,92,1345,92,0.06402226861517049,0.06402226861517049,0.9359777313848295,6.4022268615170494,93.59777313848295,6.0,7.0
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,"(7.0, 11.0]",1452,94,1358,94,0.06473829201101929,0.06473829201101929,0.9352617079889807,6.473829201101928,93.52617079889806,8.0,11.0
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,"(11.0, 110.0]",1587,150,1437,150,0.0945179584120983,0.0945179584120983,0.9054820415879017,9.45179584120983,90.54820415879017,12.0,110.0
Not_Active_subscribers,비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,missing,4149,249,3900,249,0.060014461315979754,0.060014461315979754,0.9399855386840202,6.001446131597976,93.99855386840203,,
Not_Active_subscribers,비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,"(0.999, 2.0]",2542,161,2381,161,0.06333595594020457,0.06333595594020457,0.9366640440597954,6.333595594020457,93.66640440597955,1.0,2.0
Not_Active_subscribers,비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,"(2.0, 3.0]",497,39,458,39,0.07847082494969819,0.07847082494969819,0.9215291750503019,7.847082494969819,92.15291750503019,3.0,3.0
Not_Active_subscribers,비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,"(3.0, 5.0]",541,41,500,41,0.07578558225508318,0.07578558225508318,0.9242144177449169,7.578558225508318,92.42144177449168,4.0,5.0
Not_Active_subscribers,비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,"(5.0, 214.0]",724,59,665,59,0.08149171270718232,0.08149171270718232,0.9185082872928176,8.149171270718233,91.85082872928176,6.0,214.0
Suspended_subscribers,정지 가입자 수,정지 상태 가입자 수다. 결측률이 매우 높아 결측 여부를 별도 신호로 본다.,missing,8101,518,7583,518,0.0639427231206024,0.0639427231206024,0.9360572768793977,6.39427231206024,93.60572768793976,,
Suspended_subscribers,정지 가입자 수,정지 상태 가입자 수다. 결측률이 매우 높아 결측 여부를 별도 신호로 본다.,"(0.999, 22.0]",352,31,321,31,0.08806818181818182,0.08806818181818182,0.9119318181818182,8.806818181818182,91.19318181818183,1.0,22.0
Total_SUBs,전체 가입자 수,고객이 보유한 전체 가입자 수다.,"(0.999, 4.0]",2007,95,1912,95,0.04733432984554061,0.04733432984554061,0.9526656701544594,4.733432984554061,95.26656701544593,1.0,4.0
Total_SUBs,전체 가입자 수,고객이 보유한 전체 가입자 수다.,"(4.0, 6.0]",1808,111,1697,111,0.06139380530973451,0.06139380530973451,0.9386061946902655,6.139380530973451,93.86061946902655,5.0,6.0
Total_SUBs,전체 가입자 수,고객이 보유한 전체 가입자 수다.,"(6.0, 9.0]",1669,96,1573,96,0.057519472738166565,0.057519472738166565,0.9424805272618334,5.751947273816657,94.24805272618335,7.0,9.0
Total_SUBs,전체 가입자 수,고객이 보유한 전체 가입자 수다.,"(9.0, 14.0]",1467,104,1363,104,0.070892978868439,0.070892978868439,0.929107021131561,7.0892978868439,92.91070211315609,10.0,14.0
Total_SUBs,전체 가입자 수,고객이 보유한 전체 가입자 수다.,"(14.0, 235.0]",1502,143,1359,143,0.0952063914780293,0.0952063914780293,0.9047936085219707,9.52063914780293,90.47936085219706,15.0,235.0
AvgMobileRevenue,평균 모바일 매출,평균 모바일 서비스 매출이다.,"(-0.001, 64.67]",1697,68,1629,68,0.040070713022981735,0.040070713022981735,0.9599292869770183,4.007071302298174,95.99292869770183,0.0,64.67
AvgMobileRevenue,평균 모바일 매출,평균 모바일 서비스 매출이다.,"(64.67, 94.5]",1686,83,1603,83,0.04922894424673784,0.04922894424673784,0.9507710557532622,4.9228944246737845,95.07710557532621,64.83,94.5
AvgMobileRevenue,평균 모바일 매출,평균 모바일 서비스 매출이다.,"(94.5, 138.17]",1693,120,1573,120,0.07088009450679268,0.07088009450679268,0.9291199054932073,7.088009450679269,92.91199054932073,94.6,138.17
AvgMobileRevenue,평균 모바일 매출,평균 모바일 서비스 매출이다.,"(138.17, 221.67]",1690,127,1563,127,0.07514792899408285,0.07514792899408285,0.9248520710059172,7.514792899408285,92.48520710059171,138.33,221.67
AvgMobileRevenue,평균 모바일 매출,평균 모바일 서비스 매출이다.,"(221.67, 499.83]",1687,151,1536,151,0.08950800237107291,0.08950800237107291,0.9104919976289271,8.950800237107291,91.04919976289271,221.83,499.83
AvgFIXRevenue,평균 유선 매출,평균 유선 서비스 매출이다. 번들/고착 효과 확인에 사용한다.,"(-0.001, 480.5]",8453,549,7904,549,0.06494735596829528,0.06494735596829528,0.9350526440317047,6.4947355968295275,93.50526440317047,0.0,480.5
TotalRevenue,총 매출,고객 단위 총 매출이다.,"(4.669, 64.83]",1692,68,1624,68,0.04018912529550828,0.04018912529550828,0.9598108747044918,4.0189125295508275,95.98108747044918,4.67,64.83
TotalRevenue,총 매출,고객 단위 총 매출이다.,"(64.83, 94.67]",1695,85,1610,85,0.05014749262536873,0.05014749262536873,0.9498525073746312,5.014749262536873,94.98525073746312,65.0,94.67
TotalRevenue,총 매출,고객 단위 총 매출이다.,"(94.67, 138.534]",1685,118,1567,118,0.07002967359050445,0.07002967359050445,0.9299703264094955,7.002967359050445,92.99703264094956,94.83,138.5
TotalRevenue,총 매출,고객 단위 총 매출이다.,"(138.534, 222.33]",1693,129,1564,129,0.07619610159480213,0.07619610159480213,0.9238038984051978,7.619610159480213,92.38038984051978,138.67,222.33
TotalRevenue,총 매출,고객 단위 총 매출이다.,"(222.33, 499.83]",1688,149,1539,149,0.08827014218009478,0.08827014218009478,0.9117298578199052,8.827014218009479,91.17298578199052,222.5,499.83
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,missing,1,0,1,0,0.0,0.0,1.0,0.0,100.0,,
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,"(-0.001, 13.17]",1697,118,1579,118,0.0695344725987036,0.0695344725987036,0.9304655274012964,6.9534472598703605,93.04655274012964,0.0,13.17
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,"(13.17, 17.0]",1699,103,1596,103,0.06062389640965274,0.06062389640965274,0.9393761035903473,6.062389640965274,93.93761035903474,13.18,17.0
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,"(17.0, 21.83]",1680,95,1585,95,0.05654761904761905,0.05654761904761905,0.9434523809523809,5.654761904761905,94.34523809523809,17.01,21.83
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,"(21.83, 29.95]",1687,120,1567,120,0.07113218731475993,0.07113218731475993,0.9288678126852401,7.1132187314759925,92.886781268524,21.84,29.95
