source,variant,family,model,train_data,selected_threshold,test_f1,test_f2,test_recall,test_precision,test_pr_auc,test_mcc,test_balanced_accuracy,test_tp,test_fp,test_fn,test_tn,contact_rate,net_value
baseline_threshold_tuning,with_billing_zip,BalancedBagging,BalancedBagging_original,original,0.5,0.1525625744934445,0.27444253859348194,0.5871559633027523,0.0876712328767123,0.0870947318001563,0.0820383497592331,0.5826850114170506,64,666,45,913,0.4324644549763033,127440.0
baseline_threshold_tuning,with_billing_zip,LogisticRegression,LogisticRegression_SMOTE,resampled,0.46,0.1506849315068493,0.21568627450980388,0.3027522935779816,0.1003039513677811,0.0811509274786953,0.0715311720462803,0.5576459377959573,33,296,76,1283,0.19490521327014218,71400.0
baseline_threshold_tuning,without_billing_zip,BalancedBagging,BalancedBagging_original,original,0.44,0.1353251318101933,0.26279863481228666,0.7064220183486238,0.0748299319727891,0.0797591544617349,0.0521472148557598,0.5517543910615823,77,952,32,627,0.6095971563981043,135240.0
baseline_threshold_tuning,without_billing_zip,CatBoost,CatBoost_original_balanced,original,0.41,0.1322160148975791,0.25339043540328327,0.6513761467889908,0.0735751295336787,0.0794872244771639,0.0423141591604676,0.542597509746617,71,894,38,685,0.5716824644549763,122760.0
baseline_threshold_tuning,without_billing_zip,CatBoost,CatBoost_native_categorical,native_categorical,0.47,0.1321909424724602,0.2360139860139859,0.4954128440366973,0.0762711864406779,0.0838553886914006,0.0404550917758548,0.5406133251215786,54,654,55,925,0.4194312796208531,96480.0
baseline_threshold_tuning,with_billing_zip,CatBoost,CatBoost_original_balanced,original,0.34,0.1317183951551854,0.2639563106796114,0.7981651376146789,0.0717821782178217,0.1017679590125843,0.0468030363299169,0.5428444434115193,87,1125,22,454,0.7180094786729858,146880.0
baseline_threshold_tuning,without_billing_zip,EasyEnsemble,EasyEnsemble_n50_original,original,0.49,0.1316793893129771,0.25090909090909075,0.6330275229357798,0.0734824281150159,0.0835185723454653,0.040587045098551,0.5410229444951223,69,870,40,709,0.5562796208530806,119160.0
baseline_threshold_tuning,with_billing_zip,EasyEnsemble,EasyEnsemble_n50_original,original,0.5,0.131578947368421,0.2471482889733838,0.5963302752293578,0.073947667804323,0.0884705846530548,0.0397578503616144,0.5404070628838366,65,814,44,765,0.5207345971563981,112920.0
baseline_threshold_tuning,with_billing_zip,CatBoost,CatBoost_native_categorical,native_categorical,0.35,0.1310295176385889,0.2651515151515152,0.8348623853211009,0.07109375,0.0789093822365699,0.0469904887992018,0.5409270761311015,91,1189,18,390,0.7582938388625592,152160.0
baseline_threshold_tuning,with_billing_zip,EasyEnsemble,EasyEnsemble_original,original,0.5,0.1283851554663992,0.24169184290030196,0.5871559633027523,0.072072072072072,0.0845291841373072,0.0321447846698437,0.5326533458059044,64,824,45,755,0.5260663507109005,108480.0
