group_level,billing_zip_group,rows,train_rows,test_rows,churn_count,non_churn_count,churn_rate,churn_rate_percent,support_flag
zip_prefix1,4xxx,5478,4372,1106,376,5102,0.06863818912011684,6.863818912011683,stable
zip_prefix1,6xxx,2855,2292,563,158,2697,0.0553415061295972,5.53415061295972,stable
zip_prefix1,1xxx,41,34,7,2,39,0.04878048780487805,4.878048780487805,stable
zip_prefix1,8xxx,36,29,7,7,29,0.19444444444444445,19.444444444444446,stable
zip_prefix1,2xxx,6,5,1,0,6,0.0,0.0,no_positive
zip_prefix1,9xxx,6,6,0,0,6,0.0,0.0,no_positive
zip_prefix1,5xxx,5,4,1,1,4,0.2,20.0,small_support
zip_prefix1,7xxx,5,3,2,1,4,0.2,20.0,small_support
zip_prefix1,3xxx,2,1,1,0,2,0.0,0.0,no_positive
zip_prefix1,missing,2,2,0,0,2,0.0,0.0,no_positive
zip_prefix2,40xx,3109,2456,653,209,2900,0.06722418784174976,6.722418784174976,stable
zip_prefix2,60xx,1210,984,226,62,1148,0.0512396694214876,5.12396694214876,stable
zip_prefix2,44xx,580,476,104,32,548,0.05517241379310345,5.517241379310345,stable
zip_prefix2,42xx,511,410,101,41,470,0.08023483365949119,8.023483365949119,stable
zip_prefix2,63xx,370,297,73,25,345,0.06756756756756757,6.756756756756757,stable
zip_prefix2,64xx,347,270,77,17,330,0.04899135446685879,4.899135446685879,stable
zip_prefix2,41xx,345,262,83,20,325,0.057971014492753624,5.797101449275362,stable
zip_prefix2,61xx,329,263,66,13,316,0.03951367781155015,3.951367781155015,stable
zip_prefix2,66xx,243,195,48,19,224,0.07818930041152264,7.818930041152264,stable
zip_prefix2,47xx,215,180,35,24,191,0.11162790697674418,11.162790697674419,stable
zip_prefix2,45xx,196,152,44,10,186,0.05102040816326531,5.1020408163265305,stable
zip_prefix2,43xx,194,162,32,9,185,0.04639175257731959,4.639175257731959,stable
zip_prefix2,46xx,155,122,33,19,136,0.12258064516129032,12.258064516129032,stable
zip_prefix2,65xx,139,102,37,3,136,0.02158273381294964,2.158273381294964,stable
zip_prefix2,62xx,119,101,18,7,112,0.058823529411764705,5.88235294117647,stable
zip_prefix2,48xx,96,84,12,11,85,0.11458333333333333,11.458333333333332,stable
zip_prefix2,49xx,77,68,9,1,76,0.012987012987012988,1.2987012987012987,small_support
zip_prefix2,68xx,58,48,10,6,52,0.10344827586206896,10.344827586206897,stable
zip_prefix2,69xx,23,20,3,5,18,0.21739130434782608,21.73913043478261,stable
zip_prefix2,67xx,17,12,5,1,16,0.058823529411764705,5.88235294117647,small_support
zip_prefix2,89xx,16,14,2,1,15,0.0625,6.25,small_support
zip_prefix2,15xx,8,6,2,0,8,0.0,0.0,no_positive
zip_prefix2,10xx,7,5,2,0,7,0.0,0.0,no_positive
zip_prefix2,14xx,7,7,0,0,7,0.0,0.0,no_positive
zip_prefix2,80xx,5,4,1,2,3,0.4,40.0,small_support
zip_prefix2,86xx,5,5,0,2,3,0.4,40.0,small_support
zip_prefix2,82xx,5,3,2,1,4,0.2,20.0,small_support
zip_prefix2,13xx,5,4,1,0,5,0.0,0.0,no_positive
zip_prefix2,16xx,4,3,1,1,3,0.25,25.0,small_support
zip_prefix2,17xx,4,3,1,1,3,0.25,25.0,small_support
zip_prefix2,88xx,3,3,0,1,2,0.3333333333333333,33.33333333333333,small_support
zip_prefix2,11xx,3,3,0,0,3,0.0,0.0,no_positive
zip_prefix2,12xx,2,2,0,0,2,0.0,0.0,no_positive
zip_prefix2,70xx,2,1,1,0,2,0.0,0.0,no_positive
zip_prefix2,84xx,2,0,2,0,2,0.0,0.0,no_positive
zip_prefix2,93xx,2,2,0,0,2,0.0,0.0,no_positive
zip_prefix2,missing,2,2,0,0,2,0.0,0.0,no_positive
zip_prefix2,58xx,1,1,0,1,0,1.0,100.0,small_support
zip_prefix2,78xx,1,0,1,1,0,1.0,100.0,small_support
zip_prefix2,18xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,20xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,21xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,22xx,1,0,1,0,1,0.0,0.0,no_positive
zip_prefix2,24xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,25xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,28xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,32xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,35xx,1,0,1,0,1,0.0,0.0,no_positive
zip_prefix2,50xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,51xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,54xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,57xx,1,0,1,0,1,0.0,0.0,no_positive
zip_prefix2,73xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,75xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,90xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,91xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,92xx,1,1,0,0,1,0.0,0.0,no_positive
zip_prefix2,96xx,1,1,0,0,1,0.0,0.0,no_positive
