group_level,billing_zip_group,rows,train_rows,test_rows,churn_count,non_churn_count,churn_rate,churn_rate_percent,support_flag
zip_value,4000,1602,1239,363,111,1491,0.06928838951310862,6.928838951310862,stable
zip_value,6000,1142,925,217,58,1084,0.050788091068301226,5.078809106830122,stable
zip_value,4400,465,382,83,28,437,0.060215053763440864,6.021505376344086,stable
zip_value,4003,400,321,79,23,377,0.0575,5.75,stable
zip_value,6300,337,266,71,23,314,0.06824925816023739,6.824925816023739,stable
zip_value,4004,309,247,62,22,287,0.07119741100323625,7.119741100323624,stable
zip_value,4002,303,242,61,21,282,0.06930693069306931,6.9306930693069315,stable
zip_value,4023,260,212,48,10,250,0.038461538461538464,3.8461538461538463,stable
zip_value,6100,257,207,50,9,248,0.03501945525291829,3.501945525291829,stable
zip_value,4230,244,195,49,24,220,0.09836065573770492,9.836065573770492,stable
zip_value,6400,237,183,54,9,228,0.0379746835443038,3.79746835443038,stable
zip_value,6600,231,185,46,17,214,0.0735930735930736,7.35930735930736,stable
zip_value,4700,181,151,30,17,164,0.09392265193370165,9.392265193370166,stable
zip_value,4300,132,110,22,6,126,0.045454545454545456,4.545454545454546,stable
zip_value,4600,115,94,21,11,104,0.09565217391304348,9.565217391304348,stable
zip_value,6500,96,71,25,1,95,0.010416666666666666,1.0416666666666665,small_support
zip_value,4500,94,71,23,5,89,0.05319148936170213,5.319148936170213,stable
zip_value,6450,85,66,19,7,78,0.08235294117647059,8.235294117647058,stable
zip_value,4270,73,61,12,2,71,0.0273972602739726,2.73972602739726,stable
zip_value,4150,71,61,10,4,67,0.056338028169014086,5.633802816901409,stable
zip_value,4006,57,44,13,6,51,0.10526315789473684,10.526315789473683,stable
zip_value,4210,47,36,11,6,41,0.1276595744680851,12.76595744680851,stable
zip_value,4550,46,37,9,0,46,0.0,0.0,no_positive
zip_value,6260,43,40,3,4,39,0.09302325581395349,9.30232558139535,stable
zip_value,4001,40,34,6,5,35,0.125,12.5,stable
zip_value,4850,40,35,5,5,35,0.125,12.5,stable
zip_value,4020,35,29,6,1,34,0.02857142857142857,2.857142857142857,small_support
zip_value,6800,33,27,6,3,30,0.09090909090909091,9.090909090909092,stable
zip_value,6200,32,28,4,1,31,0.03125,3.125,small_support
zip_value,4180,30,24,6,2,28,0.06666666666666667,6.666666666666667,stable
zip_value,4220,26,20,6,1,25,0.038461538461538464,3.8461538461538463,small_support
zip_value,6900,23,20,3,5,18,0.21739130434782608,21.73913043478261,stable
zip_value,4330,23,19,4,2,21,0.08695652173913043,8.695652173913043,stable
zip_value,6550,23,17,6,0,23,0.0,0.0,no_positive
zip_value,4800,22,19,3,4,18,0.18181818181818182,18.181818181818183,stable
zip_value,4101,22,17,5,1,21,0.045454545454545456,4.545454545454546,small_support
zip_value,4640,21,15,6,1,20,0.047619047619047616,4.761904761904762,small_support
zip_value,4190,21,14,7,0,21,0.0,0.0,no_positive
zip_value,4980,21,19,2,0,21,0.0,0.0,no_positive
zip_value,6280,21,17,4,0,21,0.0,0.0,no_positive
zip_value,4199,19,14,5,2,17,0.10526315789473684,10.526315789473683,small_support
zip_value,4490,19,15,4,0,19,0.0,0.0,no_positive
zip_value,4015,18,16,2,2,16,0.1111111111111111,11.11111111111111,small_support
zip_value,4470,18,18,0,1,17,0.05555555555555555,5.555555555555555,small_support
zip_value,4017,17,13,4,2,15,0.11764705882352941,11.76470588235294,small_support
zip_value,4110,17,15,2,2,15,0.11764705882352941,11.76470588235294,small_support
zip_value,4016,16,13,3,0,16,0.0,0.0,no_positive
zip_value,4108,15,12,3,3,12,0.2,20.0,small_support
zip_value,4147,15,11,4,0,15,0.0,0.0,no_positive
zip_value,4225,15,10,5,0,15,0.0,0.0,no_positive
zip_value,4580,13,11,2,1,12,0.07692307692307693,7.6923076923076925,small_support
zip_value,6304,13,12,1,0,13,0.0,0.0,no_positive
zip_value,4701,12,11,1,3,9,0.25,25.0,small_support
zip_value,4224,11,8,3,1,10,0.09090909090909091,9.090909090909092,small_support
zip_value,4579,11,8,3,1,10,0.09090909090909091,9.090909090909092,small_support
zip_value,8900,11,11,0,1,10,0.09090909090909091,9.090909090909092,small_support
zip_value,4021,10,10,0,2,8,0.2,20.0,small_support
zip_value,4581,10,7,3,2,8,0.2,20.0,small_support
zip_value,4013,10,9,1,1,9,0.1,10.0,small_support
zip_value,4124,10,9,1,1,9,0.1,10.0,small_support
zip_value,4218,10,8,2,1,9,0.1,10.0,small_support
zip_value,4409,10,7,3,1,9,0.1,10.0,small_support
zip_value,4960,10,10,0,0,10,0.0,0.0,no_positive
zip_value,4030,9,9,0,1,8,0.1111111111111111,11.11111111111111,small_support
zip_value,6570,9,5,4,1,8,0.1111111111111111,11.11111111111111,small_support
zip_value,4204,8,8,0,1,7,0.125,12.5,small_support
zip_value,4530,8,7,1,1,7,0.125,12.5,small_support
zip_value,6003,8,8,0,1,7,0.125,12.5,small_support
zip_value,4027,8,6,2,0,8,0.0,0.0,no_positive
zip_value,4130,8,5,3,0,8,0.0,0.0,no_positive
zip_value,4172,8,7,1,0,8,0.0,0.0,no_positive
zip_value,4360,8,8,0,0,8,0.0,0.0,no_positive
zip_value,4407,8,6,2,0,8,0.0,0.0,no_positive
zip_value,4990,8,7,1,0,8,0.0,0.0,no_positive
