variant,model,train_kind,group_level,billing_zip_group,rows,positives,churn_rate,predicted_positives,predicted_positive_rate,tp,fp,fn,tn,f1,recall,precision,pr_auc,avg_score,overall_test_f1,overall_test_recall,f1_delta_vs_model_overall,recall_delta_vs_model_overall,support_flag
with_billing_zip,BalancedBagging_original,original,zip_prefix1,4xxx,1106,79,0.07142857142857142,479,0.43309222423146476,47,432,32,595,0.16845878136200718,0.5949367088607594,0.09812108559498957,0.09053058145733198,0.4681408675282601,0.15256257449344457,0.5871559633027523,0.015896206868562607,0.007780745558007118,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix1,6xxx,563,27,0.047957371225577264,238,0.4227353463587922,14,224,13,312,0.10566037735849057,0.5185185185185185,0.058823529411764705,0.07755848944754984,0.4705748399584974,0.15256257449344457,0.5871559633027523,-0.046902197134954,-0.06863744478423384,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix1,1xxx,7,1,0.14285714285714285,5,0.7142857142857143,1,4,0,2,0.3333333333333333,1.0,0.2,1.0,0.5224083710753123,0.15256257449344457,0.5871559633027523,0.18077075883988875,0.4128440366972477,small_support
with_billing_zip,BalancedBagging_original,original,zip_prefix1,8xxx,7,1,0.14285714285714285,4,0.5714285714285714,1,3,0,3,0.4,1.0,0.25,0.25,0.5578434444729318,0.15256257449344457,0.5871559633027523,0.24743742550655545,0.4128440366972477,small_support
with_billing_zip,BalancedBagging_original,original,zip_prefix1,7xxx,2,1,0.5,1,0.5,1,0,0,1,1.0,1.0,1.0,1.0,0.52490022603828,0.15256257449344457,0.5871559633027523,0.8474374255065554,0.4128440366972477,small_support
with_billing_zip,BalancedBagging_original,original,zip_prefix1,2xxx,1,0,0.0,1,1.0,0,1,0,0,0.0,,0.0,,0.7024774621055245,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_prefix1,3xxx,1,0,0.0,1,1.0,0,1,0,0,0.0,,0.0,,0.6015873009165503,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_prefix1,5xxx,1,0,0.0,1,1.0,0,1,0,0,0.0,,0.0,,0.5727954720835071,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_prefix2,40xx,653,50,0.07656967840735068,280,0.42879019908116384,31,249,19,354,0.18787878787878787,0.62,0.11071428571428571,0.13313593040763377,0.4640540167506216,0.15256257449344457,0.5871559633027523,0.0353162133853433,0.03284403669724767,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix2,60xx,226,8,0.035398230088495575,90,0.39823008849557523,2,88,6,130,0.04081632653061224,0.25,0.022222222222222223,0.03930216569947084,0.46138753504633695,0.15256257449344457,0.5871559633027523,-0.11174624796283233,-0.3371559633027523,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix2,44xx,104,7,0.0673076923076923,51,0.49038461538461536,4,47,3,50,0.13793103448275862,0.5714285714285714,0.0784313725490196,0.09216426368960504,0.4729685957885102,0.15256257449344457,0.5871559633027523,-0.01463154001068595,-0.01572739187418093,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix2,42xx,101,4,0.039603960396039604,48,0.4752475247524752,2,46,2,51,0.07692307692307693,0.5,0.041666666666666664,0.053558758314855875,0.4874479730996536,0.15256257449344457,0.5871559633027523,-0.07563949757036764,-0.08715596330275233,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix2,41xx,83,5,0.060240963855421686,40,0.4819277108433735,3,37,2,41,0.13333333333333333,0.6,0.075,0.07425449797267328,0.48704034370679555,0.15256257449344457,0.5871559633027523,-0.019229241160111238,0.012844036697247652,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix2,64xx,77,4,0.05194805194805195,35,0.45454545454545453,3,32,1,41,0.15384615384615385,0.75,0.08571428571428572,0.10128968253968253,0.4733113369104226,0.15256257449344457,0.5871559633027523,0.0012835793527092854,0.16284403669724767,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix2,63xx,73,5,0.0684931506849315,29,0.3972602739726027,3,26,2,42,0.17647058823529413,0.6,0.10344827586206896,0.1759457933370977,0.47845876895271183,0.15256257449344457,0.5871559633027523,0.02390801374184956,0.012844036697247652,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix2,61xx,66,2,0.030303030303030304,23,0.3484848484848485,1,22,1,42,0.08,0.5,0.043478260869565216,0.05195681511470985,0.463931815385091,0.15256257449344457,0.5871559633027523,-0.07256257449344457,-0.08715596330275233,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix2,66xx,48,4,0.08333333333333333,24,0.5,3,21,1,23,0.21428571428571427,0.75,0.125,0.24449893955461294,0.47502100959007904,0.15256257449344457,0.5871559633027523,0.061723139792269704,0.16284403669724767,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix2,45xx,44,2,0.045454545454545456,20,0.45454545454545453,1,19,1,23,0.09090909090909091,0.5,0.05,0.04825581395348837,0.4731819620138911,0.15256257449344457,0.5871559633027523,-0.06165348358435366,-0.08715596330275233,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix2,65xx,37,1,0.02702702702702703,18,0.4864864864864865,0,18,1,18,0.0,0.0,0.0,0.029411764705882353,0.48484832220232243,0.15256257449344457,0.5871559633027523,-0.15256257449344457,-0.5871559633027523,small_support
with_billing_zip,BalancedBagging_original,original,zip_prefix2,47xx,35,4,0.11428571428571428,16,0.45714285714285713,3,13,1,18,0.3,0.75,0.1875,0.17878787878787877,0.47567486702427053,0.15256257449344457,0.5871559633027523,0.14743742550655542,0.16284403669724767,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix2,46xx,33,4,0.12121212121212122,13,0.3939393939393939,1,12,3,17,0.11764705882352941,0.25,0.07692307692307693,0.1183884362763673,0.46842598646593486,0.15256257449344457,0.5871559633027523,-0.03491551566991516,-0.3371559633027523,stable
with_billing_zip,BalancedBagging_original,original,zip_prefix2,43xx,32,1,0.03125,5,0.15625,0,5,1,26,0.0,0.0,0.0,0.041666666666666664,0.423450358596804,0.15256257449344457,0.5871559633027523,-0.15256257449344457,-0.5871559633027523,small_support
with_billing_zip,BalancedBagging_original,original,zip_prefix2,62xx,18,1,0.05555555555555555,9,0.5,0,9,1,8,0.0,0.0,0.0,0.07692307692307693,0.48727488814662284,0.15256257449344457,0.5871559633027523,-0.15256257449344457,-0.5871559633027523,small_support
with_billing_zip,BalancedBagging_original,original,zip_prefix2,48xx,12,2,0.16666666666666666,4,0.3333333333333333,2,2,0,8,0.6666666666666666,1.0,0.5,0.5,0.46261678486106445,0.15256257449344457,0.5871559633027523,0.5141040921732221,0.4128440366972477,small_support
with_billing_zip,BalancedBagging_original,original,zip_prefix2,68xx,10,1,0.1,6,0.6,1,5,0,4,0.2857142857142857,1.0,0.16666666666666666,1.0,0.5149483878592349,0.15256257449344457,0.5871559633027523,0.13315171122084113,0.4128440366972477,small_support
with_billing_zip,BalancedBagging_original,original,zip_prefix2,49xx,9,0,0.0,2,0.2222222222222222,0,2,0,7,0.0,,0.0,,0.42918907267763495,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_prefix2,67xx,5,0,0.0,2,0.4,0,2,0,3,0.0,,0.0,,0.4729303717507369,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_prefix2,69xx,3,1,0.3333333333333333,2,0.6666666666666666,1,1,0,1,0.6666666666666666,1.0,0.5,1.0,0.5475363264334766,0.15256257449344457,0.5871559633027523,0.5141040921732221,0.4128440366972477,small_support
with_billing_zip,BalancedBagging_original,original,zip_prefix2,10xx,2,0,0.0,2,1.0,0,2,0,0,0.0,,0.0,,0.5167576268268084,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
