variant,model,train_kind,group_level,billing_zip_group,rows,positives,churn_rate,predicted_positives,predicted_positive_rate,tp,fp,fn,tn,f1,recall,precision,pr_auc,avg_score,overall_test_f1,overall_test_recall,f1_delta_vs_model_overall,recall_delta_vs_model_overall,support_flag
with_billing_zip,BalancedBagging_original,original,zip_value,4000,363,28,0.07713498622589532,155,0.42699724517906334,17,138,11,197,0.18579234972677597,0.6071428571428571,0.10967741935483871,0.15004453858853514,0.45707115315567626,0.15256257449344457,0.5871559633027523,0.0332297752333314,0.01998689384010477,stable
with_billing_zip,BalancedBagging_original,original,zip_value,6000,217,7,0.03225806451612903,86,0.39631336405529954,2,84,5,126,0.043010752688172046,0.2857142857142857,0.023255813953488372,0.03778162487585296,0.459399374161202,0.15256257449344457,0.5871559633027523,-0.10955182180527252,-0.3014416775884666,stable
with_billing_zip,BalancedBagging_original,original,zip_value,4400,83,7,0.08433734939759036,41,0.4939759036144578,4,37,3,39,0.16666666666666666,0.5714285714285714,0.0975609756097561,0.1296521499317991,0.46905713029464996,0.15256257449344457,0.5871559633027523,0.014104092173222088,-0.01572739187418093,stable
with_billing_zip,BalancedBagging_original,original,zip_value,4003,79,4,0.05063291139240506,35,0.4430379746835443,3,32,1,43,0.15384615384615385,0.75,0.08571428571428572,0.06810294682389084,0.4747764120061626,0.15256257449344457,0.5871559633027523,0.0012835793527092854,0.16284403669724767,stable
with_billing_zip,BalancedBagging_original,original,zip_value,6300,71,5,0.07042253521126761,27,0.38028169014084506,3,24,2,42,0.1875,0.6,0.1111111111111111,0.18145912910618794,0.4759230311902636,0.15256257449344457,0.5871559633027523,0.03493742550655543,0.012844036697247652,stable
with_billing_zip,BalancedBagging_original,original,zip_value,4004,62,6,0.0967741935483871,23,0.3709677419354839,4,19,2,37,0.27586206896551724,0.6666666666666666,0.17391304347826086,0.3273955415499533,0.44916317092307784,0.15256257449344457,0.5871559633027523,0.12329949447207267,0.0795107033639143,stable
with_billing_zip,BalancedBagging_original,original,zip_value,4002,61,5,0.08196721311475409,27,0.4426229508196721,2,25,3,31,0.125,0.4,0.07407407407407407,0.2887463837994214,0.4754554213923959,0.15256257449344457,0.5871559633027523,-0.02756257449344457,-0.1871559633027523,stable
with_billing_zip,BalancedBagging_original,original,zip_value,6400,54,2,0.037037037037037035,24,0.4444444444444444,1,23,1,29,0.07692307692307693,0.5,0.041666666666666664,0.05163398692810457,0.4760071943782998,0.15256257449344457,0.5871559633027523,-0.07563949757036764,-0.08715596330275233,stable
with_billing_zip,BalancedBagging_original,original,zip_value,6100,50,1,0.02,14,0.28,0,14,1,35,0.0,0.0,0.0,0.037037037037037035,0.4460599085886955,0.15256257449344457,0.5871559633027523,-0.15256257449344457,-0.5871559633027523,small_support
with_billing_zip,BalancedBagging_original,original,zip_value,4230,49,1,0.02040816326530612,22,0.4489795918367347,0,22,1,26,0.0,0.0,0.0,0.025,0.4804792595414465,0.15256257449344457,0.5871559633027523,-0.15256257449344457,-0.5871559633027523,small_support
with_billing_zip,BalancedBagging_original,original,zip_value,4023,48,3,0.0625,22,0.4583333333333333,2,20,1,25,0.16,0.6666666666666666,0.09090909090909091,0.4068825910931174,0.4745349553367575,0.15256257449344457,0.5871559633027523,0.007437425506555434,0.0795107033639143,stable
with_billing_zip,BalancedBagging_original,original,zip_value,6600,46,3,0.06521739130434782,23,0.5,2,21,1,22,0.15384615384615385,0.6666666666666666,0.08695652173913043,0.10356310356310357,0.47321045835670317,0.15256257449344457,0.5871559633027523,0.0012835793527092854,0.0795107033639143,stable
with_billing_zip,BalancedBagging_original,original,zip_value,4700,30,2,0.06666666666666667,13,0.43333333333333335,2,11,0,17,0.26666666666666666,1.0,0.15384615384615385,0.1388888888888889,0.47001809780001025,0.15256257449344457,0.5871559633027523,0.1141040921732221,0.4128440366972477,stable
with_billing_zip,BalancedBagging_original,original,zip_value,6500,25,0,0.0,9,0.36,0,9,0,16,0.0,,0.0,,0.46748257491372947,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4500,23,1,0.043478260869565216,12,0.5217391304347826,0,12,1,10,0.0,0.0,0.0,0.045454545454545456,0.4853231315475671,0.15256257449344457,0.5871559633027523,-0.15256257449344457,-0.5871559633027523,small_support
with_billing_zip,BalancedBagging_original,original,zip_value,4300,22,0,0.0,4,0.18181818181818182,0,4,0,18,0.0,,0.0,,0.4302345544754011,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4600,21,2,0.09523809523809523,8,0.38095238095238093,1,7,1,12,0.2,0.5,0.125,0.19166666666666665,0.46151401008804543,0.15256257449344457,0.5871559633027523,0.04743742550655544,-0.08715596330275233,stable
with_billing_zip,BalancedBagging_original,original,zip_value,6450,19,2,0.10526315789473684,9,0.47368421052631576,2,7,0,10,0.36363636363636365,1.0,0.2222222222222222,0.41666666666666663,0.4610830624614112,0.15256257449344457,0.5871559633027523,0.21107378914291908,0.4128440366972477,small_support
with_billing_zip,BalancedBagging_original,original,zip_value,4006,13,3,0.23076923076923078,4,0.3076923076923077,2,2,1,8,0.5714285714285714,0.6666666666666666,0.5,0.37777777777777777,0.4580013775303303,0.15256257449344457,0.5871559633027523,0.4188659969351268,0.0795107033639143,small_support
with_billing_zip,BalancedBagging_original,original,zip_value,4270,12,1,0.08333333333333333,6,0.5,0,6,1,5,0.0,0.0,0.0,0.1111111111111111,0.5000082139084151,0.15256257449344457,0.5871559633027523,-0.15256257449344457,-0.5871559633027523,small_support
with_billing_zip,BalancedBagging_original,original,zip_value,4210,11,0,0.0,4,0.36363636363636365,0,4,0,7,0.0,,0.0,,0.4569417996011754,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4150,10,1,0.1,5,0.5,0,5,1,4,0.0,0.0,0.0,0.1,0.46879410460019083,0.15256257449344457,0.5871559633027523,-0.15256257449344457,-0.5871559633027523,small_support
with_billing_zip,BalancedBagging_original,original,zip_value,4550,9,0,0.0,2,0.2222222222222222,0,2,0,7,0.0,,0.0,,0.4115156694837163,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4190,7,0,0.0,3,0.42857142857142855,0,3,0,4,0.0,,0.0,,0.47570071911712963,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4001,6,1,0.16666666666666666,2,0.3333333333333333,1,1,0,4,0.6666666666666666,1.0,0.5,1.0,0.470545061691964,0.15256257449344457,0.5871559633027523,0.5141040921732221,0.4128440366972477,small_support
with_billing_zip,BalancedBagging_original,original,zip_value,4020,6,0,0.0,3,0.5,0,3,0,3,0.0,,0.0,,0.535822154216776,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4180,6,0,0.0,3,0.5,0,3,0,3,0.0,,0.0,,0.5186341841935378,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4220,6,0,0.0,3,0.5,0,3,0,3,0.0,,0.0,,0.48963931444844816,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4640,6,0,0.0,3,0.5,0,3,0,3,0.0,,0.0,,0.49718387950353216,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,6550,6,0,0.0,5,0.8333333333333334,0,5,0,1,0.0,,0.0,,0.5075851715552078,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,6800,6,0,0.0,4,0.6666666666666666,0,4,0,2,0.0,,0.0,,0.541287789301725,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4199,5,1,0.2,5,1.0,1,4,0,0,0.3333333333333333,1.0,0.2,0.2,0.5754395309016962,0.15256257449344457,0.5871559633027523,0.18077075883988875,0.4128440366972477,small_support
with_billing_zip,BalancedBagging_original,original,zip_value,4850,5,1,0.2,3,0.6,1,2,0,2,0.5,1.0,0.3333333333333333,0.3333333333333333,0.48924395366956414,0.15256257449344457,0.5871559633027523,0.34743742550655543,0.4128440366972477,small_support
with_billing_zip,BalancedBagging_original,original,zip_value,4101,5,0,0.0,3,0.6,0,3,0,2,0.0,,0.0,,0.49298759182665924,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4225,5,0,0.0,3,0.6,0,3,0,2,0.0,,0.0,,0.5378426870117023,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4330,4,1,0.25,0,0.0,0,0,1,3,0.0,0.0,,0.5,0.3525953629089103,0.15256257449344457,0.5871559633027523,-0.15256257449344457,-0.5871559633027523,small_support
with_billing_zip,BalancedBagging_original,original,zip_value,6570,4,1,0.25,2,0.5,0,2,1,1,0.0,0.0,0.0,0.25,0.5067108927636259,0.15256257449344457,0.5871559633027523,-0.15256257449344457,-0.5871559633027523,small_support
with_billing_zip,BalancedBagging_original,original,zip_value,4017,4,0,0.0,2,0.5,0,2,0,2,0.0,,0.0,,0.4619330542074482,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4137,4,0,0.0,4,1.0,0,4,0,0,0.0,,0.0,,0.5673638875374096,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4147,4,0,0.0,2,0.5,0,2,0,2,0.0,,0.0,,0.44358608004172423,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,4490,4,0,0.0,2,0.5,0,2,0,2,0.0,,0.0,,0.48696993321313375,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,6200,4,0,0.0,2,0.5,0,2,0,2,0.0,,0.0,,0.489655925298423,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
with_billing_zip,BalancedBagging_original,original,zip_value,6280,4,0,0.0,1,0.25,0,1,0,3,0.0,,0.0,,0.4254687848960449,0.15256257449344457,0.5871559633027523,-0.15256257449344457,,no_positive
