feature,coefficient,abs_coefficient,odds_ratio_per_1sd,direction,correlation_direction,mean_abs_logit_contribution,mean_logit_contribution,correlation_with_churn,abs_correlation_with_churn,coef_rank,mean_abs_contribution_rank,correlation_rank,f1_importance,baseline_f1,permuted_f1_mean,permutation_rank,rank_gap_coef_minus_permutation
AvgMobileRevenue_sqrt,1.3230249105657341,1.3230249105657341,3.7547620357284144,Churn_up,Churn_up,1.0721885177774702,0.03656629408900159,0.04140899787079001,0.04140899787079001,2,1,18,0.0770542574430224,0.1681159420289855,0.091061684585963,1.0,1.0
TotalRevenue_sqrt,1.2051812638141703,1.2051812638141703,3.3373639665654147,Churn_up,Churn_up,0.9773003578628328,0.035370360992517336,0.04022459640279485,0.04022459640279485,4,2,19,0.0658399350480653,0.1681159420289855,0.1022760069809201,2.0,2.0
revenue_engagement_interaction,-0.5116808414993476,0.5116808414993476,0.5994870887166602,Churn_down,Churn_up,0.40051836097267457,-0.019075750548382033,0.013830042323083876,0.013830042323083876,13,6,34,0.0553651376886239,0.1681159420289855,0.1127508043403615,3.0,10.0
revenue_per_subscriber,-0.6534375109977347,0.6534375109977347,0.5202543195031518,Churn_down,Churn_down,0.36249926502059415,-0.012607095287085326,-0.045046752460302264,0.045046752460302264,10,9,14,0.049796674940078,0.1681159420289855,0.1183192670889075,4.0,6.0
AvgMobileRevenue,-0.43047051783859985,0.43047051783859985,0.6502030905859258,Churn_down,Churn_up,0.3354757594020612,-0.010723855092057177,0.039094648077532095,0.039094648077532095,16,10,20,0.0454664673880729,0.1681159420289855,0.1226494746409126,5.0,11.0
ARPU_sqrt,1.0885730775134077,1.0885730775134077,2.9700330405392172,Churn_up,Churn_up,0.7343501305143922,0.015187901130462124,0.006092905072772093,0.006092905072772093,6,3,43,0.0438377254067538,0.1681159420289855,0.1242782166222316,6.0,0.0
Active_subscribers,0.37693165870575696,0.37693165870575696,1.4578046777083582,Churn_up,Churn_up,0.26772872113515395,0.011127488611003334,0.04574506128558637,0.04574506128558637,21,12,13,0.0433656657770756,0.1681159420289855,0.1247502762519098,7.0,14.0
CRM_PID_Value_Segment,0.2001211401087213,0.2001211401087213,1.2215507279854452,Churn_up,Churn_up,0.18534775165347592,0.011089777867393815,0.014661392694044774,0.014661392694044774,29,17,33,0.0430390012968227,0.1681159420289855,0.1250769407321628,8.0,21.0
CRM_PID_Value_Segment_frequency,0.6917853290195087,0.6917853290195087,1.997278150717117,Churn_up,Churn_down,0.6333993082526731,-0.019965769042283837,-0.01219389851737796,0.01219389851737796,9,4,36,0.0429407007159302,0.1681159420289855,0.1251752413130552,9.0,0.0
EffectiveSegment_frequency,-0.2768153293156386,0.2768153293156386,0.7581945004801341,Churn_down,Churn_down,0.2418884408704067,0.00814865264954169,-0.05956599060332324,0.05956599060332324,25,13,7,0.0413485066653843,0.1681159420289855,0.1267674353636011,10.0,15.0
AvgMobileRevenue_log,-0.23719508391946445,0.23719508391946445,0.7888373835173546,Churn_down,Churn_up,0.19483406471672648,-0.00742854328724974,0.04413213714991925,0.04413213714991925,26,14,15,0.0379184687563743,0.1681159420289855,0.1301974732726112,11.0,15.0
revenue_per_active_subscriber,-0.7512537394719607,0.7512537394719607,0.4717746992411825,Churn_down,Churn_up,0.3690443264669171,-0.006367582962686813,0.01770452782020574,0.01770452782020574,7,8,28,0.0370654358310544,0.1681159420289855,0.131050506197931,12.0,-5.0
Not_Active_subscribers_missing,-0.19337056063073374,0.19337056063073374,0.824176510178697,Churn_down,Churn_down,0.19340863807370076,-0.003898716944820937,-0.01111835116208809,0.01111835116208809,32,16,38,0.0367821576779597,0.1681159420289855,0.1313337843510257,13.0,19.0
TotalRevenue,-0.5525952418299402,0.5525952418299402,0.5754544273783891,Churn_down,Churn_up,0.43098747786109876,-0.014610171721317669,0.03855722096820974,0.03855722096820974,12,5,21,0.035504177880718,0.1681159420289855,0.1326117641482674,14.0,-2.0
TotalRevenue_log,-0.17470949411175568,0.17470949411175568,0.8397009234025291,Churn_down,Churn_up,0.1440332753147228,-0.005872095979474561,0.042354461925592994,0.042354461925592994,34,23,17,0.0319223899952602,0.1681159420289855,0.1361935520337252,15.0,19.0
AvgFIXRevenue_log,1.3721671258275447,1.3721671258275447,3.943888343340301,Churn_up,Churn_up,0.2997782177020018,-0.01397034169344811,0.015619339519225743,0.015619339519225743,1,11,32,,,,,
fixed_revenue_per_subscriber,-1.2394488569551307,1.2394488569551307,0.28954375399761884,Churn_down,Churn_down,0.06664666114039958,0.013121148329999612,-0.012915561401887899,0.012915561401887899,3,34,35,,,,,
AvgFIXRevenue,-1.1355523493070632,1.1355523493070632,0.32124463307066975,Churn_down,Churn_down,0.17403844934663318,-0.01742284116384025,-0.001933980479327581,0.001933980479327581,5,18,47,,,,,
fixed_to_mobile_ratio,0.6975484430403588,0.6975484430403588,2.0088219245226613,Churn_up,Churn_down,0.10086329269774172,0.04168690771524714,-0.010804127904319696,0.010804127904319696,8,26,39,,,,,
suspended_rate,-0.5573410108424071,0.5573410108424071,0.5727299236350806,Churn_down,Churn_up,0.15949383359944083,-0.0021272045035920506,0.00356300054214026,0.00356300054214026,11,19,46,,,,,
Not_Active_subscribers,-0.472131800854434,0.472131800854434,0.6236713070893115,Churn_down,Churn_up,0.1517437395589759,0.016238117284033304,0.08588026899617224,0.08588026899617224,14,21,2,,,,,
dormant_subscribers,-0.44607445950130026,0.44607445950130026,0.6401361060718538,Churn_down,Churn_up,0.14533071003039094,0.015037680632462663,0.08719080266570903,0.08719080266570903,15,22,1,,,,,
mobile_revenue_ratio,0.4138812893114856,0.4138812893114856,1.5126775452325798,Churn_up,Churn_up,0.07414161709500827,-0.004079008358193906,0.009834598228824681,0.009834598228824681,17,30,41,,,,,
fix_revenue_ratio,-0.4138812893114218,0.4138812893114218,0.6610794238016603,Churn_down,Churn_down,0.07414161709499546,-0.004079008358194728,-0.009834598228824687,0.009834598228824687,18,31,40,,,,,
revenue_balance,0.38407180623821613,0.38407180623821613,1.46825086746838,Churn_up,Churn_down,0.0590430718193321,-0.004513614680797494,-0.005741077067874926,0.005741077067874926,19,35,44,,,,,
has_dormant,-0.37946828029659335,0.37946828029659335,0.6842251284878167,Churn_down,Churn_up,0.37938669923919965,0.009244271314565122,0.01811896280407856,0.01811896280407856,20,7,25,,,,,
mobile_only,0.3615266971266554,0.3615266971266554,1.435519345714542,Churn_up,Churn_down,0.07878602330214736,0.009286780164689217,-0.01578388269838278,0.01578388269838278,22,28,30,,,,,
zero_fixed_revenue,0.3615266971266554,0.3615266971266554,1.435519345714542,Churn_up,Churn_down,0.07878602330214736,0.009286780164689217,-0.01578388269838278,0.01578388269838278,23,28,30,,,,,
Suspended_subscribers,0.335475704059038,0.335475704059038,1.3986055493361014,Churn_up,Churn_up,0.0865443272641715,0.0019777962981572922,0.019225244284878117,0.019225244284878117,24,27,24,,,,,
suspended_revenue_interaction,-0.22511858938043774,0.22511858938043774,0.7984215288304458,Churn_down,Churn_up,0.05082436853852029,0.002325514413241469,0.020423306461402946,0.020423306461402946,27,39,23,,,,,
ARPU_log,0.20383074810819518,0.20383074810819518,1.2260906177372233,Churn_up,Churn_down,0.15476549499985076,0.0032317371596232523,-0.004897131947129324,0.004897131947129324,28,20,45,,,,,
mobile_revenue_per_subscriber,-0.19717863383089088,0.19717863383089088,0.8210439539852727,Churn_down,Churn_down,0.11782859068862325,-0.005020044255435561,-0.0436395114494896,0.0436395114494896,30,24,16,,,,,
has_inactive,0.19337056063080055,0.19337056063080055,1.2133323234160702,Churn_up,Churn_up,0.1934086380737676,-0.003898716944822275,0.01111835116208811,0.01111835116208811,31,15,37,,,,,
inactive_revenue_interaction,-0.18046398935969135,0.18046398935969135,0.8348827448178496,Churn_down,Churn_up,0.11376988786742409,0.0031643902049756614,0.06933353767136587,0.06933353767136587,33,25,4,,,,,
has_suspended,0.13619559002364015,0.13619559002364015,1.1459059994592353,Churn_up,Churn_up,0.05430782263999887,-0.00021845117546102878,0.017891627242326635,0.017891627242326635,35,36,26,,,,,
Suspended_subscribers_missing,-0.13619559002363887,0.13619559002363887,0.8726719298720065,Churn_down,Churn_down,0.054307822639998345,-0.0002184511754610126,-0.01789162724232663,0.01789162724232663,36,37,27,,,,,
ARPU,-0.10508170453039958,0.10508170453039958,0.9002509649989755,Churn_down,Churn_up,0.053962619313993675,-0.0012134710095531819,0.016466294455098694,0.016466294455098694,37,38,29,,,,,
inactive_rate,0.09230546477967187,0.09230546477967187,1.096699774075048,Churn_up,Churn_up,0.07371043592586672,-0.001547860942899103,0.05656293117232097,0.05656293117232097,38,32,8,,,,,
Total_SUBs,-0.08800497425991619,0.08800497425991619,0.9157563215020331,Churn_down,Churn_up,0.04954135339776225,0.0005287294845361181,0.08377086241823152,0.08377086241823152,39,40,3,,,,,
EffectiveSegment,-0.08747560284146004,0.08747560284146004,0.9162412250606253,Churn_down,Churn_up,0.06955678166599114,-0.001875660656883479,0.05216385881054822,0.05216385881054822,40,33,12,,,,,
ARPU_missing,-0.057450901040484496,0.057450901040484496,0.9441682469269156,Churn_down,Churn_up,0.0006994255440360618,0.0006994255440360618,0.0,0.0,41,48,49,,,,,
AvgFIXRevenue_sqrt,0.03599486003560858,0.03599486003560858,1.0366505181304804,Churn_up,Churn_up,0.007413574755888197,4.8743144046983316e-05,0.008838231812036999,0.008838231812036999,42,46,42,,,,,
arpu_risk_interaction,0.03434914336396087,0.03434914336396087,1.0349458881438474,Churn_up,Churn_up,0.012914313875727959,-0.00021638708679296126,0.06755269601613355,0.06755269601613355,43,42,6,,,,,
large_account,-0.026723063813008652,0.026723063813008652,0.9736308378038895,Churn_down,Churn_up,0.02540644456480997,0.00042591849013587564,0.0680494840228071,0.0680494840228071,44,41,5,,,,,
multi_subscriber,-0.02263098987615179,0.02263098987615179,0.9776231700678008,Churn_down,Churn_up,0.0057811328757245645,-5.3773391087090225e-05,0.03412299602986406,0.03412299602986406,45,47,22,,,,,
risk_score,-0.011341663383070322,0.011341663383070322,0.9887224108163035,Churn_down,Churn_up,0.00907515504880948,0.00017981361717678355,0.056486481439016106,0.056486481439016106,46,43,9,,,,,
dormant_rate,-0.01134166338306724,0.01134166338306724,0.9887224108163065,Churn_down,Churn_up,0.009075155048807014,0.00017981361717673498,0.056486481439016106,0.056486481439016106,47,44,9,,,,,
active_rate,0.01134166338305881,0.01134166338305881,1.0114062238908634,Churn_up,Churn_down,0.009075155048800269,0.00017981361717660178,-0.056486481439016106,0.056486481439016106,48,45,9,,,,,
fixed_only,-0.002528002387946045,0.002528002387946045,0.9974751903191337,Churn_down,Churn_up,3.077670521246736e-05,3.077670521246736e-05,0.0,0.0,49,50,49,,,,,
zero_mobile_revenue,-0.002528002387946045,0.002528002387946045,0.9974751903191337,Churn_down,Churn_up,3.077670521246736e-05,3.077670521246736e-05,0.0,0.0,50,50,49,,,,,
mobile_to_fixed_ratio,0.001905169764482432,0.001905169764482432,1.0019069857534708,Churn_up,Churn_down,9.09320800872162e-05,-4.1387136299922055e-05,-0.0007521292345803344,0.0007521292345803344,51,49,48,,,,,
revenue_zero,0.0,0.0,1.0,Churn_up,Churn_up,0.0,0.0,0.0,0.0,52,52,49,,,,,
