bin,bin_low,bin_high,count,mean_score,observed_rate,abs_gap,case_label,model,calibration_method
0,0.0,0.1,90,0.03884020207074494,0.07777777777777778,0.03893757570703284,LR_no_zip_f1,LogisticRegression_SMOTE,raw
1,0.1,0.2,64,0.14908424130234108,0.015625,0.13345924130234108,LR_no_zip_f1,LogisticRegression_SMOTE,raw
2,0.2,0.30000000000000004,508,0.2620008154240395,0.045275590551181105,0.21672522487285842,LR_no_zip_f1,LogisticRegression_SMOTE,raw
3,0.30000000000000004,0.4,521,0.34528560338517095,0.07485604606525911,0.2704295573199118,LR_no_zip_f1,LogisticRegression_SMOTE,raw
4,0.4,0.5,264,0.44217353018209893,0.04924242424242424,0.3929311059396747,LR_no_zip_f1,LogisticRegression_SMOTE,raw
5,0.5,0.6000000000000001,161,0.5435124405425432,0.11180124223602485,0.4317111983065184,LR_no_zip_f1,LogisticRegression_SMOTE,raw
6,0.6000000000000001,0.7000000000000001,59,0.6332580767822732,0.1016949152542373,0.5315631615280358,LR_no_zip_f1,LogisticRegression_SMOTE,raw
7,0.7000000000000001,0.8,14,0.7497401484041378,0.14285714285714285,0.6068830055469949,LR_no_zip_f1,LogisticRegression_SMOTE,raw
8,0.8,0.9,6,0.8350233240373148,0.0,0.8350233240373148,LR_no_zip_f1,LogisticRegression_SMOTE,raw
9,0.9,1.0,1,0.9874451730655062,0.0,0.9874451730655062,LR_no_zip_f1,LogisticRegression_SMOTE,raw
0,0.0,0.1,1631,0.060217775205040694,0.06253832004904966,0.0023205448440089677,LR_no_zip_f1,LogisticRegression_SMOTE,isotonic
1,0.1,0.2,0,,,,LR_no_zip_f1,LogisticRegression_SMOTE,isotonic
2,0.2,0.30000000000000004,57,0.21052631578947367,0.12280701754385964,0.08771929824561403,LR_no_zip_f1,LogisticRegression_SMOTE,isotonic
3,0.30000000000000004,0.4,0,,,,LR_no_zip_f1,LogisticRegression_SMOTE,isotonic
4,0.4,0.5,0,,,,LR_no_zip_f1,LogisticRegression_SMOTE,isotonic
5,0.5,0.6000000000000001,0,,,,LR_no_zip_f1,LogisticRegression_SMOTE,isotonic
6,0.6000000000000001,0.7000000000000001,0,,,,LR_no_zip_f1,LogisticRegression_SMOTE,isotonic
7,0.7000000000000001,0.8,0,,,,LR_no_zip_f1,LogisticRegression_SMOTE,isotonic
8,0.8,0.9,0,,,,LR_no_zip_f1,LogisticRegression_SMOTE,isotonic
9,0.9,1.0,0,,,,LR_no_zip_f1,LogisticRegression_SMOTE,isotonic
0,0.0,0.1,1654,0.06434621659568313,0.06469165659008465,0.0003454399944015224,LR_no_zip_f1,LogisticRegression_SMOTE,platt
