case_label,variant,model,calibration_method,brier_score,ece_10bin,log_loss,roc_auc,pr_auc,mean_score,observed_churn_rate
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,raw,0.15566381815665342,0.2856229120122002,0.49758407101828567,0.571119800593803,0.08506783869597798,0.3460442605742464,0.06457345971563981
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,isotonic,0.06051759582411052,0.0052042705216698015,0.24517455527921908,0.5643625334812998,0.08342761146663391,0.06529335981008375,0.06457345971563981
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,platt,0.06020808250042538,0.0014296075550768435,0.23786837199237595,0.571119800593803,0.08506783869597798,0.06532610311107198,0.06457345971563981
BalancedBagging_with_zip,with_billing_zip,BalancedBagging_original,raw,0.22850619194519084,0.4022014289072895,0.6484819908651529,0.5627269610890646,0.09616689754917693,0.4667748886229293,0.06457345971563981
BalancedBagging_with_zip,with_billing_zip,BalancedBagging_original,isotonic,0.06034923173815704,0.010704924523170782,0.23940011742880563,0.5575442592280563,0.0757569377525909,0.06498813423135803,0.06457345971563981
BalancedBagging_with_zip,with_billing_zip,BalancedBagging_original,platt,0.06022664058303112,0.0002525490572317657,0.2379978021314457,0.5627269610890646,0.09616689754917693,0.06482600877287158,0.06457345971563981
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,raw,0.19850418999458044,0.3501195560060689,0.5826342982956785,0.5422024158827734,0.0827913922158908,0.4136151170029992,0.06457345971563981
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,isotonic,0.060640991262281424,0.00035691535841585187,0.2644945142068414,0.5397621302531506,0.07528971486985168,0.06493037507405566,0.06457345971563981
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,platt,0.06034555894478063,7.517673526448443e-05,0.23895518986978984,0.5422024158827734,0.0827913922158908,0.0646486364509043,0.06457345971563981
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,raw,0.28417985711542176,0.40585730850538765,0.7929022627285374,0.5439512872506697,0.07371155999703595,0.4688952611028261,0.06457345971563981
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,isotonic,0.060507451936931085,0.0017214708865366827,0.25139097074987726,0.5180145371301079,0.0685022568863835,0.06419665528828608,0.06457345971563981
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,platt,0.06033993804795326,3.2599320744508553e-06,0.23883069120421785,0.5439512872506697,0.07371155999703595,0.06457671964771426,0.06457345971563981
