case_label,variant,model,CRM_segment_bucket,rows,positives,churn_rate,tp,fp,fn,tn,recall,precision,f1,pr_auc,net_benefit
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,high_value,404,28,0.06930693069306931,9,93,19,283,0.32142857142857145,0.08823529411764706,0.13846153846153847,0.06872394269566919,18000.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,low_value,784,47,0.05994897959183673,4,36,43,701,0.0851063829787234,0.1,0.09195402298850575,0.08590288156351573,8640.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,mid_value,500,34,0.068,16,78,18,388,0.47058823529411764,0.1702127659574468,0.25,0.1394134466193919,42480.0
LR_with_zip_recall_constraint,with_billing_zip,LogisticRegression_SMOTE,high_value,404,28,0.06930693069306931,11,168,17,208,0.39285714285714285,0.061452513966480445,0.10628019323671498,0.060373086904534704,15480.0
LR_with_zip_recall_constraint,with_billing_zip,LogisticRegression_SMOTE,low_value,784,47,0.05994897959183673,4,33,43,704,0.0851063829787234,0.10810810810810811,0.09523809523809523,0.08613992880739156,9000.0
LR_with_zip_recall_constraint,with_billing_zip,LogisticRegression_SMOTE,mid_value,500,34,0.068,18,95,16,371,0.5294117647058824,0.1592920353982301,0.24489795918367346,0.15642608645992728,46920.0
BalancedBagging_with_zip,with_billing_zip,BalancedBagging_original,high_value,404,28,0.06930693069306931,22,314,6,62,0.7857142857142857,0.06547619047619048,0.12087912087912088,0.08236625757232385,33600.0
BalancedBagging_with_zip,with_billing_zip,BalancedBagging_original,low_value,784,47,0.05994897959183673,13,79,34,658,0.2765957446808511,0.14130434782608695,0.18705035971223022,0.09530213574251825,32640.0
BalancedBagging_with_zip,with_billing_zip,BalancedBagging_original,mid_value,500,34,0.068,29,273,5,193,0.8529411764705882,0.09602649006622517,0.17261904761904762,0.1307382693148579,61200.0
BalancedBagging_no_zip,without_billing_zip,BalancedBagging_original,high_value,404,28,0.06930693069306931,24,352,4,24,0.8571428571428571,0.06382978723404255,0.1188118811881188,0.07856191123359291,35520.0
BalancedBagging_no_zip,without_billing_zip,BalancedBagging_original,low_value,784,47,0.05994897959183673,21,215,26,522,0.44680851063829785,0.08898305084745763,0.14840989399293286,0.0797419743510766,42240.0
BalancedBagging_no_zip,without_billing_zip,BalancedBagging_original,mid_value,500,34,0.068,32,385,2,81,0.9411764705882353,0.07673860911270983,0.1419068736141907,0.11732742314766548,57480.0
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,high_value,404,28,0.06930693069306931,24,352,4,24,0.8571428571428571,0.06382978723404255,0.1188118811881188,0.08139051293631624,35520.0
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,low_value,784,47,0.05994897959183673,10,113,37,624,0.2127659574468085,0.08130081300813008,0.11764705882352941,0.09920317813867752,18840.0
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,mid_value,500,34,0.068,30,359,4,107,0.8823529411764706,0.07712082262210797,0.14184397163120568,0.13084434982590515,54120.0
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,high_value,404,28,0.06930693069306931,20,326,8,50,0.7142857142857143,0.057803468208092484,0.10695187165775401,0.07835871483268919,25680.0
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,low_value,784,47,0.05994897959183673,38,464,9,273,0.8085106382978723,0.07569721115537849,0.1384335154826958,0.09261121523140561,67440.0
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,mid_value,500,34,0.068,33,399,1,67,0.9705882352941176,0.0763888888888889,0.14163090128755365,0.10292459014068003,59040.0
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,high_value,404,28,0.06930693069306931,20,315,8,61,0.7142857142857143,0.05970149253731343,0.11019283746556474,0.13946298739815338,27000.0
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,low_value,784,47,0.05994897959183673,36,435,11,302,0.7659574468085106,0.07643312101910828,0.138996138996139,0.08892261838215014,64440.0
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,mid_value,500,34,0.068,31,375,3,91,0.9117647058823529,0.07635467980295567,0.1409090909090909,0.1322297076280427,55440.0
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,high_value,404,28,0.06930693069306931,24,346,4,30,0.8571428571428571,0.06486486486486487,0.12060301507537688,0.0826796488303921,36240.0
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,low_value,784,47,0.05994897959183673,43,647,4,90,0.9148936170212766,0.06231884057971015,0.11668928086838534,0.0740032141784023,61680.0
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,mid_value,500,34,0.068,34,409,0,57,1.0,0.07674943566591422,0.14255765199161424,0.11099420323998886,61080.0
