case_label,variant,model,topk_pct,contacts,tp,fp,fn,tn,recall_at_k,precision_at_k,lift_vs_random,net_benefit,paper_multiple
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,0.05,84,9,75,100,1504,0.08256880733944955,0.10714285714285714,1.659239842726081,20160.0,0.27169811320754716
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,0.1,169,23,146,86,1433,0.21100917431192662,0.13609467455621302,2.107594593127409,57000.0,0.7681940700808625
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,0.15,253,29,224,80,1355,0.26605504587155965,0.11462450592885376,1.7751024404394968,67080.0,0.9040431266846362
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,0.2,338,32,306,77,1273,0.29357798165137616,0.09467455621301775,1.4661527604364584,66960.0,0.9024258760107817
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,0.25,422,38,384,71,1195,0.3486238532110092,0.09004739336492891,1.3944954128440368,77040.0,1.0382749326145553
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,0.3,506,40,466,69,1113,0.3669724770642202,0.07905138339920949,1.224208579613446,73680.0,0.9929919137466308
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,0.4,675,51,624,58,955,0.46788990825688076,0.07555555555555556,1.170071355759429,90360.0,1.217789757412399
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,0.5,844,63,781,46,798,0.5779816513761468,0.07464454976303317,1.1559633027522935,110400.0,1.4878706199460916
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,0.75,1266,91,1175,18,404,0.8348623853211009,0.07187993680884676,1.1131498470948011,153840.0,2.0733153638814015
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,1.0,1688,109,1579,0,0,1.0,0.06457345971563981,1.0,163680.0,2.2059299191374664
LR_with_zip_recall_constraint,with_billing_zip,LogisticRegression_SMOTE,0.05,84,4,80,105,1499,0.03669724770642202,0.047619047619047616,0.7374399301004805,3360.0,0.045283018867924525
