experiment,fold,variant,model,train_kind,use_billing_zip,threshold,train_rows,valid_rows,valid_positives,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn
tuned_candidate_cv_default_threshold,1,with_billing_zip,BalancedBagging_original,original,True,0.5,6748,1688,109,0.16397228637413394,0.6513761467889908,0.09379128137384413,0.5710900473933649,0.6084619809309109,0.6243645089506191,0.1048360448469125,0.10719858713642152,71,686,38,893
tuned_candidate_cv_default_threshold,1,with_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,True,0.5,6748,1688,109,0.158311345646438,0.5504587155963303,0.09244992295839753,0.6220379146919431,0.5887189081464869,0.6203961397005422,0.1024692823890441,0.08964382432114114,60,589,49,990
tuned_candidate_cv_default_threshold,1,without_billing_zip,LogisticRegression_SMOTE,resampled,False,0.5,6748,1688,109,0.14074074074074075,0.1743119266055046,0.11801242236024845,0.8625592417061612,0.5421907954750133,0.5801343319137069,0.08996925427146762,0.07060241666148499,19,142,90,1437
tuned_candidate_cv_default_threshold,1,with_billing_zip,EasyEnsemble_original,original,True,0.5,6748,1688,109,0.16240266963292546,0.6697247706422018,0.09240506329113925,0.5539099526066351,0.6078199534021649,0.6278390108708914,0.09994731431956924,0.10621399287314084,73,717,36,862
tuned_candidate_cv_default_threshold,2,with_billing_zip,BalancedBagging_original,original,True,0.5,6749,1687,109,0.14565826330532214,0.47706422018348627,0.0859504132231405,0.6384113811499703,0.5633103103452286,0.5936413530075232,0.08617155631811063,0.06490525623581858,52,553,57,1025
tuned_candidate_cv_default_threshold,2,with_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,True,0.5,6749,1687,109,0.15429403202328967,0.48623853211009177,0.09169550173010381,0.6556016597510373,0.5767694561691143,0.5975831676375857,0.08732889749820132,0.07953449280151187,53,525,56,1053
tuned_candidate_cv_default_threshold,2,without_billing_zip,LogisticRegression_SMOTE,resampled,False,0.5,6749,1687,109,0.1282051282051282,0.1834862385321101,0.09852216748768473,0.8387670420865442,0.5337583283915304,0.5553452866827129,0.07530515981412977,0.051016740554288335,20,183,89,1395
tuned_candidate_cv_default_threshold,2,with_billing_zip,EasyEnsemble_original,original,True,0.5,6749,1687,109,0.1430274135876043,0.5504587155963303,0.0821917808219178,0.5737996443390634,0.562935314705643,0.5876501436029813,0.086545924523622,0.06245594060309852,60,670,49,908
tuned_candidate_cv_default_threshold,3,with_billing_zip,BalancedBagging_original,original,True,0.5,6749,1687,109,0.13237063778580024,0.5045871559633027,0.07617728531855955,0.5726141078838174,0.5409501052313346,0.5623684608318509,0.08954812541271857,0.040692981477547706,55,667,54,911
tuned_candidate_cv_default_threshold,3,with_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,True,0.5,6749,1687,109,0.11813186813186813,0.3944954128440367,0.06946688206785137,0.6194427978660344,0.5147382007185963,0.5573685189707096,0.07960622762674832,0.01503523637020561,43,576,66,1002
tuned_candidate_cv_default_threshold,3,without_billing_zip,LogisticRegression_SMOTE,resampled,False,0.5,6749,1687,109,0.11912225705329153,0.1743119266055046,0.09047619047619047,0.8334321280379372,0.5266363181823467,0.5911820792781479,0.08754982516211224,0.03967080772826813,19,191,90,1387
tuned_candidate_cv_default_threshold,3,with_billing_zip,EasyEnsemble_original,original,True,0.5,6749,1687,109,0.13063063063063063,0.5321100917431193,0.07445442875481387,0.5423829282750444,0.537601306961547,0.5615254473785188,0.08673216542961462,0.03708412459518189,58,721,51,857
tuned_candidate_cv_default_threshold,4,with_billing_zip,BalancedBagging_original,original,True,0.5,6749,1687,109,0.14987080103359174,0.5321100917431193,0.08721804511278196,0.6099585062240664,0.5737229799653493,0.5809583609492913,0.09146174954635233,0.07417599063068223,58,607,51,971
tuned_candidate_cv_default_threshold,4,with_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,True,0.5,6749,1687,109,0.15967523680649526,0.5412844036697247,0.09365079365079365,0.6318909306461173,0.5897169800351159,0.5797490726852014,0.10065801634478085,0.091193444950103,59,571,50,1007
tuned_candidate_cv_default_threshold,4,without_billing_zip,LogisticRegression_SMOTE,resampled,False,0.5,6749,1687,109,0.15172413793103448,0.2018348623853211,0.12154696132596685,0.8541790160047421,0.5505372030557785,0.6039203032522878,0.10220035762612983,0.08028902300488282,22,159,87,1419
