fold,objective,case_label,variant,model,train_kind,preprocess,valid_rows,valid_positives,threshold,f1,f2,recall,precision,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn,contact_rate,net_value
1,F1_MCC,F1_BalancedBagging_tuned,with_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,encoded,1688,109,0.51,0.16115107913669063,0.273972602739726,0.5137614678899083,0.09556313993174062,0.58905299486959,0.6203961397005422,0.1024692823890441,0.0919482004276864,56,530,53,1049,0.3471563981042654,117840.0
1,Recall,Recall_HistGradientBoosting,with_billing_zip,HistGradientBoosting_balanced_lr0.03,original,encoded,1688,109,0.19,0.12384716732542819,0.25474254742547425,0.8623853211009175,0.0667139815471966,0.5147898739766779,0.5168118249269367,0.08647855992360802,0.019572269397813626,94,1315,15,264,0.8347156398104265,146760.0
1,Recall_XGBoost,Recall_XGBoost_weighted_no_zip,without_billing_zip,XGBoost_weighted_depth3_lr0.06_n200_spw14.5,original,encoded,1688,109,0.3,0.12173913043478261,0.24972557628979145,0.8348623853211009,0.06565656565656566,0.5073615283160287,0.5544183695405871,0.08542136044719449,0.009440982876950206,91,1295,18,284,0.8210900473933649,139440.0
1,Recall_operating,Recall_CatBoost_balanced,with_billing_zip,CatBoost_original_balanced,original,encoded,1688,109,0.34,0.1251908396946565,0.25045815516188147,0.7522935779816514,0.06827643630308076,0.5218086002637833,0.5555019725642173,0.0865606815856858,0.023660619833426554,82,1119,27,460,0.7114928909952607,131400.0
1,Cost,Cost_CatBoost_native,with_billing_zip,CatBoost_native_categorical,native_categorical,native,1688,109,0.35,0.12247838616714697,0.2478134110787172,0.7798165137614679,0.06645817044566067,0.5118208597939702,0.5361104171145366,0.0809272532634722,0.013560835557935191,85,1194,24,385,0.7577014218009479,132120.0
1,F2,F2_BalancedBagging_original,with_billing_zip,BalancedBagging_original,original,encoded,1688,109,0.5,0.16397228637413394,0.297569153394803,0.6513761467889908,0.09379128137384413,0.6084619809309109,0.6243645089506191,0.1048360448469125,0.10719858713642152,71,686,38,893,0.4484597156398104,147720.0
1,Precision,Precision_LR_SMOTE_C0.1,with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,encoded,1688,109,0.51,0.14457831325301204,0.15625,0.1651376146788991,0.12857142857142856,0.5439367617409695,0.5918912794649965,0.09257141932270463,0.07830921287946656,18,122,91,1457,0.08293838862559241,43680.0
1,Small_campaign,SmallCampaign_LR_SMOTE,with_billing_zip,LogisticRegression_SMOTE,resampled,encoded,1688,109,0.46,0.1585677749360614,0.21587743732590528,0.28440366972477066,0.1099290780141844,0.5627211508851846,0.5892069652724115,0.09237766229652075,0.08264776503596197,31,251,78,1328,0.1670616113744076,70320.0
2,F1_MCC,F1_BalancedBagging_tuned,with_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,encoded,1687,109,0.51,0.15479876160990713,0.2569373072970195,0.45871559633027525,0.0931098696461825,0.5750485459471402,0.5975831676375857,0.08732889749820132,0.07921418591590285,50,487,59,1091,0.31831653823355066,103560.0
2,Recall,Recall_HistGradientBoosting,with_billing_zip,HistGradientBoosting_balanced_lr0.03,original,encoded,1687,109,0.19,0.13000656598818122,0.26756756756756755,0.908256880733945,0.07001414427157002,0.5374617737003058,0.5386914105649935,0.07461316611711288,0.05001255613650983,99,1315,10,263,0.8381742738589212,162960.0
