case_label,top_fraction,selected_count,tp,fp,fn_remaining,precision_at_k,recall_at_k,net_value,captured_total_revenue,individualized_net_proxy
Cost_CatBoost_native,0.1,169,15,154,94,0.08875739644970414,0.13761467889908258,30120.0,4328.65,-15882.810000000001
Cost_CatBoost_native,0.2,338,26,312,83,0.07692307692307693,0.23853211009174313,46800.0,6252.3,-33688.62
Cost_CatBoost_native,0.3,506,41,465,68,0.08102766798418973,0.3761467889908257,77040.0,8531.97,-50680.818
Cost_CatBoost_native,0.4,675,53,622,56,0.07851851851851852,0.48623853211009177,97080.0,10236.310000000001,-68498.21399999999
Cost_CatBoost_native,0.5,844,65,779,44,0.07701421800947868,0.5963302752293578,117120.0,12085.140000000001,-86228.916
Cost_CatBoost_native,0.75,1266,91,1175,18,0.07187993680884676,0.8348623853211009,153840.0,15179.14,-131892.516
F1_BalancedBagging_tuned,0.1,169,16,153,93,0.09467455621301775,0.14678899082568808,33480.0,5066.98,-15319.812
F1_BalancedBagging_tuned,0.2,338,30,308,79,0.08875739644970414,0.27522935779816515,60240.0,7528.65,-32442.81
F1_BalancedBagging_tuned,0.3,506,45,461,64,0.08893280632411067,0.41284403669724773,90480.0,9714.82,-49491.108
F1_BalancedBagging_tuned,0.4,675,59,616,50,0.0874074074074074,0.5412844036697247,117240.0,12514.5,-66411.3
F1_BalancedBagging_tuned,0.5,844,67,777,42,0.07938388625592417,0.6146788990825688,123840.0,14198.84,-84720.696
F1_BalancedBagging_tuned,0.75,1266,90,1176,19,0.07109004739336493,0.8256880733944955,150480.0,16614.159999999996,-131151.50400000002
F2_BalancedBagging_original,0.1,169,16,153,93,0.09467455621301775,0.14678899082568808,33480.0,4231.83,-15820.902
F2_BalancedBagging_original,0.2,338,32,306,77,0.09467455621301775,0.29357798165137616,66960.0,7760.469999999999,-32063.718
F2_BalancedBagging_original,0.3,506,43,463,66,0.08498023715415019,0.3944954128440367,83760.0,10276.99,-49393.806
F2_BalancedBagging_original,0.4,675,61,614,48,0.09037037037037036,0.5596330275229358,123960.0,13221.33,-65747.202
F2_BalancedBagging_original,0.5,844,66,778,43,0.07819905213270142,0.6055045871559633,120480.0,14250.5,-84809.7
F2_BalancedBagging_original,0.75,1266,88,1178,21,0.06951026856240126,0.8073394495412844,143760.0,16521.48,-131447.112
Precision_LR_SMOTE_C0.1,0.1,169,15,154,94,0.08875739644970414,0.13761467889908258,30120.0,4597.16,-15721.704
Precision_LR_SMOTE_C0.1,0.2,338,33,305,76,0.09763313609467456,0.30275229357798167,70320.0,8295.99,-31622.406
Precision_LR_SMOTE_C0.1,0.3,506,41,465,68,0.08102766798418973,0.3761467889908257,77040.0,9859.65,-49884.21
Precision_LR_SMOTE_C0.1,0.4,675,54,621,55,0.08,0.4954128440366973,100440.0,11771.81,-67456.914
Precision_LR_SMOTE_C0.1,0.5,844,68,776,41,0.08056872037914692,0.6238532110091743,127200.0,13634.99,-84939.006
Precision_LR_SMOTE_C0.1,0.75,1266,92,1174,17,0.07266982622432859,0.8440366972477065,157200.0,15861.65,-131363.01
Recall_CatBoost_balanced,0.1,169,17,152,92,0.10059171597633136,0.1559633027522936,36840.0,4363.139999999999,-15622.116
Recall_CatBoost_balanced,0.2,338,29,309,80,0.08579881656804733,0.26605504587155965,56880.0,6512.47,-33172.518
Recall_CatBoost_balanced,0.3,506,41,465,68,0.08102766798418973,0.3761467889908257,77040.0,8552.97,-50668.218
Recall_CatBoost_balanced,0.4,675,54,621,55,0.08,0.4954128440366973,100440.0,10292.63,-68344.422
Recall_CatBoost_balanced,0.5,844,66,778,43,0.07819905213270142,0.6055045871559633,120480.0,11824.470000000001,-86265.318
Recall_CatBoost_balanced,0.75,1266,90,1176,19,0.07109004739336493,0.8256880733944955,150480.0,15124.300000000001,-132045.42
Recall_HistGradientBoosting,0.1,169,15,154,94,0.08875739644970414,0.13761467889908258,30120.0,3821.66,-16187.004
Recall_HistGradientBoosting,0.2,338,27,311,82,0.07988165680473373,0.24770642201834864,50160.0,5540.32,-33995.808
Recall_HistGradientBoosting,0.3,506,37,469,72,0.07312252964426877,0.3394495412844037,63600.0,7263.65,-51921.81
Recall_HistGradientBoosting,0.4,675,46,629,63,0.06814814814814815,0.42201834862385323,73560.0,8580.82,-70331.508
Recall_HistGradientBoosting,0.5,844,58,786,51,0.06872037914691943,0.5321100917431193,93600.0,10705.31,-87896.814
Recall_HistGradientBoosting,0.75,1266,88,1178,21,0.06951026856240126,0.8073394495412844,143760.0,14726.14,-132524.316
