variant,family,model_name,train_kind,threshold,f1,f2,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn,predicted_positive_rate
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.01,0.12158393753485779,0.25707547169811323,1.0,0.06472684085510688,0.06639004149377593,0.5009505703422054,0.5841240218136998,0.10114705953618708,0.011093008181869195,109,1575,0,3,0.998221695317131
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.02,0.12165178571428571,0.25719679093912223,1.0,0.0647653000594177,0.06698280972139893,0.5012674271229405,0.5841240218136998,0.10114705953618708,0.012812907392210521,109,1574,0,4,0.997628927089508
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.03,0.12165178571428571,0.25719679093912223,1.0,0.0647653000594177,0.06698280972139893,0.5012674271229405,0.5841240218136998,0.10114705953618708,0.012812907392210521,109,1574,0,4,0.997628927089508
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.04,0.12171970965940815,0.25731822474032107,1.0,0.06480380499405469,0.06757557794902193,0.5015842839036755,0.5841240218136998,0.10114705953618708,0.014329523728931773,109,1573,0,5,0.997036158861885
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.05,0.12171970965940815,0.25731822474032107,1.0,0.06480380499405469,0.06757557794902193,0.5015842839036755,0.5841240218136998,0.10114705953618708,0.014329523728931773,109,1573,0,5,0.997036158861885
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.06,0.1217877094972067,0.25743977326405293,1.0,0.06484235574063058,0.06816834617664493,0.5019011406844106,0.5841240218136998,0.10114705953618708,0.015701875083666984,109,1572,0,6,0.996443390634262
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.07,0.12080536912751678,0.2553191489361702,0.9908256880733946,0.06432400238237046,0.06816834617664493,0.497630841501843,0.5841240218136998,0.10114705953618708,-0.016955887201203057,108,1571,1,7,0.995257854179016
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.08,0.12080536912751678,0.2553191489361702,0.9908256880733946,0.06432400238237046,0.06816834617664493,0.497630841501843,0.5841240218136998,0.10114705953618708,-0.016955887201203057,108,1571,1,7,0.995257854179016
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.09,0.1208729714605484,0.2554399243140965,0.9908256880733946,0.06436233611442194,0.06876111440426794,0.4979476982825781,0.5841240218136998,0.10114705953618708,-0.013852262718637322,108,1570,1,8,0.994665085951393
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.1,0.12094064949608063,0.2555608140085187,0.9908256880733946,0.06440071556350627,0.06935388263189093,0.49826455506331324,0.5841240218136998,0.10114705953618708,-0.011115808375910917,108,1569,1,9,0.99407231772377
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.11,0.12094064949608063,0.2555608140085187,0.9908256880733946,0.06440071556350627,0.06935388263189093,0.49826455506331324,0.5841240218136998,0.10114705953618708,-0.011115808375910917,108,1569,1,9,0.99407231772377
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.12,0.12128017967434025,0.25616698292220114,0.9908256880733946,0.0645933014354067,0.07231772377000593,0.4998488389669888,0.5841240218136998,0.10114705953618708,-0.0007917222115955239,108,1564,1,14,0.991108476585655
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.13,0.12141652613827993,0.2564102564102564,0.9908256880733946,0.06467065868263473,0.07350326022525193,0.500482552528459,0.5841240218136998,0.10114705953618708,0.0023755197384508478,108,1562,1,16,0.989922940130409
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.14,0.12162162162162163,0.25677603423680456,0.9908256880733946,0.0647870425914817,0.07528156490812092,0.5014331228706643,0.5841240218136998,0.10114705953618708,0.006510245606325378,108,1559,1,19,0.98814463544754
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.15,0.12069937958262832,0.25476190476190474,0.981651376146789,0.06430288461538461,0.07587433313574392,0.49747968046883173,0.5841240218136998,0.10114705953618708,-0.010685916347695648,107,1557,2,21,0.9863663307646711
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.16,0.12097230073487847,0.25524809160305345,0.981651376146789,0.06445783132530121,0.07824540604623592,0.4987471075917722,0.5841240218136998,0.10114705953618708,-0.0049087916100835375,107,1553,2,25,0.983995257854179
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.17,0.12024957458876914,0.2535885167464115,0.9724770642201835,0.06408706166868199,0.08061647895672792,0.49574423553214503,0.5841240218136998,0.10114705953618708,-0.01510948304854278,106,1548,3,30,0.980438648488441
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.18,0.12038614423622941,0.25383141762452105,0.9724770642201835,0.06416464891041163,0.08180201541197392,0.4963779490936152,0.5841240218136998,0.10114705953618708,-0.01249430922602251,106,1546,3,32,0.979253112033195
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.19,0.12066021627774616,0.2543186180422265,0.9724770642201835,0.06432038834951456,0.08417308832246592,0.49764537621655563,0.5841240218136998,0.10114705953618708,-0.007703841931225308,106,1542,3,36,0.976882039122703
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.2,0.12121212121212122,0.25529865125240847,0.9724770642201835,0.06463414634146342,0.08891523414344991,0.5001802304624365,0.5841240218136998,0.10114705953618708,0.0005384607950361081,106,1534,3,44,0.972139893301719
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.21,0.12162937464142283,0.2560386473429952,0.9724770642201835,0.06487148102815178,0.09247184350918791,0.5020813711468471,0.5841240218136998,0.10114705953618708,0.005866543739365747,106,1528,3,50,0.968583283935981
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.22,0.12176909821941413,0.2562862669245648,0.9724770642201835,0.06495098039215687,0.0936573799644339,0.5027150847083174,0.5841240218136998,0.10114705953618708,0.007516898843057868,106,1526,3,52,0.967397747480735
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.23,0.12183908045977011,0.2564102564102564,0.9724770642201835,0.06499080318822809,0.0942501481920569,0.5030319414890525,0.5841240218136998,0.10114705953618708,0.008321403208558866,106,1525,3,53,0.966804979253112
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.24,0.12204951065054692,0.2567829457364341,0.9724770642201835,0.06511056511056511,0.09602845287492591,0.5039825118312578,0.5841240218136998,0.10114705953618708,0.010658611007380546,106,1522,3,56,0.965026674570243
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.25,0.12219020172910663,0.25703200775945684,0.9724770642201835,0.06519065190651907,0.0972139893301719,0.504616225392728,0.5841240218136998,0.10114705953618708,0.012157899848944302,106,1520,3,58,0.963841138114997
