column,column_ko,csv_role,why_preprocess_this_way,missing_rate_percent,unique_values,highest_risk_group,highest_risk_rows,highest_risk_yes,highest_risk_no,highest_risk_churn_percent,lowest_risk_group,lowest_risk_churn_percent,best_single_column_model,best_single_column_f1,best_single_column_recall,best_single_column_precision,best_single_column_pr_auc
Total_SUBs,전체 가입자 수,고객의 전체 계약 규모와 대형 계정 이탈 위험을 확인한다.,"대형 계정에서 이탈률이 높아 구간화, log1p, outlier flag가 필요하다.",0.0,89,"(14.0, 235.0]",1502,143,1359,9.52063914780293,"(0.999, 4.0]",4.733432984554061,DecisionTree_balanced,0.1498257839721254,0.3909090909090909,0.0926724137931034,0.0780861669562068
AvgMobileRevenue,평균 모바일 매출,모바일 매출 규모가 이탈과 어떤 관계인지 확인한다.,매출 규모가 클수록 이탈률이 상승하는 패턴이 있어 log/sqrt 변환과 선형 기준모델을 비교한다.,0.0,2150,"(221.67, 499.83]",1687,151,1536,8.950800237107291,"(-0.001, 64.67]",4.007071302298174,LogisticRegression_balanced,0.1440922190201729,0.4545454545454545,0.0856164383561643,0.0836716316031884
Active_subscribers,활성 가입자 수,서비스를 실제 사용하는 가입자 규모를 확인한다.,우측 왜곡과 이상치가 있어 log1p와 outlier flag가 필요하다.,0.0,61,"(11.0, 110.0]",1587,150,1437,9.45179584120983,"(0.999, 3.0]",5.174180327868853,LogisticRegression_balanced,0.1426256077795786,0.4,0.0867850098619329,0.0829296769114802
TotalRevenue,총 매출,고객 총 매출 규모와 이탈 위험을 확인한다.,AvgMobileRevenue와 거의 중복되므로 단독 사용보다 비율/상호작용 변수로 변환한다.,0.0,2163,"(222.33, 499.83]",1688,149,1539,8.827014218009479,"(4.669, 64.83]",4.018912529550828,LogisticRegression_balanced,0.1416184971098266,0.4454545454545454,0.0841924398625429,0.0842912607477907
EffectiveSegment,실질 비즈니스 세그먼트,실제 사업 규모/유형별 이탈 위험을 확인한다.,SOHO/VSE/SME처럼 사업 유형 자체가 이탈률 차이를 만들기 때문에 범주형으로 보존한다.,0.0,6,VSE,1795,159,1636,8.857938718662952,SE,2.380952380952381,DecisionTree_balanced,0.1345794392523364,0.3272727272727272,0.0847058823529411,0.0713550440389411
CRM_PID_Value_Segment,CRM 고객가치 등급,CRM이 판단한 고객가치 등급별 이탈 위험을 확인한다.,"범주 수가 작아 one-hot 또는 CatBoost가 적합하며, 세그먼트와 교차하면 고위험 조합을 설명할 수 있다.",0.059150597421029995,8,SME,284,25,259,8.80281690140845,Lead,0.0,LogisticRegression_balanced,0.1276171485543369,0.5818181818181818,0.0716685330347144,0.0695611226194424
Billing_ZIP,청구 우편번호,지역별 이탈 위험과 논문 SHAP의 geographic billing zone 신호를 검증한다.,456개 고유값으로 one-hot만 쓰면 차원이 커지므로 CatBoost 또는 leakage-safe target encoding이 적합하다.,0.023660238968409998,456,4701,12,3,9,25.0,4550,0.0,DecisionTree_balanced,0.1275890637945319,0.7,0.0701914311759343,0.0822388992749083
Not_Active_subscribers,비활성 가입자 수,가입 후 미활성 상태인 고객의 이탈 위험을 확인한다.,결측률이 높고 결측 자체가 의미를 가질 수 있어 missing flag를 추가한다.,49.08316573997397,60,"(5.0, 214.0]",724,59,665,8.149171270718233,missing,6.001446131597976,DecisionTree_balanced,0.1258741258741259,0.2454545454545454,0.0846394984326018,0.0726978140227965
ARPU,가입자당 평균 매출,가입자당 수익성과 이탈 위험을 확인한다.,"왜도가 커서 log1p가 필요하고, 단순 평균보다 구간별 위험 확인이 중요하다.",0.0118301194842,3063,"(21.83, 29.95]",1687,120,1567,7.1132187314759925,"(17.0, 21.83]",5.654761904761905,DecisionTree_balanced,0.1232067510548523,0.6636363636363637,0.067906976744186,0.0674235433858834
AvgFIXRevenue,평균 유선 매출,유선/번들 이용 여부가 이탈 방어 효과를 갖는지 확인한다.,0이 많은 변수라 유선 매출 존재 여부 flag가 번들 lock-in 신호가 된다.,0.0,106,"(-0.001, 480.5]",8453,549,7904,6.494735596829528,"(-0.001, 480.5]",6.494735596829528,DecisionTree_balanced,0.1230425055928411,1.0,0.0655542312276519,0.0684027401548259
Suspended_subscribers,정지 가입자 수,정지 가입자 존재 여부와 결측 자체의 위험 신호를 확인한다.,95% 이상 결측이므로 값보다 존재 여부가 중요해 missing/exists flag를 분리한다.,95.83579794155919,13,"(0.999, 22.0]",352,31,321,8.806818181818182,missing,6.39427231206024,Dummy_stratified,0.0616740088105726,0.0636363636363636,0.0598290598290598,0.0647180075329099
