variant,model,train_data,threshold,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,average_precision,mcc,tp,fp,fn,tn
with_billing_zip,BalancedBagging_original,original,0.5,0.149439601494396,0.5504587155963303,0.08645533141210375,0.5951393005334914,0.5743421588121069,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.07428096770945099,60,634,49,944
with_billing_zip,BalancedBagging_original,original,0.49,0.1459521094640821,0.5871559633027523,0.08333333333333333,0.5560165975103735,0.5705108080138603,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.06961680211159273,64,704,45,874
with_billing_zip,BalancedBagging_original,original,0.44,0.1438721136767318,0.7431192660550459,0.07964601769911504,0.42857142857142855,0.5749816862594621,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.07534493616790039,81,936,28,642
with_billing_zip,BalancedBagging_original,original,0.43,0.14261460101867574,0.7706422018348624,0.07857811038353602,0.4013040901007706,0.5732171718933501,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.0747182348638195,84,985,25,593
with_billing_zip,BalancedBagging_original,original,0.42,0.14179719703215168,0.7889908256880734,0.07789855072463768,0.38292827504445764,0.571935210055697,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.07437371001243896,86,1018,23,560
with_billing_zip,BalancedBagging_original,original,0.46,0.14133591481122942,0.6697247706422018,0.07900432900432901,0.4742145820983995,0.5652172649155243,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.06442598555369425,73,851,36,727
with_billing_zip,BalancedBagging_original,original,0.45,0.14061054579093432,0.6972477064220184,0.07818930041152264,0.44931831653823356,0.5647201776723527,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.0643947248052408,76,896,33,682
with_billing_zip,BalancedBagging_original,original,0.48,0.14054054054054055,0.5963302752293578,0.07965686274509803,0.5287492590397155,0.560205695282613,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.0592352414971908,65,751,44,827
with_billing_zip,BalancedBagging_original,original,0.47,0.13934426229508196,0.6238532110091743,0.0784313725490196,0.5020746887966805,0.5587580376972361,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.057802623816215426,68,799,41,779
with_billing_zip,BalancedBagging_original,original,0.41,0.13661636219221604,0.7889908256880734,0.07478260869565218,0.35566093657379966,0.5573597981418821,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.06054360756449607,86,1064,23,514
with_billing_zip,BalancedBagging_original,original,0.4,0.13577421815408086,0.8165137614678899,0.0740432612312812,0.32839359810314167,0.55559528377577,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.060396475032162465,89,1113,20,465
with_billing_zip,BalancedBagging_original,original,0.39,0.13206162876008803,0.8256880733944955,0.07177033492822966,0.2987551867219917,0.5440227439215823,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.04955427608589998,90,1164,19,414
with_billing_zip,BalancedBagging_original,original,0.38,0.1311706629055007,0.8532110091743119,0.07104660045836517,0.2697095435684647,0.541307659213265,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.048709268365347384,93,1216,16,362
with_billing_zip,BalancedBagging_original,original,0.37,0.13013698630136986,0.8715596330275229,0.07031828275351591,0.24718435091879076,0.5378076999104662,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.04654571307782234,95,1256,14,322
with_billing_zip,BalancedBagging_original,original,0.36,0.12971542025148908,0.8990825688073395,0.06990014265335236,0.22050978067575577,0.5363600423250893,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.04771167762200571,98,1304,11,274
with_billing_zip,BalancedBagging_original,original,0.34,0.12903225806451613,0.9541284403669725,0.06919494344644045,0.16775340841730882,0.5337815839350706,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.05328296098371069,104,1399,5,179
with_billing_zip,BalancedBagging_original,original,0.35,0.12836970474967907,0.9174311926605505,0.06901311249137336,0.1950207468879668,0.5312757991186149,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.04417560314998593,100,1349,9,229
with_billing_zip,BalancedBagging_original,original,0.33,0.1256797583081571,0.9541284403669725,0.06727037516170763,0.14226437462951985,0.5201567423634609,0.5914814944012279,0.08744859616604915,0.08744859616604915,0.03580987357790676,104,1442,5,136
